Q2 (GeV);x;sigma (mb);sigma error (mb)
2.500000;1e-05;0.00123503;7.88497e-07
2.500000;1.1514e-05;0.00119844;7.64983e-07
2.500000;1.32571e-05;0.00116333;7.42822e-07
2.500000;1.52642e-05;0.00113011;7.21033e-07
2.500000;1.75751e-05;0.00109767;7.01633e-07
2.500000;2.02359e-05;0.00106461;6.81714e-07
2.500000;2.32995e-05;0.0010344;6.62738e-07
2.500000;2.6827e-05;0.00100479;6.44394e-07
2.500000;3.08884e-05;0.000974553;6.2453e-07
2.500000;3.55648e-05;0.000946089;6.06449e-07
2.500000;4.09492e-05;0.000919246;5.90085e-07
2.500000;4.71487e-05;0.000891611;5.72656e-07
2.500000;5.42868e-05;0.000864761;5.54249e-07
2.500000;6.25055e-05;0.000839888;5.38784e-07
2.500000;7.19686e-05;0.000815477;5.2209e-07
2.500000;8.28643e-05;0.000790497;5.06015e-07
2.500000;9.54095e-05;0.000767583;4.91742e-07
2.500000;0.000109854;0.000745434;4.78132e-07
2.500000;0.000126486;0.000722631;4.63366e-07
2.500000;0.000145635;0.000700927;4.49111e-07
2.500000;0.000167683;0.000680243;4.36284e-07
2.500000;0.00019307;0.00066008;4.23474e-07
2.500000;0.0002223;0.000639616;4.10853e-07
2.500000;0.000255955;0.000620929;3.99265e-07
2.500000;0.000294705;0.000602667;3.87571e-07
2.500000;0.000339322;0.000583928;3.7573e-07
2.500000;0.000390694;0.000566449;3.64788e-07
2.500000;0.000449843;0.000549845;3.53979e-07
2.500000;0.000517947;0.000532767;3.4311e-07
2.500000;0.000596362;0.00051629;3.324e-07
2.500000;0.000686649;0.000500872;3.22717e-07
2.500000;0.000790604;0.000485842;3.12817e-07
2.500000;0.000910298;0.0004704;3.03207e-07
2.500000;0.00104811;0.000456331;2.94122e-07
2.500000;0.00120679;0.000442733;2.86234e-07
2.500000;0.0013895;0.000428724;2.77364e-07
2.500000;0.00159986;0.000415458;2.69258e-07
2.500000;0.00184207;0.000402735;2.61054e-07
2.500000;0.00212095;0.000390363;2.53246e-07
2.500000;0.00244205;0.000377868;2.45328e-07
2.500000;0.00281177;0.000366404;2.37619e-07
2.500000;0.00323746;0.000355261;2.30611e-07
2.500000;0.00372759;0.00034374;2.23028e-07
2.500000;0.00429193;0.000333081;2.16001e-07
2.500000;0.00494171;0.00032298;2.09703e-07
2.500000;0.00568987;0.000312499;2.02811e-07
2.500000;0.00655129;0.000302445;1.9633e-07
2.500000;0.00754312;0.000293004;1.90123e-07
2.500000;0.00868511;0.000283848;1.84639e-07
2.500000;0.01;0.000274452;1.78771e-07
