Q2 (GeV);x;sigma (mb);sigma error (mb)
2.500000;1e-05;0.0195325;1.10506e-05
2.500000;1.1514e-05;0.018942;1.07196e-05
2.500000;1.32571e-05;0.0183798;1.03985e-05
2.500000;1.52642e-05;0.0178428;1.0098e-05
2.500000;1.75751e-05;0.0173087;9.80294e-06
2.500000;2.02359e-05;0.0167762;9.60891e-06
2.500000;2.32995e-05;0.0162919;9.32733e-06
2.500000;2.6827e-05;0.0158074;9.05822e-06
2.500000;3.08884e-05;0.0153212;8.76759e-06
2.500000;3.55648e-05;0.0148652;8.49706e-06
2.500000;4.09492e-05;0.0144247;8.2471e-06
2.500000;4.71487e-05;0.0139825;7.99952e-06
2.500000;5.42868e-05;0.0135545;7.75418e-06
2.500000;6.25055e-05;0.0131538;7.51484e-06
2.500000;7.19686e-05;0.0127545;7.30612e-06
2.500000;8.28643e-05;0.0123527;7.07193e-06
2.500000;9.54095e-05;0.0119838;6.86487e-06
2.500000;0.000109854;0.0116228;6.66689e-06
2.500000;0.000126486;0.0112592;6.45291e-06
2.500000;0.000145635;0.010913;6.26491e-06
2.500000;0.000167683;0.0105843;6.07729e-06
2.500000;0.00019307;0.0102574;5.87652e-06
2.500000;0.0002223;0.00993245;5.69194e-06
2.500000;0.000255955;0.00963531;5.50864e-06
2.500000;0.000294705;0.00933852;5.33162e-06
2.500000;0.000339322;0.00904106;5.16976e-06
2.500000;0.000390694;0.00876357;5.01403e-06
2.500000;0.000449843;0.00849522;4.8577e-06
2.500000;0.000517947;0.00822341;4.70297e-06
2.500000;0.000596362;0.00796144;4.55294e-06
2.500000;0.000686649;0.00771713;4.41847e-06
2.500000;0.000790604;0.00747501;4.27294e-06
2.500000;0.000910298;0.00723163;4.13664e-06
2.500000;0.00104811;0.00700878;4.01361e-06
2.500000;0.00120679;0.00678941;3.88645e-06
2.500000;0.0013895;0.00656748;3.7661e-06
2.500000;0.00159986;0.00635827;3.64492e-06
2.500000;0.00184207;0.00615779;3.53167e-06
2.500000;0.00212095;0.00595875;3.42552e-06
2.500000;0.00244205;0.00576176;3.31143e-06
2.500000;0.00281177;0.00558109;3.20631e-06
2.500000;0.00323746;0.00540152;3.11084e-06
2.500000;0.00372759;0.00522008;3.00743e-06
2.500000;0.00429193;0.00505273;2.90768e-06
2.500000;0.00494171;0.00489109;2.8214e-06
2.500000;0.00568987;0.0047271;2.72402e-06
2.500000;0.00655129;0.00457016;2.63469e-06
2.500000;0.00754312;0.00442207;2.55391e-06
2.500000;0.00868511;0.00427594;2.47377e-06
2.500000;0.01;0.0041282;2.38714e-06
