Q2 (GeV);x;sigma (mb);sigma error (mb)
2.500000;1e-05;0.00127289;7.30747e-07
2.500000;1.1514e-05;0.0012338;7.09669e-07
2.500000;1.32571e-05;0.00119638;6.88334e-07
2.500000;1.52642e-05;0.00116099;6.67113e-07
2.500000;1.75751e-05;0.00112685;6.48841e-07
2.500000;2.02359e-05;0.0010917;6.27723e-07
2.500000;2.32995e-05;0.0010595;6.09065e-07
2.500000;2.6827e-05;0.00102856;5.92556e-07
2.500000;3.08884e-05;0.000996355;5.73385e-07
2.500000;3.55648e-05;0.000966323;5.55478e-07
2.500000;4.09492e-05;0.00093828;5.4092e-07
2.500000;4.71487e-05;0.000909004;5.23406e-07
2.500000;5.42868e-05;0.000880619;5.07e-07
2.500000;6.25055e-05;0.000854242;4.9214e-07
2.500000;7.19686e-05;0.000828842;4.79167e-07
2.500000;8.28643e-05;0.000802494;4.64191e-07
2.500000;9.54095e-05;0.00077827;4.50252e-07
2.500000;0.000109854;0.000755289;4.38447e-07
2.500000;0.000126486;0.000731298;4.24506e-07
2.500000;0.000145635;0.000708512;4.10882e-07
2.500000;0.000167683;0.000686827;3.97756e-07
2.500000;0.00019307;0.000665948;3.87747e-07
2.500000;0.0002223;0.000644488;3.75117e-07
2.500000;0.000255955;0.000624813;3.63142e-07
2.500000;0.000294705;0.000606081;3.53992e-07
2.500000;0.000339322;0.000586436;3.42542e-07
2.500000;0.000390694;0.000568158;3.3151e-07
2.500000;0.000449843;0.000551186;3.22287e-07
2.500000;0.000517947;0.000533393;3.12005e-07
2.500000;0.000596362;0.000516296;3.01292e-07
2.500000;0.000686649;0.000500184;2.91626e-07
2.500000;0.000790604;0.000484889;2.83869e-07
2.500000;0.000910298;0.000468852;2.74775e-07
2.500000;0.00104811;0.000454251;2.66355e-07
2.500000;0.00120679;0.000440345;2.5857e-07
2.500000;0.0013895;0.000425841;2.49825e-07
2.500000;0.00159986;0.000412132;2.41749e-07
2.500000;0.00184207;0.00039895;2.34051e-07
2.500000;0.00212095;0.00038638;2.27349e-07
2.500000;0.00244205;0.00037351;2.19861e-07
2.500000;0.00281177;0.000361624;2.1326e-07
2.500000;0.00323746;0.000350296;2.07432e-07
2.500000;0.00372759;0.000338434;2.00507e-07
2.500000;0.00429193;0.00032748;1.94048e-07
2.500000;0.00494171;0.000317245;1.88647e-07
2.500000;0.00568987;0.0003065;1.82339e-07
2.500000;0.00655129;0.000296233;1.77031e-07
2.500000;0.00754312;0.00028651;1.71527e-07
2.500000;0.00868511;0.000277225;1.66386e-07
2.500000;0.01;0.000267585;1.60737e-07
