Q2 (GeV);x;sigma (mb);sigma error (mb)
2.500000;1e-05;0.0167085;8.45034e-06
2.500000;1.1514e-05;0.0161586;8.18293e-06
2.500000;1.32571e-05;0.0156329;7.91855e-06
2.500000;1.52642e-05;0.0151384;7.67119e-06
2.500000;1.75751e-05;0.01466;7.46977e-06
2.500000;2.02359e-05;0.0141657;7.20642e-06
2.500000;2.32995e-05;0.0137167;6.9741e-06
2.500000;2.6827e-05;0.0132847;6.79531e-06
2.500000;3.08884e-05;0.0128363;6.55904e-06
2.500000;3.55648e-05;0.0124171;6.33058e-06
2.500000;4.09492e-05;0.0120281;6.17722e-06
2.500000;4.71487e-05;0.0116215;5.96856e-06
2.500000;5.42868e-05;0.0112274;5.75339e-06
2.500000;6.25055e-05;0.0108618;5.57104e-06
2.500000;7.19686e-05;0.010511;5.4239e-06
2.500000;8.28643e-05;0.0101463;5.23567e-06
2.500000;9.54095e-05;0.00981441;5.07506e-06
2.500000;0.000109854;0.00949932;4.9317e-06
2.500000;0.000126486;0.00916928;4.75163e-06
2.500000;0.000145635;0.00885661;4.58468e-06
2.500000;0.000167683;0.00855999;4.41794e-06
2.500000;0.00019307;0.00827654;4.29457e-06
2.500000;0.0002223;0.00798426;4.15539e-06
2.500000;0.000255955;0.00771694;4.01131e-06
2.500000;0.000294705;0.00746061;3.89172e-06
2.500000;0.000339322;0.00719521;3.7506e-06
2.500000;0.000390694;0.00694898;3.63022e-06
2.500000;0.000449843;0.00671777;3.52674e-06
2.500000;0.000517947;0.00647789;3.39594e-06
2.500000;0.000596362;0.00624739;3.27327e-06
2.500000;0.000686649;0.00603227;3.16423e-06
2.500000;0.000790604;0.00582484;3.07007e-06
2.500000;0.000910298;0.00560987;2.9561e-06
2.500000;0.00104811;0.00541533;2.85364e-06
2.500000;0.00120679;0.00522852;2.76688e-06
2.500000;0.0013895;0.00503541;2.66398e-06
2.500000;0.00159986;0.00485345;2.56941e-06
2.500000;0.00184207;0.00467842;2.47974e-06
2.500000;0.00212095;0.00451159;2.39849e-06
2.500000;0.00244205;0.00434109;2.30818e-06
2.500000;0.00281177;0.00418432;2.2294e-06
2.500000;0.00323746;0.00403434;2.15188e-06
2.500000;0.00372759;0.00387847;2.07041e-06
2.500000;0.00429193;0.00373535;1.99982e-06
2.500000;0.00494171;0.00360072;1.93055e-06
2.500000;0.00568987;0.00346075;1.85395e-06
2.500000;0.00655129;0.00332668;1.78156e-06
2.500000;0.00754312;0.00320055;1.70615e-06
2.500000;0.00868511;0.0030802;1.64973e-06
2.500000;0.01;0.00295511;1.57668e-06
