Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
7.5;0.04;0.0002;-1.44212e-08;5.8988e-09;0.872942
7.5;0.04;0.0004;-1.19439e-08;4.78909e-09;0.985792
7.5;0.04;0.00079;-1.1304e-08;3.94753e-09;0.917288
7.5;0.1;0.0002;-5.75657e-08;6.49147e-09;0.402013
7.5;0.1;0.0004;-3.74781e-08;5.28254e-09;0.380041
7.5;0.1;0.00079;-2.46352e-08;4.34242e-09;0.573271
7.5;0.1;0.00158;-1.4411e-08;3.57143e-09;0.518867
7.5;0.1;0.00316;-8.15518e-09;2.96233e-09;0.378665
7.5;0.2;0.0002;-1.60795e-07;6.92229e-09;0.240414
7.5;0.2;0.0004;-8.6562e-08;5.58631e-09;0.621063
7.5;0.2;0.00079;-3.33015e-08;4.57358e-09;0.332458
7.5;0.2;0.00158;6.53223e-09;3.71638e-09;0.518348
7.5;0.2;0.00316;3.30153e-08;3.07946e-09;0.326085
7.5;0.4;0.0002;5.16065e-06;7.64824e-09;0.331835
7.5;0.4;0.0004;4.01624e-06;6.12616e-09;0.0900856
7.5;0.4;0.00079;3.16143e-06;4.96381e-09;0.0616067
7.5;0.4;0.00158;2.49609e-06;4.05391e-09;0.242593
7.5;0.4;0.00316;1.98643e-06;3.33713e-09;0.352005
7.5;0.4;0.00668;1.57594e-06;2.73902e-09;0.239735
7.5;0.65;0.0002;5.41779e-05;8.99786e-09;0.677701
