Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
9;0.04;0.00024;7.31763e-07;1.36253e-08;1.70654
9;0.04;0.00042;6.14518e-07;1.16526e-08;1.8327
9;0.04;0.00075;5.19547e-07;9.94985e-09;1.44078
9;0.1;0.00024;5.01228e-06;1.4767e-08;0.696918
9;0.1;0.00042;4.20152e-06;1.27003e-08;0.609279
9;0.1;0.00075;3.5182e-06;1.08895e-08;0.470633
9;0.1;0.00133;2.97064e-06;9.37159e-09;0.272785
9;0.1;0.00237;2.52504e-06;8.1047e-09;0.19982
9;0.2;0.00024;1.97028e-05;1.60056e-08;0.980299
9;0.2;0.00042;1.65427e-05;1.37265e-08;1.1784
9;0.2;0.00075;1.38661e-05;1.17383e-08;1.25409
9;0.2;0.00133;1.17119e-05;1.01552e-08;0.923191
9;0.2;0.00237;9.93864e-06;8.78702e-09;0.982523
9;0.2;0.00421;8.49542e-06;7.65847e-09;1.14147
9;0.4;0.00024;6.24543e-05;1.79131e-08;1.34611
9;0.4;0.00042;5.28716e-05;1.54115e-08;1.4506
9;0.4;0.00075;4.46854e-05;1.31608e-08;1.09817
9;0.4;0.00133;3.80453e-05;1.13188e-08;1.12152
9;0.4;0.00237;3.25284e-05;9.76257e-09;0.809216
9;0.4;0.00421;2.79944e-05;8.50992e-09;0.902477
9;0.4;0.0075;2.42254e-05;7.47414e-09;1.08163
9;0.65;0.00024;9.76655e-05;1.89521e-08;1.71485
9;0.65;0.00042;8.3656e-05;1.62816e-08;0.931229
9;0.65;0.00075;7.15775e-05;1.38866e-08;0.796681
9;0.65;0.00133;6.17043e-05;1.20331e-08;1.04592
9;0.65;0.00237;5.34229e-05;1.04308e-08;1.04722
9;0.65;0.00421;4.65547e-05;9.10105e-09;1.13125
9;0.65;0.0075;4.0799e-05;8.00328e-09;1.23242
9;0.9;0.00042;5.66571e-05;1.75801e-08;0.719686
9;0.9;0.00075;4.97028e-05;1.50826e-08;0.435239
9;0.9;0.00133;4.3914e-05;1.30513e-08;0.433235
9;0.9;0.00237;3.89756e-05;1.13163e-08;0.754388
9;0.9;0.00421;3.48221e-05;9.88753e-09;0.683251
