Q2 (GeV);x;sigma (mb);sigma error (mb)
2.500000;1e-05;0.0114426;6.53497e-06
2.500000;1.1514e-05;0.0111175;6.34788e-06
2.500000;1.32571e-05;0.0108068;6.16898e-06
2.500000;1.52642e-05;0.0105113;5.99934e-06
2.500000;1.75751e-05;0.0102177;5.83506e-06
2.500000;2.02359e-05;0.00992312;5.65565e-06
2.500000;2.32995e-05;0.00965406;5.49859e-06
2.500000;2.6827e-05;0.00938736;5.3574e-06
2.500000;3.08884e-05;0.00911642;5.19782e-06
2.500000;3.55648e-05;0.00886204;5.05176e-06
2.500000;4.09492e-05;0.00861707;4.91347e-06
2.500000;4.71487e-05;0.00836837;4.76655e-06
2.500000;5.42868e-05;0.00812673;4.61534e-06
2.500000;6.25055e-05;0.00790136;4.48946e-06
2.500000;7.19686e-05;0.00767737;4.36186e-06
2.500000;8.28643e-05;0.00745115;4.22494e-06
2.500000;9.54095e-05;0.00724307;4.10995e-06
2.500000;0.000109854;0.00703928;3.99788e-06
2.500000;0.000126486;0.00683275;3.88184e-06
2.500000;0.000145635;0.00663648;3.78233e-06
2.500000;0.000167683;0.00644815;3.65677e-06
2.500000;0.00019307;0.00626286;3.55721e-06
2.500000;0.0002223;0.00607696;3.45094e-06
2.500000;0.000255955;0.00590705;3.36253e-06
2.500000;0.000294705;0.00573788;3.26487e-06
2.500000;0.000339322;0.00556614;3.16491e-06
2.500000;0.000390694;0.00540544;3.07429e-06
2.500000;0.000449843;0.00525169;2.98576e-06
2.500000;0.000517947;0.0050955;2.89655e-06
2.500000;0.000596362;0.00494356;2.80806e-06
2.500000;0.000686649;0.00480154;2.72984e-06
2.500000;0.000790604;0.00466121;2.65097e-06
2.500000;0.000910298;0.00451938;2.56826e-06
2.500000;0.00104811;0.00439021;2.49231e-06
2.500000;0.00120679;0.00426224;2.41943e-06
2.500000;0.0013895;0.00413343;2.34631e-06
2.500000;0.00159986;0.00401073;2.27824e-06
2.500000;0.00184207;0.00389263;2.21136e-06
2.500000;0.00212095;0.00377664;2.14479e-06
2.500000;0.00244205;0.00366066;2.07798e-06
2.500000;0.00281177;0.00355387;2.01796e-06
2.500000;0.00323746;0.00344816;1.95762e-06
2.500000;0.00372759;0.00334141;1.89486e-06
2.500000;0.00429193;0.00324193;1.83875e-06
2.500000;0.00494171;0.00314616;1.78103e-06
2.500000;0.00568987;0.00304882;1.73153e-06
2.500000;0.00655129;0.00295515;1.67771e-06
2.500000;0.00754312;0.00286677;1.62919e-06
2.500000;0.00868511;0.0027795;1.58037e-06
2.500000;0.01;0.00269072;1.52807e-06
