Q2 (GeV);x;sigma (mb);sigma error (mb)
1;1e-05;0.00378396;7.20518e-08
1;2.78256e-05;0.00326729;6.15157e-08
1;7.74264e-05;0.00276055;5.16196e-08
1;0.000215443;0.00228031;4.25218e-08
1;0.000599484;0.00184101;3.44907e-08
1;0.0016681;0.00145324;2.74324e-08
1;0.00464159;0.00112274;2.12665e-08
1;0.0129155;0.000850322;1.61516e-08
1;0.0359381;0.000632611;1.21492e-08
1;0.1;0.000463393;9.08146e-09
3;1e-05;0.00230516;4.29754e-08
3;2.78256e-05;0.00186335;3.45575e-08
3;7.74264e-05;0.00147262;2.73504e-08
3;0.000215443;0.00113899;2.13242e-08
3;0.000599484;0.000863509;1.64037e-08
3;0.0016681;0.000643003;1.24945e-08
3;0.00464159;0.000471371;9.37524e-09
3;0.0129155;0.000341001;6.99027e-09
3;0.0359381;0.000244002;5.11748e-09
3;0.1;0.000173057;3.73022e-09
5;1e-05;0.00171242;3.20219e-08
5;2.78256e-05;0.00134239;2.52667e-08
5;7.74264e-05;0.00103039;1.95828e-08
5;0.000215443;0.0007758;1.50119e-08
5;0.000599484;0.000574196;1.13239e-08
5;0.0016681;0.000418755;8.45073e-09
5;0.00464159;0.000301633;6.23705e-09
5;0.0129155;0.000215078;4.57148e-09
5;0.0359381;0.000152118;3.33174e-09
5;0.1;0.000106901;2.40482e-09
8;1e-05;0.00125547;2.4005e-08
8;2.78256e-05;0.000958669;1.82188e-08
8;7.74264e-05;0.000718429;1.40421e-08
8;0.000215443;0.000529571;1.05468e-08
8;0.000599484;0.000384878;7.81627e-09
8;0.0016681;0.000276443;5.7764e-09
8;0.00464159;0.000196663;4.23229e-09
8;0.0129155;0.00013884;3.0755e-09
8;0.0359381;9.74312e-05;2.22181e-09
8;0.1;6.80551e-05;1.59867e-09
10;1e-05;0.00107087;2.06098e-08
10;2.78256e-05;0.000808373;1.56943e-08
10;7.74264e-05;0.000599669;1.19135e-08
10;0.000215443;0.000438179;8.86692e-09
10;0.000599484;0.000316133;6.55737e-09
10;0.0016681;0.00022571;4.80465e-09
10;0.00464159;0.000159803;3.50585e-09
10;0.0129155;0.000112393;2.5344e-09
10;0.0359381;7.8641e-05;1.82631e-09
10;0.1;5.48069e-05;1.31098e-09
