Q2 (GeV);x;sigma (mb);sigma error (mb)
1;1e-05;0.0013045;4.56775e-07
1;2.78256e-05;0.000798446;2.45216e-07
1;7.74264e-05;0.000468043;6.66002e-08
1;0.000215443;0.000263759;3.194e-08
1;0.000599484;0.000143391;2.47169e-08
1;0.0016681;7.5589e-05;4.99852e-08
1;0.00464159;3.88363e-05;8.28628e-09
1;0.0129155;1.95407e-05;7.33912e-09
1;0.0359381;9.679e-06;2.9443e-09
1;0.1;4.7328e-06;1.13367e-09
3;1e-05;0.00100945;2.71768e-07
3;2.78256e-05;0.000607125;7.69886e-08
3;7.74264e-05;0.000350521;5.91336e-08
3;0.000215443;0.000194771;2.27966e-08
3;0.000599484;0.000104641;2.10372e-08
3;0.0016681;5.46091e-05;9.28639e-09
3;0.00464159;2.78328e-05;3.73248e-09
3;0.0129155;1.39201e-05;1.94855e-09
3;0.0359381;6.8621e-06;2.20248e-09
3;0.1;3.34483e-06;4.28362e-10
5;1e-05;0.00082139;4.06397e-07
5;2.78256e-05;0.000487959;9.54617e-08
5;7.74264e-05;0.000278672;1.14248e-07
5;0.000215443;0.000153432;7.03703e-08
5;0.000599484;8.17485e-05;1.23818e-08
5;0.0016681;4.23932e-05;9.10948e-09
5;0.00464159;2.14975e-05;4.79055e-09
5;0.0129155;1.07075e-05;1.58176e-09
5;0.0359381;5.26249e-06;7.71024e-10
5;0.1;2.55996e-06;7.21849e-10
8;1e-05;0.000640116;1.42167e-07
8;2.78256e-05;0.000375588;5.39668e-08
8;7.74264e-05;0.000212088;4.91339e-08
8;0.000215443;0.000115635;2.05324e-08
8;0.000599484;6.11343e-05;9.26942e-09
8;0.0016681;3.15099e-05;5.90175e-09
8;0.00464159;1.58968e-05;3.35429e-09
8;0.0129155;7.89204e-06;1.25998e-09
8;0.0359381;3.86842e-06;6.77568e-10
8;0.1;1.87854e-06;5.05099e-10
10;1e-05;0.000557599;9.14789e-08
10;2.78256e-05;0.000325191;6.48998e-08
10;7.74264e-05;0.000182604;2.90898e-08
10;0.000215443;9.90904e-05;1.90331e-08
10;0.000599484;5.22249e-05;1.78383e-08
10;0.0016681;2.68276e-05;5.98327e-09
10;0.00464159;1.35174e-05;6.02482e-09
10;0.0129155;6.69433e-06;1.22188e-09
10;0.0359381;3.27808e-06;6.24948e-10
10;0.1;1.59008e-06;2.72862e-10
