Q2 (GeV);x;sigma (mb);sigma error (mb)
1;1e-05;0.000679156;4.60921e-07
1;1.26896e-05;0.000645298;4.39155e-07
1;1.61026e-05;0.000613417;4.17954e-07
1;2.04336e-05;0.000583002;3.97709e-07
1;2.59294e-05;0.000554749;3.79246e-07
1;3.29034e-05;0.000527585;3.60373e-07
1;4.17532e-05;0.000500941;3.42415e-07
1;5.29832e-05;0.00047591;3.25848e-07
1;6.72336e-05;0.000452065;3.1003e-07
1;8.53168e-05;0.000429883;2.95587e-07
1;0.000108264;0.0004086;2.81305e-07
1;0.000137382;0.000387727;2.66766e-07
1;0.000174333;0.000368161;2.53405e-07
1;0.000221222;0.000349446;2.40967e-07
1;0.000280722;0.000331892;2.29372e-07
1;0.000356225;0.000315285;2.1828e-07
1;0.000452035;0.000299315;2.07614e-07
1;0.000573615;0.000283685;1.96217e-07
1;0.000727895;0.000269052;1.86727e-07
1;0.000923671;0.00025529;1.77887e-07
1;0.0011721;0.000242267;1.69269e-07
1;0.00148735;0.000229876;1.61603e-07
1;0.00188739;0.00021772;1.52669e-07
1;0.00239503;0.000206321;1.44994e-07
1;0.0030392;0.00019549;1.3788e-07
1;0.00385662;0.000185416;1.31162e-07
1;0.0048939;0.000175748;1.24416e-07
1;0.00621017;0.000166268;1.17548e-07
1;0.00788046;0.000157423;1.11418e-07
1;0.01;0.000148968;1.05805e-07
3;1e-05;0.0014562;1.00383e-06
3;1.26896e-05;0.00138237;9.52931e-07
3;1.61026e-05;0.00131307;9.00776e-07
3;2.04336e-05;0.00124697;8.56221e-07
3;2.59294e-05;0.00118527;8.14909e-07
3;3.29034e-05;0.00112624;7.75343e-07
3;4.17532e-05;0.00106838;7.35154e-07
3;5.29832e-05;0.0010141;6.98618e-07
3;6.72336e-05;0.000962105;6.64789e-07
3;8.53168e-05;0.000914029;6.30346e-07
3;0.000108264;0.000867948;5.99953e-07
3;0.000137382;0.000822776;5.71643e-07
3;0.000174333;0.000780599;5.43302e-07
3;0.000221222;0.000739973;5.1644e-07
3;0.000280722;0.000702157;4.91044e-07
3;0.000356225;0.000666342;4.67528e-07
3;0.000452035;0.000631933;4.44008e-07
3;0.000573615;0.000598237;4.20815e-07
3;0.000727895;0.000566771;3.9944e-07
3;0.000923671;0.000537023;3.78794e-07
3;0.0011721;0.000509206;3.6034e-07
3;0.00148735;0.000482471;3.42772e-07
3;0.00188739;0.000456287;3.25026e-07
3;0.00239503;0.00043177;3.0906e-07
3;0.0030392;0.000408499;2.93201e-07
3;0.00385662;0.000386774;2.77191e-07
