Q2 (GeV);x;sigma (mb);sigma error (mb)
1;1e-05;0.0244806;1.52325e-05
1;1.26896e-05;0.0232071;1.45743e-05
1;1.61026e-05;0.0220183;1.38408e-05
1;2.04336e-05;0.0208869;1.31344e-05
1;2.59294e-05;0.0198355;1.23505e-05
1;3.29034e-05;0.0188291;1.17446e-05
1;4.17532e-05;0.0178361;1.11294e-05
1;5.29832e-05;0.0169129;1.05902e-05
1;6.72336e-05;0.0160258;1.00349e-05
1;8.53168e-05;0.0152015;9.54309e-06
1;0.000108264;0.014419;9.08259e-06
1;0.000137382;0.0136499;8.58151e-06
1;0.000174333;0.0129341;8.15842e-06
1;0.000221222;0.0122477;7.75608e-06
1;0.000280722;0.0116071;7.3674e-06
1;0.000356225;0.0110016;7.01563e-06
1;0.000452035;0.0104193;6.69302e-06
1;0.000573615;0.00984761;6.31868e-06
1;0.000727895;0.00931748;6.00391e-06
1;0.000923671;0.00881642;5.69574e-06
1;0.0011721;0.00834632;5.37642e-06
1;0.00148735;0.00789587;5.09653e-06
1;0.00188739;0.00745584;4.81047e-06
1;0.00239503;0.0070458;4.54142e-06
1;0.0030392;0.00665665;4.29759e-06
1;0.00385662;0.0062935;4.06974e-06
1;0.0048939;0.00594673;3.85869e-06
1;0.00621017;0.00560705;3.60853e-06
1;0.00788046;0.00529137;3.41604e-06
1;0.01;0.00498908;3.21968e-06
3;1e-05;0.0210875;1.37658e-05
3;1.26896e-05;0.0199812;1.30192e-05
3;1.61026e-05;0.0189472;1.23552e-05
3;2.04336e-05;0.0179596;1.16913e-05
3;2.59294e-05;0.0170437;1.10908e-05
3;3.29034e-05;0.0161671;1.052e-05
3;4.17532e-05;0.0153059;9.93361e-06
3;5.29832e-05;0.0145004;9.38462e-06
3;6.72336e-05;0.0137292;8.88114e-06
3;8.53168e-05;0.0130174;8.41471e-06
3;0.000108264;0.0123335;7.97136e-06
3;0.000137382;0.0116658;7.53763e-06
3;0.000174333;0.0110406;7.16273e-06
3;0.000221222;0.0104426;6.94964e-06
3;0.000280722;0.00988999;6.394e-06
3;0.000356225;0.0093638;6.03897e-06
3;0.000452035;0.00886187;5.72492e-06
3;0.000573615;0.00836825;5.33441e-06
3;0.000727895;0.00791023;5.06899e-06
3;0.000923671;0.0074747;4.81484e-06
3;0.0011721;0.00706888;4.55357e-06
3;0.00148735;0.00668005;4.30266e-06
3;0.00188739;0.00630064;4.05563e-06
3;0.00239503;0.00594676;3.84372e-06
3;0.0030392;0.00561084;3.63698e-06
3;0.00385662;0.00529931;3.44665e-06
3;0.0048939;0.00500102;3.26521e-06
3;0.00621017;0.00471061;3.0725e-06
3;0.00788046;0.00443849;2.8666e-06
3;0.01;0.00417769;2.7426e-06
5;1e-05;0.018725;1.23284e-05
5;1.26896e-05;0.0177329;1.16935e-05
5;1.61026e-05;0.016804;1.1139e-05
5;2.04336e-05;0.0159227;1.05701e-05
5;2.59294e-05;0.0151005;1.00509e-05
5;3.29034e-05;0.0143161;9.54984e-06
5;4.17532e-05;0.0135449;8.93898e-06
5;5.29832e-05;0.0128267;8.45492e-06
5;6.72336e-05;0.0121385;7.99693e-06
5;8.53168e-05;0.0115013;7.59717e-06
5;0.000108264;0.0108936;7.18041e-06
5;0.000137382;0.010296;6.78148e-06
5;0.000174333;0.0097415;6.45016e-06
5;0.000221222;0.00920919;6.09176e-06
5;0.000280722;0.00871348;5.75524e-06
5;0.000356225;0.008241;5.62538e-06
5;0.000452035;0.0077926;5.35691e-06
5;0.000573615;0.00735146;5.03096e-06
5;0.000727895;0.00694411;4.57859e-06
5;0.000923671;0.00655772;4.39465e-06
5;0.0011721;0.0061977;4.03884e-06
5;0.00148735;0.00585283;3.80184e-06
5;0.00188739;0.00551149;3.8121e-06
5;0.00239503;0.00519915;3.4163e-06
5;0.0030392;0.00490017;3.21138e-06
5;0.00385662;0.00462302;3.03364e-06
5;0.0048939;0.00435933;2.86636e-06
5;0.00621017;0.0040999;2.67087e-06
5;0.00788046;0.00385849;2.53471e-06
5;0.01;0.00362754;2.40918e-06
8;1e-05;0.0162522;1.06688e-05
8;1.26896e-05;0.01538;1.00646e-05
8;1.61026e-05;0.0145675;9.54554e-06
8;2.04336e-05;0.0137907;9.03521e-06
8;2.59294e-05;0.0130713;8.55336e-06
8;3.29034e-05;0.0123833;8.11834e-06
8;4.17532e-05;0.0117109;7.70204e-06
8;5.29832e-05;0.0110813;7.29955e-06
8;6.72336e-05;0.0104789;6.92501e-06
8;8.53168e-05;0.00992273;6.58296e-06
8;0.000108264;0.0093928;6.25004e-06
8;0.000137382;0.00887079;5.83816e-06
8;0.000174333;0.00838341;5.54836e-06
8;0.000221222;0.00791938;5.26224e-06
8;0.000280722;0.00748728;4.97153e-06
8;0.000356225;0.00707688;4.7233e-06
8;0.000452035;0.00668487;4.4651e-06
8;0.000573615;0.00630205;4.20589e-06
8;0.000727895;0.00594662;3.98296e-06
8;0.000923671;0.00560811;3.93812e-06
8;0.0011721;0.00529472;3.8187e-06
8;0.00148735;0.00499632;3.33618e-06
8;0.00188739;0.0047016;3.14116e-06
8;0.00239503;0.00442752;2.9762e-06
8;0.0030392;0.0041675;3.0559e-06
8;0.00385662;0.00392759;2.74435e-06
8;0.0048939;0.00369749;2.5927e-06
8;0.00621017;0.00347401;2.34005e-06
8;0.00788046;0.00326446;2.22706e-06
8;0.01;0.00306441;2.09708e-06
10;1e-05;0.0150175;1.0035e-05
10;1.26896e-05;0.0142092;9.29543e-06
10;1.61026e-05;0.0134534;8.76892e-06
10;2.04336e-05;0.012732;8.57579e-06
10;2.59294e-05;0.0120715;8.11468e-06
10;3.29034e-05;0.0114272;7.95941e-06
10;4.17532e-05;0.010801;7.50384e-06
10;5.29832e-05;0.0102161;7.13906e-06
10;6.72336e-05;0.00965685;6.75598e-06
10;8.53168e-05;0.00914175;6.42374e-06
10;0.000108264;0.00864821;6.13217e-06
10;0.000137382;0.00816382;5.8016e-06
10;0.000174333;0.00771652;5.34117e-06
10;0.000221222;0.00728933;4.88273e-06
10;0.000280722;0.006888;4.62653e-06
10;0.000356225;0.00650768;4.39072e-06
10;0.000452035;0.00614369;4.16875e-06
10;0.000573615;0.00578874;3.93837e-06
10;0.000727895;0.00545764;3.75301e-06
10;0.000923671;0.00514736;3.52517e-06
10;0.0011721;0.00485609;3.32911e-06
10;0.00148735;0.00457755;3.1442e-06
10;0.00188739;0.00430608;2.91348e-06
10;0.00239503;0.00405369;2.73979e-06
10;0.0030392;0.00381159;2.82326e-06
10;0.00385662;0.00359009;2.6385e-06
10;0.0048939;0.00337758;2.48525e-06
10;0.00621017;0.00317147;2.18001e-06
10;0.00788046;0.00297866;2.0551e-06
10;0.01;0.00279415;1.92326e-06
