Q2 (GeV);x;sigma (mb)
1;1e-05;0.000684121;
1;1.26896e-05;0.000649927;
1;1.61026e-05;0.000617822;
1;2.04336e-05;0.00058712;
1;2.59294e-05;0.000558847;
1;3.29034e-05;0.000531511;
1;4.17532e-05;0.000504963;
1;5.29832e-05;0.000479621;
1;6.72336e-05;0.000455429;
1;8.53168e-05;0.000433196;
1;0.000108264;0.000411723;
1;0.000137382;0.000390869;
1;0.000174333;0.000371135;
1;0.000221222;0.000352149;
1;0.000280722;0.000334558;
1;0.000356225;0.000317851;
1;0.000452035;0.000302149;
1;0.000573615;0.000286205;
1;0.000727895;0.00027161;
1;0.000923671;0.000257744;
1;0.0011721;0.000244791;
1;0.00148735;0.000232284;
1;0.00188739;0.000219971;
1;0.00239503;0.00020847;
1;0.0030392;0.000197721;
1;0.00385662;0.000187528;
1;0.0048939;0.000177862;
1;0.00621017;0.000168398;
1;0.00788046;0.000159535;
1;0.01;0.000150986;
3;1e-05;0.00146575;
3;1.26896e-05;0.00139178;
3;1.61026e-05;0.00132191;
3;2.04336e-05;0.0012555;
3;2.59294e-05;0.00119327;
3;3.29034e-05;0.00113425;
3;4.17532e-05;0.00107617;
3;5.29832e-05;0.00102172;
3;6.72336e-05;0.000969007;
3;8.53168e-05;0.000920774;
3;0.000108264;0.000874557;
3;0.000137382;0.000829019;
3;0.000174333;0.000786325;
3;0.000221222;0.000745683;
3;0.000280722;0.000707728;
3;0.000356225;0.000671512;
3;0.000452035;0.000637055;
3;0.000573615;0.000603262;
3;0.000727895;0.00057142;
3;0.000923671;0.000541789;
3;0.0011721;0.0005136;
3;0.00148735;0.00048678;
3;0.00188739;0.000460494;
3;0.00239503;0.000435813;
3;0.0030392;0.000412519;
3;0.00385662;0.000390874;
3;0.0048939;0.000369759;
3;0.00621017;0.00034953;
3;0.00788046;0.000330513;
3;0.01;0.000312252;
5;1e-05;0.00185257;
5;1.26896e-05;0.00175812;
5;1.61026e-05;0.00166846;
5;2.04336e-05;0.00158411;
5;2.59294e-05;0.00150493;
5;3.29034e-05;0.00142897;
5;4.17532e-05;0.00135477;
5;5.29832e-05;0.00128517;
5;6.72336e-05;0.00121896;
5;8.53168e-05;0.00115656;
5;0.000108264;0.00109787;
5;0.000137382;0.00104018;
5;0.000174333;0.000985779;
5;0.000221222;0.000933769;
5;0.000280722;0.000885305;
5;0.000356225;0.000839441;
5;0.000452035;0.000795226;
5;0.000573615;0.000752247;
5;0.000727895;0.000711713;
5;0.000923671;0.000674214;
5;0.0011721;0.000638469;
5;0.00148735;0.000604406;
5;0.00188739;0.000570957;
5;0.00239503;0.000539928;
5;0.0030392;0.000510294;
5;0.00385662;0.000482824;
5;0.0048939;0.000456539;
5;0.00621017;0.000430618;
5;0.00788046;0.000406644;
5;0.01;0.00038365;
8;1e-05;0.00210917;
8;1.26896e-05;0.00199982;
8;1.61026e-05;0.00189634;
8;2.04336e-05;0.00179866;
8;2.59294e-05;0.00170678;
8;3.29034e-05;0.00162036;
8;4.17532e-05;0.00153442;
8;5.29832e-05;0.00145429;
8;6.72336e-05;0.00137783;
8;8.53168e-05;0.00130693;
8;0.000108264;0.00123874;
8;0.000137382;0.00117199;
8;0.000174333;0.00111013;
8;0.000221222;0.00105015;
8;0.000280722;0.000994931;
8;0.000356225;0.000942152;
8;0.000452035;0.000891458;
8;0.000573615;0.000842432;
8;0.000727895;0.000796075;
8;0.000923671;0.000752881;
8;0.0011721;0.000712378;
8;0.00148735;0.000673171;
8;0.00188739;0.000635084;
8;0.00239503;0.000599689;
8;0.0030392;0.000565953;
8;0.00385662;0.000534289;
8;0.0048939;0.000504425;
8;0.00621017;0.000475067;
8;0.00788046;0.000447576;
8;0.01;0.000421349;
10;1e-05;0.00217508;
10;1.26896e-05;0.00206094;
10;1.61026e-05;0.00195393;
10;2.04336e-05;0.00185289;
10;2.59294e-05;0.00175804;
10;3.29034e-05;0.00166734;
10;4.17532e-05;0.00157876;
10;5.29832e-05;0.00149507;
10;6.72336e-05;0.00141585;
10;8.53168e-05;0.00134127;
10;0.000108264;0.00127102;
10;0.000137382;0.00120275;
10;0.000174333;0.00113783;
10;0.000221222;0.00107637;
10;0.000280722;0.0010185;
10;0.000356225;0.00096417;
10;0.000452035;0.000912117;
10;0.000573615;0.000860998;
10;0.000727895;0.000813172;
10;0.000923671;0.000768297;
10;0.0011721;0.000726194;
10;0.00148735;0.000686238;
10;0.00188739;0.0006467;
10;0.00239503;0.000609986;
10;0.0030392;0.00057501;
10;0.00385662;0.000542694;
10;0.0048939;0.000511943;
10;0.00621017;0.000481475;
10;0.00788046;0.000453284;
10;0.01;0.000426054;
