Q2 (GeV);x;sigma (mb)
1;1e-05;0.0246206
1;1.26896e-05;0.0233519
1;1.61026e-05;0.0221568
1;2.04336e-05;0.0210208
1;2.59294e-05;0.0199601
1;3.29034e-05;0.0189427
1;4.17532e-05;0.0179488
1;5.29832e-05;0.0170215
1;6.72336e-05;0.0161317
1;8.53168e-05;0.01531
1;0.000108264;0.0145201
1;0.000137382;0.0137484
1;0.000174333;0.0130265
1;0.000221222;0.0123351
1;0.000280722;0.0116883
1;0.000356225;0.0110817
1;0.000452035;0.0104981
1;0.000573615;0.00992136
1;0.000727895;0.0093874
1;0.000923671;0.00888784
1;0.0011721;0.00841358
1;0.00148735;0.00796237
1;0.00188739;0.00752088
1;0.00239503;0.00710905
1;0.0030392;0.00671569
1;0.00385662;0.00635418
1;0.0048939;0.00600747
1;0.00621017;0.00566642
1;0.00788046;0.00534998
1;0.01;0.00504763
3;1e-05;0.0211981
3;1.26896e-05;0.0200868
3;1.61026e-05;0.019046
3;2.04336e-05;0.0180566
3;2.59294e-05;0.0171366
3;3.29034e-05;0.0162534
3;4.17532e-05;0.0153906
3;5.29832e-05;0.014584
3;6.72336e-05;0.0138046
3;8.53168e-05;0.0130958
3;0.000108264;0.0124089
3;0.000137382;0.0117402
3;0.000174333;0.0111144
3;0.000221222;0.0105162
3;0.000280722;0.00995666
3;0.000356225;0.00942773
3;0.000452035;0.00892363
3;0.000573615;0.00842449
3;0.000727895;0.00796479
3;0.000923671;0.00753257
3;0.0011721;0.00712373
3;0.00148735;0.00673536
3;0.00188739;0.0063504
3;0.00239503;0.00599632
3;0.0030392;0.0056605
3;0.00385662;0.00534627
3;0.0048939;0.0050476
3;0.00621017;0.00475622
3;0.00788046;0.00448236
3;0.01;0.00421926
5;1e-05;0.0188203
5;1.26896e-05;0.017827
5;1.61026e-05;0.0169012
5;2.04336e-05;0.0160066
5;2.59294e-05;0.0151831
5;3.29034e-05;0.0143953
5;4.17532e-05;0.0136223
5;5.29832e-05;0.0129012
5;6.72336e-05;0.0122069
5;8.53168e-05;0.011569
5;0.000108264;0.010956
5;0.000137382;0.0103561
5;0.000174333;0.00980176
5;0.000221222;0.00926232
5;0.000280722;0.00876719
5;0.000356225;0.00829594
5;0.000452035;0.00784287
5;0.000573615;0.00740246
5;0.000727895;0.0069923
5;0.000923671;0.00660671
5;0.0011721;0.00624157
5;0.00148735;0.00589504
5;0.00188739;0.00555649
5;0.00239503;0.00523998
5;0.0030392;0.00494005
5;0.00385662;0.00466202
5;0.0048939;0.00439786
5;0.00621017;0.00413791
5;0.00788046;0.00389433
5;0.01;0.00366288
8;1e-05;0.0163273
8;1.26896e-05;0.0154464
8;1.61026e-05;0.0146351
8;2.04336e-05;0.0138553
8;2.59294e-05;0.0131402
8;3.29034e-05;0.0124501
8;4.17532e-05;0.0117709
8;5.29832e-05;0.0111392
8;6.72336e-05;0.0105347
8;8.53168e-05;0.0099729
8;0.000108264;0.00944124
8;0.000137382;0.00891605
8;0.000174333;0.00842886
8;0.000221222;0.0079621
8;0.000280722;0.00752967
8;0.000356225;0.0071199
8;0.000452035;0.00672537
8;0.000573615;0.00634033
8;0.000727895;0.00598389
8;0.000923671;0.00564735
8;0.0011721;0.00533107
8;0.00148735;0.00503124
8;0.00188739;0.00473448
8;0.00239503;0.00446026
8;0.0030392;0.00420211
8;0.00385662;0.00395958
8;0.0048939;0.00372938
8;0.00621017;0.00350181
8;0.00788046;0.00329322
8;0.01;0.00309337
10;1e-05;0.0150925
10;1.26896e-05;0.0142817
10;1.61026e-05;0.0135216
10;2.04336e-05;0.0128004
10;2.59294e-05;0.0121341
10;3.29034e-05;0.0114927
10;4.17532e-05;0.0108607
10;5.29832e-05;0.0102732
10;6.72336e-05;0.00971466
10;8.53168e-05;0.00919407
10;0.000108264;0.00869789
10;0.000137382;0.00821118
10;0.000174333;0.00775953
10;0.000221222;0.00732735
10;0.000280722;0.00692504
10;0.000356225;0.0065416
10;0.000452035;0.00618038
10;0.000573615;0.00582277
10;0.000727895;0.00549143
10;0.000923671;0.00517856
10;0.0011721;0.00488875
10;0.00148735;0.00460921
10;0.00188739;0.00433556
10;0.00239503;0.00408047
10;0.0030392;0.00384118
10;0.00385662;0.00361856
10;0.0048939;0.00340616
10;0.00621017;0.00319633
10;0.00788046;0.00300373
10;0.01;0.00281901
