Q2 (GeV);x;sigma (mb);sigma error (mb)
1;1e-05;2.08044e-05;1.48357e-08
1;1.26896e-05;1.90861e-05;1.35938e-08
1;1.61026e-05;1.74982e-05;1.24566e-08
1;2.04336e-05;1.60408e-05;1.14305e-08
1;2.59294e-05;1.47356e-05;1.05327e-08
1;3.29034e-05;1.35262e-05;9.6636e-09
1;4.17532e-05;1.24066e-05;8.86937e-09
1;5.29832e-05;1.13762e-05;8.12373e-09
1;6.72336e-05;1.04239e-05;7.45081e-09
1;8.53168e-05;9.57514e-06;6.84489e-09
1;0.000108264;8.79351e-06;6.29529e-09
1;0.000137382;8.07007e-06;5.71139e-09
1;0.000174333;7.40548e-06;5.34533e-09
1;0.000221222;6.7892e-06;4.89147e-09
1;0.000280722;6.23613e-06;4.57312e-09
1;0.000356225;5.72729e-06;4.24994e-09
1;0.000452035;5.26234e-06;3.74635e-09
1;0.000573615;4.83221e-06;3.45957e-09
1;0.000727895;4.43552e-06;3.152e-09
1;0.000923671;4.0784e-06;2.95399e-09
1;0.0011721;3.75387e-06;2.78753e-09
1;0.00148735;3.45393e-06;2.57052e-09
1;0.00188739;3.17652e-06;2.36775e-09
1;0.00239503;2.92186e-06;2.19183e-09
1;0.0030392;2.68813e-06;2.02081e-09
1;0.00385662;2.47883e-06;1.86713e-09
1;0.0048939;2.28565e-06;1.72228e-09
1;0.00621017;2.10691e-06;1.58782e-09
1;0.00788046;1.9425e-06;1.46965e-09
1;0.01;1.79076e-06;1.35654e-09
3;1e-05;4.1229e-05;2.95049e-08
3;1.26896e-05;3.77666e-05;2.69944e-08
3;1.61026e-05;3.4578e-05;2.48025e-08
3;2.04336e-05;3.16516e-05;2.27639e-08
3;2.59294e-05;2.90345e-05;2.09591e-08
3;3.29034e-05;2.66169e-05;1.92623e-08
3;4.17532e-05;2.43768e-05;1.76111e-08
3;5.29832e-05;2.23176e-05;1.61306e-08
3;6.72336e-05;2.04189e-05;1.47762e-08
3;8.53168e-05;1.87242e-05;1.35538e-08
3;0.000108264;1.7167e-05;1.24417e-08
3;0.000137382;1.57252e-05;1.13603e-08
3;0.000174333;1.44001e-05;1.01623e-08
3;0.000221222;1.31783e-05;9.28735e-09
3;0.000280722;1.20818e-05;8.51023e-09
3;0.000356225;1.10823e-05;7.81861e-09
3;0.000452035;1.01612e-05;7.15804e-09
3;0.000573615;9.31249e-06;6.6642e-09
3;0.000727895;8.52944e-06;6.05585e-09
3;0.000923671;7.82441e-06;5.57497e-09
3;0.0011721;7.18588e-06;5.17803e-09
3;0.00148735;6.59475e-06;4.76611e-09
3;0.00188739;6.05051e-06;4.33471e-09
3;0.00239503;5.55058e-06;4.04173e-09
3;0.0030392;5.09353e-06;3.71345e-09
3;0.00385662;4.68385e-06;3.45963e-09
3;0.0048939;4.30659e-06;3.22549e-09
3;0.00621017;3.96096e-06;2.98506e-09
3;0.00788046;3.63874e-06;2.78951e-09
3;0.01;3.34539e-06;2.56785e-09
5;1e-05;4.8793e-05;3.53931e-08
5;1.26896e-05;4.46436e-05;3.2346e-08
5;1.61026e-05;4.08313e-05;2.95377e-08
5;2.04336e-05;3.73347e-05;2.70982e-08
5;2.59294e-05;3.4209e-05;2.45279e-08
5;3.29034e-05;3.1318e-05;2.24578e-08
5;4.17532e-05;2.86504e-05;2.0725e-08
5;5.29832e-05;2.61934e-05;1.90902e-08
5;6.72336e-05;2.39303e-05;1.72015e-08
5;8.53168e-05;2.19169e-05;1.58212e-08
5;0.000108264;2.00664e-05;1.45611e-08
5;0.000137382;1.83597e-05;1.33311e-08
5;0.000174333;1.67903e-05;1.21657e-08
5;0.000221222;1.53437e-05;1.11468e-08
5;0.000280722;1.40464e-05;1.02124e-08
5;0.000356225;1.28653e-05;9.36245e-09
