Q2 (GeV);x;sigma (mb);sigma error (mb)
1;1e-05;0.000643456;4.26058e-07
1;1.26896e-05;0.000589393;3.91769e-07
1;1.61026e-05;0.000539658;3.56909e-07
1;2.04336e-05;0.000494018;3.3084e-07
1;2.59294e-05;0.000453142;3.04218e-07
1;3.29034e-05;0.000415361;2.8065e-07
1;4.17532e-05;0.000380452;2.58574e-07
1;5.29832e-05;0.000348227;2.35646e-07
1;6.72336e-05;0.00031863;2.15798e-07
1;8.53168e-05;0.000292207;1.97587e-07
1;0.000108264;0.000267897;1.80259e-07
1;0.000137382;0.000245435;1.67258e-07
1;0.000174333;0.000224744;1.54161e-07
1;0.000221222;0.000205752;1.46787e-07
1;0.000280722;0.000188665;1.34746e-07
1;0.000356225;0.000173115;1.23901e-07
1;0.000452035;0.000158785;1.13969e-07
1;0.000573615;0.000145549;1.03978e-07
1;0.000727895;0.000133375;9.53803e-08
1;0.000923671;0.000122347;8.74824e-08
1;0.0011721;0.0001124;8.03322e-08
1;0.00148735;0.000103227;7.39231e-08
1;0.00188739;9.47535e-05;6.82366e-08
1;0.00239503;8.6973e-05;6.30341e-08
1;0.0030392;7.98474e-05;5.70714e-08
1;0.00385662;7.34989e-05;5.3071e-08
1;0.0048939;6.76277e-05;4.89026e-08
1;0.00621017;6.22183e-05;4.50955e-08
1;0.00788046;5.72539e-05;4.12571e-08
1;0.01;5.26629e-05;3.79941e-08
3;1e-05;0.000518471;3.47559e-07
3;1.26896e-05;0.000474404;3.20711e-07
3;1.61026e-05;0.000433862;2.95148e-07
3;2.04336e-05;0.000396741;2.70527e-07
3;2.59294e-05;0.000363492;2.47948e-07
3;3.29034e-05;0.000332896;2.27263e-07
3;4.17532e-05;0.000304523;2.08097e-07
3;5.29832e-05;0.000278407;1.90432e-07
3;6.72336e-05;0.000254432;1.74778e-07
3;8.53168e-05;0.00023305;1.60288e-07
3;0.000108264;0.000213419;1.47127e-07
3;0.000137382;0.00019527;1.34664e-07
3;0.000174333;0.00017863;1.23409e-07
3;0.000221222;0.000163303;1.13041e-07
3;0.000280722;0.000149565;1.04383e-07
3;0.000356225;0.000137011;9.42149e-08
3;0.000452035;0.000125462;8.8241e-08
3;0.000573615;0.000114806;7.92485e-08
3;0.000727895;0.00010504;7.30443e-08
3;0.000923671;9.62043e-05;6.70337e-08
3;0.0011721;8.8232e-05;6.15125e-08
3;0.00148735;8.08939e-05;5.64908e-08
3;0.00188739;7.41171e-05;5.18226e-08
3;0.00239503;6.78914e-05;4.74822e-08
3;0.0030392;6.22379e-05;4.39229e-08
3;0.00385662;5.71578e-05;4.1844e-08
3;0.0048939;5.24972e-05;3.85254e-08
3;0.00621017;4.82046e-05;3.50013e-08
3;0.00788046;4.42294e-05;3.29287e-08
3;0.01;4.05997e-05;3.0199e-08
5;1e-05;0.000436435;2.98597e-07
5;1.26896e-05;0.000399032;2.73226e-07
5;1.61026e-05;0.00036477;2.4895e-07
5;2.04336e-05;0.000333318;2.28749e-07
5;2.59294e-05;0.000305108;2.10673e-07
5;3.29034e-05;0.000279096;1.94476e-07
5;4.17532e-05;0.0002551;1.78937e-07
5;5.29832e-05;0.000233054;1.64405e-07
5;6.72336e-05;0.000212761;1.51177e-07
5;8.53168e-05;0.000194771;1.39152e-07
5;0.000108264;0.00017818;1.27533e-07
5;0.000137382;0.000162839;1.16766e-07
5;0.000174333;0.00014877;1.06573e-07
5;0.000221222;0.000135866;9.74157e-08
5;0.000280722;0.000124289;8.90115e-08
5;0.000356225;0.000113757;8.15127e-08
5;0.000452035;0.000104076;7.43014e-08
5;0.000573615;9.51358e-05;6.87002e-08
5;0.000727895;8.69462e-05;6.24904e-08
5;0.000923671;7.95348e-05;5.71416e-08
5;0.0011721;7.28408e-05;5.24417e-08
5;0.00148735;6.66488e-05;4.67979e-08
5;0.00188739;6.09808e-05;4.3452e-08
5;0.00239503;5.57816e-05;3.9964e-08
5;0.0030392;5.10564e-05;3.70837e-08
5;0.00385662;4.68274e-05;3.38606e-08
5;0.0048939;4.29356e-05;3.11197e-08
5;0.00621017;3.93702e-05;2.92596e-08
5;0.00788046;3.60611e-05;2.71318e-08
5;0.01;3.30482e-05;2.47929e-08
8;1e-05;0.000354945;2.5742e-07
8;1.26896e-05;0.000324231;2.35095e-07
8;1.61026e-05;0.000295979;2.15323e-07
8;2.04336e-05;0.000270147;1.96827e-07
8;2.59294e-05;0.000247138;1.80246e-07
8;3.29034e-05;0.000225914;1.65196e-07
8;4.17532e-05;0.000206252;1.51203e-07
8;5.29832e-05;0.000188248;1.3735e-07
8;6.72336e-05;0.000171668;1.25557e-07
8;8.53168e-05;0.000156952;1.14601e-07
8;0.000108264;0.000143407;1.0442e-07
8;0.000137382;0.000130942;9.61881e-08
8;0.000174333;0.000119521;8.80673e-08
8;0.000221222;0.000109032;8.03231e-08
8;0.000280722;9.96226e-05;7.32915e-08
8;0.000356225;9.10728e-05;6.65095e-08
8;0.000452035;8.31955e-05;6.08329e-08
8;0.000573615;7.59385e-05;5.53485e-08
8;0.000727895;6.92915e-05;5.03254e-08
8;0.000923671;6.32933e-05;4.58451e-08
8;0.0011721;5.78926e-05;4.19043e-08
8;0.00148735;5.29249e-05;3.8267e-08
8;0.00188739;4.83304e-05;3.49545e-08
8;0.00239503;4.41469e-05;3.1837e-08
8;0.0030392;4.03211e-05;2.97164e-08
8;0.00385662;3.69059e-05;2.81924e-08
8;0.0048939;3.37795e-05;2.59249e-08
8;0.00621017;3.09038e-05;2.38554e-08
8;0.00788046;2.82703e-05;2.15448e-08
8;0.01;2.5849e-05;1.97766e-08
10;1e-05;0.000316747;2.31496e-07
10;1.26896e-05;0.000289152;2.11637e-07
10;1.61026e-05;0.000263865;1.93349e-07
10;2.04336e-05;0.00024073;1.76958e-07
10;2.59294e-05;0.00022005;1.62039e-07
10;3.29034e-05;0.000201058;1.49319e-07
10;4.17532e-05;0.000183467;1.3678e-07
10;5.29832e-05;0.000167335;1.23972e-07
10;6.72336e-05;0.000152542;1.1351e-07
10;8.53168e-05;0.00013939;1.03845e-07
10;0.000108264;0.000127316;9.49921e-08
10;0.000137382;0.000116153;8.60352e-08
10;0.000174333;0.000105939;7.85821e-08
10;0.000221222;9.65485e-05;7.18239e-08
10;0.000280722;8.81434e-05;6.55876e-08
10;0.000356225;8.05164e-05;5.98925e-08
10;0.000452035;7.35186e-05;5.47646e-08
10;0.000573615;6.70528e-05;5.00718e-08
10;0.000727895;6.11363e-05;4.54001e-08
10;0.000923671;5.58041e-05;4.11458e-08
10;0.0011721;5.10021e-05;3.74643e-08
10;0.00148735;4.65868e-05;3.41263e-08
10;0.00188739;4.25112e-05;3.08779e-08
10;0.00239503;3.8793e-05;2.81296e-08
10;0.0030392;3.54135e-05;2.57154e-08
10;0.00385662;3.23931e-05;2.33757e-08
10;0.0048939;2.9622e-05;2.10789e-08
10;0.00621017;2.70621e-05;2.0663e-08
10;0.00788046;2.47257e-05;1.89403e-08
10;0.01;2.25892e-05;1.78195e-08
