Q2 (GeV);x;sigma (mb)
1;1e-05;0.019446
1;2.78256e-05;0.014807
1;7.74264e-05;0.0117157
1;0.000215443;0.00929544
1;0.000599484;0.007344
1;0.0016681;0.00575405
1;0.00464159;0.00449882
1;0.0129155;0.00369278
1;0.0359381;0.00368844
1;0.1;0.00369124
3;1e-05;0.0169298
3;2.78256e-05;0.0128465
3;7.74264e-05;0.0101839
3;0.000215443;0.00801532
3;0.000599484;0.00631218
3;0.0016681;0.00493456
3;0.00464159;0.00384984
3;0.0129155;0.00312957
3;0.0359381;0.00313229
3;0.1;0.00313175
5;1e-05;0.0151716
5;2.78256e-05;0.011507
5;7.74264e-05;0.00906893
5;0.000215443;0.0071572
5;0.000599484;0.0055953
5;0.0016681;0.00437531
5;0.00464159;0.00339358
5;0.0129155;0.00275072
5;0.0359381;0.00275251
5;0.1;0.00275766
8;1e-05;0.0132997
8;2.78256e-05;0.0100643
8;7.74264e-05;0.00789639
8;0.000215443;0.00622918
8;0.000599484;0.00484738
8;0.0016681;0.00377128
8;0.00464159;0.0029105
8;0.0129155;0.00234853
8;0.0359381;0.00235693
8;0.1;0.00235638
10;1e-05;0.0123821
10;2.78256e-05;0.00931481
10;7.74264e-05;0.00733937
10;0.000215443;0.00574414
10;0.000599484;0.00449365
10;0.0016681;0.00348226
10;0.00464159;0.00268315
10;0.0129155;0.00216827
10;0.0359381;0.00216638
10;0.1;0.00216401
