Q2 (GeV);x;sigma (mb)
1;1e-05;0.000522016;
1;2.78256e-05;0.000401154;
1;7.74264e-05;0.000321478;
1;0.000215443;0.000256926;
1;0.000599484;0.00020495;
1;0.0016681;0.000162389;
1;0.00464159;0.000128896;
1;0.0129155;0.000106285;
1;0.0359381;0.000106693;
1;0.1;0.000106679;
3;1e-05;0.00113591;
3;2.78256e-05;0.000872785;
3;7.74264e-05;0.000696146;
3;0.000215443;0.000552949;
3;0.000599484;0.000438584;
3;0.0016681;0.000347318;
3;0.00464159;0.00027428;
3;0.0129155;0.000225188;
3;0.0359381;0.000225407;
3;0.1;0.000224822;
5;1e-05;0.00145843;
5;2.78256e-05;0.00111475;
5;7.74264e-05;0.000887489;
5;0.000215443;0.000701966;
5;0.000599484;0.000554897;
5;0.0016681;0.000438877;
5;0.00464159;0.000344071;
5;0.0129155;0.0002818;
5;0.0359381;0.000281539;
5;0.1;0.000281575;
8;1e-05;0.00168637;
8;2.78256e-05;0.00128078;
8;7.74264e-05;0.00101623;
8;0.000215443;0.000804023;
8;0.000599484;0.000633077;
8;0.0016681;0.000497797;
8;0.00464159;0.00038764;
8;0.0129155;0.00031565;
8;0.0359381;0.000317001;
8;0.1;0.000315966;
10;1e-05;0.00175023;
10;2.78256e-05;0.0013291;
10;7.74264e-05;0.00105502;
10;0.000215443;0.00083275;
10;0.000599484;0.000654313;
10;0.0016681;0.000510828;
10;0.00464159;0.000396923;
10;0.0129155;0.000323471;
10;0.0359381;0.000323448;
10;0.1;0.000324107;
