Q2 (GeV);x;sigma (mb)
1;1e-05;0.0243521
1;1.26896e-05;0.0223037
1;1.61026e-05;0.0213444
1;2.04336e-05;0.0204241
1;2.59294e-05;0.0195348
1;3.29034e-05;0.018681
1;4.17532e-05;0.017087
1;5.29832e-05;0.0163489
1;6.72336e-05;0.0156171
1;8.53168e-05;0.0149446
1;0.000108264;0.0142925
1;0.000137382;0.0130434
1;0.000174333;0.0124749
1;0.000221222;0.0119148
1;0.000280722;0.0113837
1;0.000356225;0.0108787
1;0.000452035;0.0103858
1;0.000573615;0.00946283
1;0.000727895;0.00903799
1;0.000923671;0.00862579
1;0.0011721;0.00822734
1;0.00148735;0.00785061
1;0.00188739;0.00714617
1;0.00239503;0.00681631
1;0.0030392;0.00649618
1;0.00385662;0.00619622
1;0.0048939;0.0059055
1;0.00621017;0.00536249
1;0.00788046;0.00510806
1;0.01;0.00486388
3;1e-05;0.0209557
3;1.26896e-05;0.019163
3;1.61026e-05;0.01833
3;2.04336e-05;0.0175246
3;2.59294e-05;0.0167624
3;3.29034e-05;0.0160262
3;4.17532e-05;0.0146448
3;5.29832e-05;0.0139951
3;6.72336e-05;0.0133601
3;8.53168e-05;0.0127776
3;0.000108264;0.0122039
3;0.000137382;0.0111301
3;0.000174333;0.0106272
3;0.000221222;0.0101459
3;0.000280722;0.00968525
3;0.000356225;0.00924158
3;0.000452035;0.0088261
3;0.000573615;0.00802565
3;0.000727895;0.00765982
3;0.000923671;0.00730254
3;0.0011721;0.00696365
3;0.00148735;0.00664083
3;0.00188739;0.00603021
3;0.00239503;0.00574266
3;0.0030392;0.00547119
3;0.00385662;0.00520911
3;0.0048939;0.0049603
3;0.00621017;0.00449318
3;0.00788046;0.00427114
3;0.01;0.00406367
5;1e-05;0.0185933
5;1.26896e-05;0.0169926
5;1.61026e-05;0.0162627
5;2.04336e-05;0.0155338
5;2.59294e-05;0.0148461
5;3.29034e-05;0.0141795
5;4.17532e-05;0.0129458
5;5.29832e-05;0.0123675
5;6.72336e-05;0.0118102
5;8.53168e-05;0.0112818
5;0.000108264;0.01077
5;0.000137382;0.00980768
5;0.000174333;0.00936336
5;0.000221222;0.0089378
5;0.000280722;0.0085244
5;0.000356225;0.00813025
5;0.000452035;0.00775297
5;0.000573615;0.00705081
5;0.000727895;0.00671616
5;0.000923671;0.00640048
5;0.0011721;0.00609998
5;0.00148735;0.00581192
5;0.00188739;0.00526797
5;0.00239503;0.00501686
5;0.0030392;0.00477462
5;0.00385662;0.00454119
5;0.0048939;0.00431892
5;0.00621017;0.00390548
5;0.00788046;0.00370985
5;0.01;0.00352384
8;1e-05;0.0161153
8;1.26896e-05;0.0147171
8;1.61026e-05;0.014069
8;2.04336e-05;0.0134409
8;2.59294e-05;0.0128368
8;3.29034e-05;0.0122651
8;4.17532e-05;0.0111862
8;5.29832e-05;0.0106711
8;6.72336e-05;0.0101873
8;8.53168e-05;0.00971616
8;0.000108264;0.00927556
8;0.000137382;0.00844342
8;0.000174333;0.00805018
8;0.000221222;0.00767196
8;0.000280722;0.00731956
8;0.000356225;0.00697207
8;0.000452035;0.00665082
8;0.000573615;0.00603085
8;0.000727895;0.00574373
8;0.000923671;0.00547093
8;0.0011721;0.00520525
8;0.00148735;0.00495597
8;0.00188739;0.00448805
8;0.00239503;0.00426523
8;0.0030392;0.00405803
8;0.00385662;0.00385484
8;0.0048939;0.0036611
8;0.00621017;0.00330085
8;0.00788046;0.00313285
8;0.01;0.00297392
10;1e-05;0.0149119
10;1.26896e-05;0.0135977
10;1.61026e-05;0.0129922
10;2.04336e-05;0.0124011
10;2.59294e-05;0.0118403
10;3.29034e-05;0.0113138
10;4.17532e-05;0.0103164
10;5.29832e-05;0.00983862
10;6.72336e-05;0.00938818
10;8.53168e-05;0.00895788
10;0.000108264;0.00854085
10;0.000137382;0.00776812
10;0.000174333;0.00740518
10;0.000221222;0.00705941
10;0.000280722;0.0067308
10;0.000356225;0.00640958
10;0.000452035;0.00610632
10;0.000573615;0.00553716
10;0.000727895;0.00527031
10;0.000923671;0.00501661
10;0.0011721;0.00477835
10;0.00148735;0.00454176
10;0.00188739;0.00410354
10;0.00239503;0.00390143
10;0.0030392;0.00370599
10;0.00385662;0.00352187
10;0.0048939;0.00334584
10;0.00621017;0.00301169
10;0.00788046;0.00285782
10;0.01;0.00270994
