W;sigma (mb);sigma error (mb)
20;1.01886;0.000207142
23.0279;1.01886;0.000207142
26.5142;1.06452;0.000233316
30.5284;1.20714;0.00020927
35.1502;1.36831;0.000241501
40.4718;1.54274;0.000284044
46.599;1.73193;0.00041239
53.6539;1.94403;0.000348636
61.7769;2.16992;0.000384251
71.1296;2.42241;0.000519657
81.8983;2.69329;0.000515228
94.2973;2.98864;0.000571563
108.574;3.31359;0.000600628
125.011;3.65808;0.00068478
143.937;4.04814;0.00114432
165.729;4.45754;0.000936553
190.819;4.90573;0.000938111
219.708;5.39615;0.000867951
252.971;5.91522;0.00103985
291.27;6.49943;0.00127451
335.367;7.11514;0.00232482
386.14;7.78372;0.00147451
444.599;8.51138;0.00168657
511.91;9.27998;0.00173184
589.41;10.1483;0.00173755
678.644;11.0485;0.00170661
781.388;12.0453;0.00205658
899.687;13.1148;0.00274242
1035.89;14.2524;0.00267993
1192.72;15.5122;0.00263963
1373.3;16.8273;0.00437893
1581.21;18.2986;0.00299801
1820.6;19.8439;0.00326874
2096.23;21.5141;0.0037297
2413.59;23.333;0.00424285
2778.99;25.2474;0.00377429
3199.72;27.3803;0.00472738
3684.14;29.6225;0.00487152
4241.9;32.0467;0.00483951
4884.11;34.6643;0.00617399
5623.54;37.4225;0.00675969
6474.92;40.5155;0.00632276
7455.19;43.7106;0.00727909
8583.87;47.2251;0.00769675
9883.43;50.9843;0.0118124
11379.7;54.952;0.00959728
13102.6;59.3742;0.0125405
15086.2;63.9598;0.0106019
17370.2;69.0177;0.0128924
20000;74.386;0.0122428
