W;sigma (mb);sigma error (mb)
20;0.00556787;3.61722e-06
23.0279;0.00556787;3.61722e-06
26.5142;0.00569142;3.68955e-06
30.5284;0.00610215;3.9619e-06
35.1502;0.00653769;4.24816e-06
40.4718;0.00701131;4.56555e-06
46.599;0.0074971;4.8549e-06
53.6539;0.00804389;5.18e-06
61.7769;0.00859617;5.51392e-06
71.1296;0.00920129;5.89298e-06
81.8983;0.00985226;6.33154e-06
94.2973;0.0105248;6.68583e-06
108.574;0.011273;7.17954e-06
125.011;0.0120328;7.64715e-06
143.937;0.0128681;8.14409e-06
165.729;0.0137617;8.70622e-06
190.819;0.0146963;9.26314e-06
219.708;0.0157232;9.9246e-06
252.971;0.0167657;1.05206e-05
291.27;0.0179235;1.12093e-05
335.367;0.0191531;1.19879e-05
386.14;0.0204466;1.27823e-05
444.599;0.0218607;1.36989e-05
511.91;0.0233046;1.45572e-05
589.41;0.0249048;1.55554e-05
678.644;0.0266008;1.66005e-05
781.388;0.0283992;1.7654e-05
899.687;0.0303555;1.88339e-05
1035.89;0.0323677;2.0031e-05
1192.72;0.0346223;2.14212e-05
1373.3;0.0369129;2.27994e-05
1581.21;0.0394196;2.4333e-05
1820.6;0.0421128;2.5957e-05
2096.23;0.0449138;2.76418e-05
2413.59;0.0480157;2.94399e-05
2778.99;0.051171;3.13201e-05
3199.72;0.0546582;3.34414e-05
3684.14;0.0583857;3.56937e-05
4241.9;0.0622832;3.80397e-05
4884.11;0.0665694;4.05456e-05
5623.54;0.070929;4.31886e-05
6474.92;0.0757753;4.5984e-05
7455.19;0.0809153;4.9074e-05
8583.87;0.0863512;5.23691e-05
9883.43;0.0922747;5.5943e-05
11379.7;0.0983536;5.95043e-05
13102.6;0.105053;6.34995e-05
15086.2;0.112159;6.79113e-05
17370.2;0.119738;7.23744e-05
20000;0.127923;7.70692e-05
