W;sigma (mb);sigma error (mb)
30;0.975292;0.000301419
34.2572;1.03377;0.000297978
39.1186;1.09779;0.000320468
44.6698;1.16499;0.000184641
51.0087;1.23364;0.000177712
58.2472;1.3085;0.000181237
66.5129;1.38723;0.0002063
75.9516;1.46712;0.000213313
86.7296;1.55337;0.000201788
99.0372;1.64493;0.000254299
113.091;1.73786;0.000301117
129.14;1.83819;0.000614747
147.466;1.94448;0.000897697
168.392;2.05249;0.000319263
192.288;2.16784;0.000370548
219.575;2.2905;0.000280829
250.734;2.41494;0.000353311
286.315;2.54758;0.000510855
326.946;2.68911;0.000365092
373.342;2.83242;0.000475484
426.321;2.98374;0.000442055
486.819;3.14603;0.000470054
555.903;3.30896;0.000497983
634.789;3.48179;0.000618269
724.87;3.6663;0.000657516
827.734;3.85326;0.000708291
945.196;4.04943;0.000619308
1079.33;4.2594;0.00142392
1232.49;4.47158;0.00201314
1407.39;4.69305;0.00150229
1607.11;4.92595;0.0018006
1835.17;5.16634;0.00238611
2095.59;5.41414;0.00188647
2392.97;5.6767;0.000941761
2732.55;5.94752;0.000824215
3120.32;6.22546;0.00107755
3563.11;6.51901;0.00116353
4068.75;6.82061;0.00101726
4646.13;7.12827;0.000910452
5305.45;7.45439;0.00131647
6058.33;7.79092;0.00115984
6918.05;8.12737;0.00298175
7899.77;8.4904;0.00109102
9020.8;8.8589;0.00125667
10300.9;9.23173;0.00252339
11762.7;9.62489;0.00125862
13431.9;10.0308;0.00131312
15338;10.4359;0.00187065
17514.6;10.8688;0.00150578
20000;11.3085;0.00158102
