W;sigma (mb);sigma error (mb)
30;0.00603876;6.6963e-07
34.2572;0.00642208;7.00872e-07
39.1186;0.00684402;7.39928e-07
44.6698;0.00729311;7.86745e-07
51.0087;0.00774984;8.31516e-07
58.2472;0.00825028;8.84991e-07
66.5129;0.00878446;9.38219e-07
75.9516;0.00932758;9.91537e-07
86.7296;0.00992076;1.05199e-06
99.0372;0.0105552;1.13074e-06
113.091;0.0112;1.20397e-06
129.14;0.0119025;1.27012e-06
147.466;0.0126557;1.35535e-06
168.392;0.0134216;1.42801e-06
192.288;0.0142518;1.51495e-06
219.575;0.0151447;1.61698e-06
250.734;0.0160511;1.68038e-06
286.315;0.0170312;1.75675e-06
326.946;0.018089;1.88229e-06
373.342;0.0191614;2.01435e-06
426.321;0.0203165;2.15526e-06
486.819;0.0215662;2.33091e-06
555.903;0.0228333;2.48085e-06
634.789;0.0241924;2.64186e-06
724.87;0.0256667;2.83599e-06
827.734;0.0271631;3.00549e-06
945.196;0.0287603;3.18894e-06
1079.33;0.0304959;3.40404e-06
1232.49;0.0322572;3.61194e-06
1407.39;0.0341284;3.81722e-06
1607.11;0.0361258;4.04587e-06
1835.17;0.0382337;4.24927e-06
2095.59;0.0404214;4.47465e-06
2392.97;0.0427608;4.7129e-06
2732.55;0.0452301;4.97111e-06
3120.32;0.0477813;5.21527e-06
3563.11;0.050515;5.49262e-06
4068.75;0.053395;5.80612e-06
4646.13;0.0563598;6.16536e-06
5305.45;0.0595437;6.52409e-06
6058.33;0.0628938;6.84784e-06
6918.05;0.0663279;7.20173e-06
7899.77;0.0700213;7.59264e-06
9020.8;0.0739047;8.00962e-06
10300.9;0.0778627;8.39463e-06
11762.7;0.0821298;8.82417e-06
13431.9;0.0866085;9.28482e-06
15338;0.0911517;9.78208e-06
17514.6;0.0960673;1.02753e-05
20000;0.101211;1.08109e-05
