W (GeV);sigma (mb);sigma error (mb)
20;0.000271775;8.4214e-08
23.0279;0.000271775;8.4214e-08
26.5142;0.000297244;6.84302e-08
30.5284;0.000377592;1.28002e-07
35.1502;0.000483987;1.33716e-07
40.4718;0.000608589;1.68089e-07
46.599;0.000765518;2.33202e-07
53.6539;0.000954803;3.36312e-07
61.7769;0.0011873;3.66577e-07
71.1296;0.00147823;3.23428e-07
81.8983;0.00181058;5.10043e-07
94.2973;0.00222492;6.16746e-07
108.574;0.00271218;8.69742e-07
125.011;0.00330278;7.35554e-07
143.937;0.00403735;1.02934e-06
165.729;0.0048577;1.24349e-06
190.819;0.00588277;1.80311e-06
219.708;0.00706238;2.21284e-06
252.971;0.00847463;2.12235e-06
291.27;0.0102353;2.52224e-06
335.367;0.0121605;3.05688e-06
386.14;0.0145689;3.55846e-06
444.599;0.0172911;4.86912e-06
511.91;0.0205575;6.27004e-06
589.41;0.0245647;6.61428e-06
678.644;0.0289405;7.32096e-06
781.388;0.0344;9.21849e-06
899.687;0.0404814;8.65832e-06
1035.89;0.0478287;1.17279e-05
1192.72;0.0561588;7.43755e-05
1373.3;0.0662931;2.00511e-05
1581.21;0.0783336;1.71233e-05
1820.6;0.0915985;2.09905e-05
2096.23;0.107705;2.58923e-05
2413.59;0.125974;3.3564e-05
2778.99;0.147537;3.63263e-05
3199.72;0.173495;4.38916e-05
3684.14;0.201935;5.29571e-05
4241.9;0.236418;6.22536e-05
4884.11;0.275238;6.77925e-05
5623.54;0.320747;7.8646e-05
6474.92;0.37612;6.9751e-05
7455.19;0.435689;0.000126561
8583.87;0.508816;0.000118734
9883.43;0.58994;0.000118772
11379.7;0.685912;0.000136463
13102.6;0.801098;0.000163146
15086.2;0.925001;0.000189971
17370.2;1.07717;0.000216376
20000;1.2452;0.000292039
