W (GeV);sigma (mb);sigma error (mb)
20;6.1775e-05;8.29538e-09
23.0279;6.1775e-05;8.29538e-09
26.5142;6.38229e-05;8.57767e-09
30.5284;7.05529e-05;9.57018e-09
35.1502;7.81677e-05;1.09503e-08
40.4718;8.66795e-05;1.18576e-08
46.599;9.60341e-05;1.26693e-08
53.6539;0.000106832;1.53115e-08
61.7769;0.000118544;1.70492e-08
71.1296;0.000131932;1.76793e-08
81.8983;0.000146818;2.02135e-08
94.2973;0.00016332;2.37429e-08
108.574;0.000182232;2.63418e-08
125.011;0.000202766;2.93418e-08
143.937;0.000226499;3.32187e-08
165.729;0.000252725;3.71604e-08
190.819;0.000282085;4.09171e-08
219.708;0.000315532;4.52197e-08
252.971;0.000351854;4.8951e-08
291.27;0.000394332;5.72965e-08
335.367;0.000440811;6.11976e-08
386.14;0.000493482;6.58841e-08
444.599;0.000553041;7.28081e-08
511.91;0.000618273;8.09495e-08
589.41;0.000694364;9.21156e-08
678.644;0.000777662;1.0075e-07
781.388;0.0008728;1.10165e-07
899.687;0.000979762;1.2133e-07
1035.89;0.00109806;1.3787e-07
1192.72;0.00123551;1.59781e-07
1373.3;0.00138538;1.75275e-07
1581.21;0.00155873;1.97255e-07
1820.6;0.00175182;2.06375e-07
2096.23;0.00196803;2.30337e-07
2413.59;0.00221699;2.55728e-07
2778.99;0.00248889;2.87396e-07
3199.72;0.00280633;3.27312e-07
3684.14;0.00315807;3.741e-07
4241.9;0.00355491;4.1889e-07
4884.11;0.00400863;4.66102e-07
5623.54;0.00450491;5.19268e-07
6474.92;0.00508957;5.94751e-07
7455.19;0.00573277;6.92368e-07
8583.87;0.00646622;7.73791e-07
9883.43;0.00729767;8.79006e-07
11379.7;0.0082162;9.79773e-07
13102.6;0.00928932;1.08046e-06
15086.2;0.0104695;1.2063e-06
17370.2;0.0118286;1.35063e-06
20000;0.0133595;1.4687e-06
