W (GeV);sigma (mb);sigma error (mb)
30;0.0283615;4.29882e-06
34.2572;0.0310452;4.25907e-06
39.1186;0.034107;4.54236e-06
44.6698;0.0374097;4.87455e-06
51.0087;0.0409844;6.82078e-06
58.2472;0.045024;6.17816e-06
66.5129;0.0493898;1.30842e-05
75.9516;0.0540989;1.24507e-05
86.7296;0.0594313;1.73163e-05
99.0372;0.0651576;1.81357e-05
113.091;0.0713206;1.4035e-05
129.14;0.0782602;9.96976e-06
147.466;0.0857579;1.12963e-05
168.392;0.0938052;1.31246e-05
192.288;0.1028;1.2046e-05
219.575;0.112532;1.50868e-05
250.734;0.122952;2.09447e-05
286.315;0.134555;1.93878e-05
326.946;0.147083;2.20281e-05
373.342;0.160481;1.94841e-05
426.321;0.175321;2.7651e-05
486.819;0.191306;2.42098e-05
555.903;0.208461;2.85878e-05
634.789;0.227255;2.95506e-05
724.87;0.247608;4.30158e-05
827.734;0.269225;3.8099e-05
945.196;0.292873;4.87425e-05
1079.33;0.318405;6.50802e-05
1232.49;0.345637;0.000104066
1407.39;0.375005;0.000121539
1607.11;0.407039;0.000132465
1835.17;0.440575;6.61077e-05
2095.59;0.476766;0.00019298
2392.97;0.516405;8.19201e-05
2732.55;0.557559;0.000120679
3120.32;0.601934;9.54284e-05
3563.11;0.650181;0.000117054
4068.75;0.700271;9.5789e-05
4646.13;0.753969;0.000102717
5305.45;0.812212;0.000129168
6058.33;0.872417;0.000297637
6918.05;0.936081;0.000308935
7899.77;1.00633;0.000140958
9020.8;1.07807;0.000171431
10300.9;1.15389;0.000170957
11762.7;1.23618;0.000187504
13431.9;1.32054;0.000172108
15338;1.40945;0.000256593
17514.6;1.50565;0.000243351
20000;1.60421;0.000221334
