W (GeV);sigma (mb);sigma error (mb)
20;6.1775e-05;8.29538e-09
23.0279;6.1775e-05;8.29538e-09
26.5142;6.37189e-05;8.55628e-09
30.5284;7.00725e-05;9.52005e-09
35.1502;7.72158e-05;1.08182e-08
40.4718;8.51467e-05;1.15402e-08
46.599;9.3811e-05;1.23962e-08
53.6539;0.000103736;1.48687e-08
61.7769;0.000114424;1.67079e-08
71.1296;0.00012656;1.84497e-08
81.8983;0.000139903;1.96141e-08
94.2973;0.00015461;2.23455e-08
108.574;0.000171289;2.47936e-08
125.011;0.000189258;2.74074e-08
143.937;0.000209823;3.07631e-08
165.729;0.000232278;3.42756e-08
190.819;0.000257213;3.68021e-08
219.708;0.000285231;4.02242e-08
252.971;0.000315405;4.16169e-08
291.27;0.000350212;4.91001e-08
335.367;0.000387923;5.69533e-08
386.14;0.000430019;5.96896e-08
444.599;0.000476921;6.50497e-08
511.91;0.000527719;6.83967e-08
589.41;0.000585959;7.64056e-08
678.644;0.00064887;8.51773e-08
781.388;0.000719514;9.85599e-08
899.687;0.000797309;1.00393e-07
1035.89;0.000882274;1.09771e-07
1192.72;0.000978844;1.21602e-07
1373.3;0.0010825;1.34949e-07
1581.21;0.00119996;1.53643e-07
1820.6;0.00132775;1.56985e-07
2096.23;0.00146805;1.73577e-07
2413.59;0.0016256;1.90865e-07
2778.99;0.00179421;2.06558e-07
3199.72;0.0019858;2.28581e-07
3684.14;0.00219246;2.51193e-07
4241.9;0.00241991;2.77901e-07
4884.11;0.00267232;3.07575e-07
5623.54;0.00294135;3.33198e-07
6474.92;0.00324798;3.68705e-07
7455.19;0.00357467;4.11562e-07
8583.87;0.00393556;4.52675e-07
9883.43;0.00433036;4.95018e-07
11379.7;0.00475283;5.43154e-07
13102.6;0.00522768;5.99006e-07
15086.2;0.00573057;6.53048e-07
17370.2;0.00628779;7.112e-07
20000;0.00688779;7.86763e-07
