W (GeV);sigma (mb);sigma error (mb)
30;6.97278e-05;9.44392e-09
34.2572;7.65985e-05;1.05954e-08
39.1186;8.45403e-05;1.15476e-08
44.6698;9.32211e-05;1.23214e-08
51.0087;0.000102648;1.35378e-08
58.2472;0.000113537;1.63666e-08
66.5129;0.000125472;1.73237e-08
75.9516;0.000138435;1.90241e-08
86.7296;0.000153353;2.16312e-08
99.0372;0.000169795;2.4505e-08
113.091;0.00018769;2.71224e-08
129.14;0.00020818;3.02118e-08
147.466;0.00023087;3.38329e-08
168.392;0.000255634;3.73254e-08
192.288;0.000283914;4.05643e-08
219.575;0.000315383;4.5226e-08
250.734;0.000349644;4.86006e-08
286.315;0.00038874;5.29139e-08
326.946;0.000432405;6.02766e-08
373.342;0.000480078;6.5414e-08
426.321;0.000534266;6.9824e-08
486.819;0.000595052;7.63952e-08
555.903;0.000661498;8.94093e-08
634.789;0.000736755;9.6099e-08
724.87;0.00082164;1.04405e-07
827.734;0.000914353;1.1444e-07
945.196;0.00101923;1.264e-07
1079.33;0.0011379;1.42775e-07
1232.49;0.00126786;1.61028e-07
1407.39;0.00141429;1.79193e-07
1607.11;0.00158011;1.86269e-07
1835.17;0.00176268;2.07519e-07
2095.59;0.00196752;2.30313e-07
2392.97;0.00220062;2.54652e-07
2732.55;0.00245721;2.83829e-07
3120.32;0.00274424;3.19044e-07
3563.11;0.00307228;3.65833e-07
4068.75;0.00343339;4.04244e-07
4646.13;0.00383625;4.49504e-07
5305.45;0.00429837;4.96246e-07
6058.33;0.00480834;5.53268e-07
6918.05;0.00537483;6.48853e-07
7899.77;0.00602734;7.2638e-07
9020.8;0.00674781;8.1602e-07
10300.9;0.0075454;9.06122e-07
11762.7;0.00846818;1.00565e-06
13431.9;0.00948636;1.09949e-06
15338;0.0106104;1.22317e-06
17514.6;0.0119164;1.36139e-06
20000;0.0133595;1.4687e-06
