W (GeV);sigma (mb);sigma error (mb)
30;6.92929e-05;9.40023e-09
34.2572;7.57505e-05;1.0466e-08
39.1186;8.31678e-05;1.13307e-08
44.6698;9.12128e-05;1.20326e-08
51.0087;9.99069e-05;1.35055e-08
58.2472;0.000109864;1.57634e-08
66.5129;0.000120706;1.77188e-08
75.9516;0.000132415;1.94038e-08
86.7296;0.000145742;2.07967e-08
99.0372;0.000160332;2.31727e-08
113.091;0.000176083;2.54491e-08
129.14;0.000193963;2.82343e-08
147.466;0.000213576;3.1267e-08
168.392;0.000234757;3.44097e-08
192.288;0.00025875;3.74387e-08
219.575;0.000285108;4.02093e-08
250.734;0.000313569;4.14914e-08
286.315;0.000345669;4.76563e-08
326.946;0.000381113;5.61185e-08
373.342;0.000419336;5.95126e-08
426.321;0.000462234;6.35423e-08
486.819;0.000509668;6.76594e-08
555.903;0.000560876;7.17268e-08
634.789;0.000618167;8.34623e-08
724.87;0.000681599;9.38851e-08
827.734;0.000749905;9.61227e-08
945.196;0.000825888;1.04016e-07
1079.33;0.000910394;1.13023e-07
1232.49;0.0010014;1.23928e-07
1407.39;0.00110223;1.36439e-07
1607.11;0.00121438;1.56453e-07
1835.17;0.0013349;1.57926e-07
2095.59;0.00146771;1.73531e-07
2392.97;0.00161557;1.91415e-07
2732.55;0.00177464;2.0394e-07
3120.32;0.00194869;2.23768e-07
3563.11;0.00214274;2.45791e-07
4068.75;0.00235095;2.74552e-07
4646.13;0.00257777;3.06346e-07
5305.45;0.00283066;3.32685e-07
6058.33;0.00310126;3.58946e-07
6918.05;0.00339434;3.91894e-07
7899.77;0.0037214;4.28573e-07
9020.8;0.00407067;4.66197e-07
10300.9;0.00444633;5.08856e-07
11762.7;0.00486596;5.56999e-07
13431.9;0.00531228;6.05693e-07
15338;0.00578973;6.60646e-07
17514.6;0.00632302;7.14324e-07
20000;0.00688779;7.86763e-07
