W;cross section (GeV^-2);cross section error (GeV^-2)
30;0.0291855;3.65887e-06
34.2572;0.0291855;3.65887e-06
39.1186;0.0291855;3.65887e-06
44.6698;0.0291855;3.65887e-06
51.0087;0.0291855;3.65887e-06
58.2472;0.0291855;3.65887e-06
66.5129;0.0291855;3.65887e-06
75.9516;0.0291855;3.65887e-06
86.7296;0.0299299;5.25328e-06
99.0372;0.0327776;4.49212e-06
113.091;0.0358127;4.9549e-06
129.14;0.039065;4.84418e-06
147.466;0.0425398;5.39303e-06
168.392;0.0462847;9.09848e-06
192.288;0.050262;1.56414e-05
219.575;0.0545528;1.26682e-05
250.734;0.0591339;1.63843e-05
286.315;0.0640435;1.51777e-05
326.946;0.0692907;1.86504e-05
373.342;0.0748692;1.76526e-05
426.321;0.0808842;8.57288e-06
486.819;0.0872811;1.32797e-05
555.903;0.0941789;2.6339e-05
634.789;0.101499;1.27437e-05
724.87;0.109358;2.38473e-05
827.734;0.11769;2.68156e-05
945.196;0.12661;4.66083e-05
1079.33;0.136216;4.54652e-05
1232.49;0.14646;4.76176e-05
1407.39;0.15745;3.70978e-05
1607.11;0.169088;4.25499e-05
1835.17;0.181522;6.17145e-05
2095.59;0.194839;6.48121e-05
2392.97;0.20905;4.88065e-05
2732.55;0.224147;6.42249e-05
3120.32;0.24047;2.57528e-05
3563.11;0.257727;4.17869e-05
4068.75;0.276258;3.51659e-05
4646.13;0.295794;0.000227764
5305.45;0.316969;3.33676e-05
6058.33;0.339474;5.41971e-05
6918.05;0.363333;6.9591e-05
7899.77;0.388909;4.9254e-05
9020.8;0.416182;6.31551e-05
10300.9;0.445225;6.22207e-05
11762.7;0.476256;6.45378e-05
13431.9;0.509307;5.47054e-05
15338;0.544622;8.20318e-05
17514.6;0.582306;7.06955e-05
20000;0.622391;8.12492e-05
