W;cross section (GeV^-2);cross section error (GeV^-2)
30;0.000162445;1.75726e-08
34.2572;0.000162445;1.75726e-08
39.1186;0.000162445;1.75726e-08
44.6698;0.000162445;1.75726e-08
51.0087;0.000162445;1.75726e-08
58.2472;0.000162445;1.75726e-08
66.5129;0.000162445;1.75726e-08
75.9516;0.000162445;1.75726e-08
86.7296;0.000166654;1.91882e-08
99.0372;0.0001826;1.97504e-08
113.091;0.000199727;2.03163e-08
129.14;0.000218017;2.23411e-08
147.466;0.00023766;2.30059e-08
168.392;0.000258762;2.73257e-08
192.288;0.000281261;2.96805e-08
219.575;0.00030542;3.1078e-08
250.734;0.000331304;3.35976e-08
286.315;0.000358954;3.35539e-08
326.946;0.000388597;3.78383e-08
373.342;0.000420348;4.22389e-08
426.321;0.000454242;4.56221e-08
486.819;0.000490526;4.91558e-08
555.903;0.00052937;5.2286e-08
634.789;0.000570876;5.69629e-08
724.87;0.000615227;5.97133e-08
827.734;0.000662662;6.13612e-08
945.196;0.000713327;6.69911e-08
1079.33;0.000767471;7.20292e-08
1232.49;0.000825371;7.63267e-08
1407.39;0.000887152;8.07793e-08
1607.11;0.000953168;8.71888e-08
1835.17;0.00102369;9.25761e-08
2095.59;0.00109896;9.97314e-08
2392.97;0.00117939;1.09796e-07
2732.55;0.00126522;1.17183e-07
3120.32;0.00135677;1.22887e-07
3563.11;0.00145456;1.32163e-07
4068.75;0.00155895;1.41527e-07
4646.13;0.00167035;1.51395e-07
5305.45;0.0017892;1.67432e-07
6058.33;0.00191607;1.82022e-07
6918.05;0.00205131;1.93454e-07
7899.77;0.0021956;2.01332e-07
9020.8;0.00234957;2.20904e-07
10300.9;0.0025138;2.43643e-07
11762.7;0.00268892;2.50865e-07
13431.9;0.0028756;2.63412e-07
15338;0.0030749;2.83995e-07
17514.6;0.00328726;3.07767e-07
20000;0.00351357;3.31148e-07
