W;cross section (GeV^-2);cross section error (GeV^-2)
30;0.0291855;3.65887e-06
34.2572;0.0291855;3.65887e-06
39.1186;0.0291855;3.65887e-06
44.6698;0.0291855;3.65887e-06
51.0087;0.0291855;3.65887e-06
58.2472;0.0291855;3.65887e-06
66.5129;0.0291855;3.65887e-06
75.9516;0.0291855;3.65887e-06
86.7296;0.0299024;5.74245e-06
99.0372;0.0326231;5.17745e-06
113.091;0.0355291;5.8824e-06
129.14;0.0385941;7.54851e-06
147.466;0.0418612;7.70308e-06
168.392;0.0453589;1.22069e-05
192.288;0.0490467;1.06938e-05
219.575;0.0529747;1.30208e-05
250.734;0.0571577;1.36715e-05
286.315;0.0615816;1.41628e-05
326.946;0.0662624;7.34766e-06
373.342;0.0712504;8.81549e-06
426.321;0.0765221;1.7074e-05
486.819;0.0821203;1.09761e-05
555.903;0.0880596;1.33873e-05
634.789;0.0943355;1.3337e-05
724.87;0.100995;1.64513e-05
827.734;0.108024;9.83533e-05
945.196;0.115434;1.66238e-05
1079.33;0.123272;2.12067e-05
1232.49;0.131559;1.79514e-05
1407.39;0.140334;2.0467e-05
1607.11;0.149552;2.03703e-05
1835.17;0.159306;2.56527e-05
2095.59;0.169517;2.25437e-05
2392.97;0.180351;2.32475e-05
2732.55;0.191734;2.49216e-05
3120.32;0.203717;4.81046e-05
3563.11;0.21635;5.67682e-05
4068.75;0.22953;3.05803e-05
4646.13;0.243465;3.36229e-05
5305.45;0.258133;5.72828e-05
6058.33;0.273534;3.56124e-05
6918.05;0.289603;4.04564e-05
7899.77;0.306574;8.80327e-05
9020.8;0.324249;5.54843e-05
10300.9;0.34271;5.058e-05
11762.7;0.362283;8.81858e-05
13431.9;0.38262;9.61539e-05
15338;0.403921;8.449e-05
17514.6;0.425832;0.000112782
20000;0.449167;5.27745e-05
