W;cross section (GeV^-2);cross section error (GeV^-2)
30;0.000162445;1.75726e-08
34.2572;0.000162445;1.75726e-08
39.1186;0.000162445;1.75726e-08
44.6698;0.000162445;1.75726e-08
51.0087;0.000162445;1.75726e-08
58.2472;0.000162445;1.75726e-08
66.5129;0.000162445;1.75726e-08
75.9516;0.000162445;1.75726e-08
86.7296;0.000166601;1.90486e-08
99.0372;0.000182323;1.95535e-08
113.091;0.000199176;2.02436e-08
129.14;0.000217141;2.24029e-08
147.466;0.000236397;2.24761e-08
168.392;0.000257001;2.77641e-08
192.288;0.000278964;2.8227e-08
219.575;0.000302483;3.08259e-08
250.734;0.000327625;3.31423e-08
286.315;0.000354402;3.32146e-08
326.946;0.000383049;3.78668e-08
373.342;0.00041363;4.15019e-08
426.321;0.000446233;4.35166e-08
486.819;0.000480979;4.66155e-08
555.903;0.000518102;5.01976e-08
634.789;0.000557587;5.15226e-08
724.87;0.000599727;5.65438e-08
827.734;0.000644612;6.00408e-08
945.196;0.000692373;6.32143e-08
1079.33;0.000743233;6.81076e-08
1232.49;0.000797442;7.28722e-08
1407.39;0.000855073;7.89804e-08
1607.11;0.00091637;8.65141e-08
1835.17;0.000981641;9.26513e-08
2095.59;0.00105096;9.73848e-08
2392.97;0.00112468;1.05917e-07
2732.55;0.00120302;1.11014e-07
3120.32;0.00128621;1.20427e-07
3563.11;0.00137461;1.3134e-07
4068.75;0.00146839;1.42435e-07
4646.13;0.0015679;1.43532e-07
5305.45;0.00167359;1.55672e-07
6058.33;0.00178562;1.71447e-07
6918.05;0.00190445;1.82588e-07
7899.77;0.00203037;1.94872e-07
9020.8;0.00216386;2.09318e-07
10300.9;0.00230527;2.2504e-07
11762.7;0.00245493;2.42304e-07
13431.9;0.00261346;2.63936e-07
15338;0.00278133;2.84155e-07
17514.6;0.00295864;2.88624e-07
20000;0.00314638;3.00055e-07
