W (GeV);sigma (mb);sigma error (mb)
30;0.00120965;1.29072e-07
34.2572;0.00120965;1.29072e-07
39.1186;0.00120965;1.29072e-07
44.6698;0.00120965;1.29072e-07
51.0087;0.00120965;1.29072e-07
58.2472;0.00120965;1.29072e-07
66.5129;0.00120965;1.29072e-07
75.9516;0.00120965;1.29072e-07
86.7296;0.00125951;1.18638e-07
99.0372;0.00145636;1.5158e-07
113.091;0.00168202;1.92299e-07
129.14;0.00193928;1.78259e-07
147.466;0.00223458;2.80916e-07
168.392;0.00257146;2.33728e-07
192.288;0.00295636;3.36206e-07
219.575;0.00339538;4.041e-07
250.734;0.00389817;5.76971e-07
286.315;0.00447003;5.28086e-07
326.946;0.00512167;6.21275e-07
373.342;0.00586768;8.92465e-07
426.321;0.00671494;6.63392e-07
486.819;0.00768133;7.4926e-07
555.903;0.00878387;9.89878e-07
634.789;0.0100385;1.69726e-06
724.87;0.0114622;1.51747e-06
827.734;0.0130866;1.8422e-06
945.196;0.014938;1.80856e-06
1079.33;0.0170392;2.25567e-06
1232.49;0.0194384;8.39478e-06
1407.39;0.0221545;2.66745e-06
1607.11;0.0252466;2.98305e-06
1835.17;0.0287634;3.94762e-06
2095.59;0.0327537;4.13464e-06
2392.97;0.0372933;5.93429e-06
2732.55;0.0424537;5.44138e-06
3120.32;0.0483132;8.06432e-06
3563.11;0.0549693;7.94984e-06
4068.75;0.0625287;6.91273e-06
4646.13;0.0711278;9.40058e-06
5305.45;0.0808702;8.8034e-06
6058.33;0.0919551;1.34258e-05
6918.05;0.104512;1.43988e-05
7899.77;0.118778;1.7081e-05
9020.8;0.134984;1.7053e-05
10300.9;0.153347;2.27295e-05
11762.7;0.174229;2.54004e-05
13431.9;0.197926;2.42361e-05
15338;0.224794;2.92286e-05
17514.6;0.255328;2.93692e-05
20000;0.289953;3.60886e-05
