W (GeV);sigma (mb);sigma error (mb)
30;2.96567e-06;3.7555e-10
34.2572;2.96567e-06;3.7555e-10
39.1186;2.96567e-06;3.7555e-10
44.6698;2.96567e-06;3.7555e-10
51.0087;2.96567e-06;3.7555e-10
58.2472;2.96567e-06;3.7555e-10
66.5129;2.96567e-06;3.7555e-10
75.9516;2.96567e-06;3.7555e-10
86.7296;3.08225e-06;3.91395e-10
99.0372;3.54189e-06;4.43829e-10
113.091;4.0655e-06;5.07225e-10
129.14;4.6605e-06;5.79817e-10
147.466;5.33795e-06;6.37224e-10
168.392;6.10788e-06;7.27287e-10
192.288;6.98182e-06;8.33124e-10
219.575;7.97442e-06;9.5217e-10
250.734;9.10137e-06;1.08782e-09
286.315;1.03786e-05;1.25006e-09
326.946;1.18279e-05;1.44781e-09
373.342;1.34715e-05;1.60245e-09
426.321;1.53324e-05;1.83829e-09
486.819;1.74434e-05;2.07454e-09
555.903;1.98347e-05;2.37545e-09
634.789;2.25417e-05;2.72449e-09
724.87;2.56059e-05;3.11629e-09
827.734;2.90757e-05;3.53685e-09
945.196;3.30028e-05;3.98059e-09
1079.33;3.74453e-05;4.55573e-09
1232.49;4.24726e-05;5.13624e-09
1407.39;4.81558e-05;5.80735e-09
1607.11;5.45857e-05;6.57636e-09
1835.17;6.18588e-05;7.47538e-09
2095.59;7.00758e-05;8.44524e-09
2392.97;7.9371e-05;9.41222e-09
2732.55;8.98705e-05;1.09052e-08
3120.32;0.000101745;1.23572e-08
3563.11;0.000115174;1.39336e-08
4068.75;0.000130352;1.46949e-08
4646.13;0.000147486;1.64244e-08
5305.45;0.000166861;1.77699e-08
6058.33;0.000188749;1.99302e-08
6918.05;0.000213467;2.29698e-08
7899.77;0.000241402;2.6059e-08
9020.8;0.000272964;2.9234e-08
10300.9;0.000308637;3.25535e-08
11762.7;0.000348935;3.66153e-08
13431.9;0.000394433;4.16673e-08
15338;0.000445815;4.83901e-08
17514.6;0.000503863;5.48383e-08
20000;0.000569445;6.26708e-08
