W (GeV);sigma (mb);sigma error (mb)
30;0.00120965;1.29072e-07
34.2572;0.00120965;1.29072e-07
39.1186;0.00120965;1.29072e-07
44.6698;0.00120965;1.29072e-07
51.0087;0.00120965;1.29072e-07
58.2472;0.00120965;1.29072e-07
66.5129;0.00120965;1.29072e-07
75.9516;0.00120965;1.29072e-07
86.7296;0.00125277;1.18106e-07
99.0372;0.00142032;1.40823e-07
113.091;0.00160746;1.61705e-07
129.14;0.00181525;2.15663e-07
147.466;0.00204615;2.19025e-07
168.392;0.0023033;2.53446e-07
192.288;0.00258745;2.95319e-07
219.575;0.00290255;3.3179e-07
250.734;0.00325179;3.40587e-07
286.315;0.00363551;5.37007e-07
326.946;0.00405999;5.92178e-07
373.342;0.00452982;5.99674e-07
426.321;0.00504557;6.27402e-07
486.819;0.00561247;7.23331e-07
555.903;0.00623528;7.37092e-07
634.789;0.00691771;1.09039e-06
724.87;0.00766599;1.01437e-06
827.734;0.00849016;1.28787e-06
945.196;0.00938677;1.12349e-06
1079.33;0.0103681;2.5348e-06
1232.49;0.0114344;2.70088e-06
1407.39;0.0126018;1.44377e-06
1607.11;0.0138729;2.67437e-06
1835.17;0.0152532;2.30104e-06
2095.59;0.0167551;2.3222e-06
2392.97;0.0183843;3.45783e-06
2732.55;0.02015;2.49745e-06
3120.32;0.0220673;2.93583e-06
3563.11;0.0241424;4.79993e-06
4068.75;0.0263809;5.34059e-06
4646.13;0.0287959;5.12719e-06
5305.45;0.0313978;4.90088e-06
6058.33;0.0342071;5.34793e-06
6918.05;0.037235;4.67767e-06
7899.77;0.0404896;6.09859e-06
9020.8;0.0439811;5.51973e-06
10300.9;0.0477341;8.86306e-06
11762.7;0.0517268;7.08325e-06
13431.9;0.0560301;6.72908e-06
15338;0.060612;8.05665e-06
17514.6;0.065535;8.50404e-06
20000;0.0707629;9.93253e-06
