W (GeV);sigma (mb);sigma error (mb)
30;2.88966e-06;3.47498e-10
34.2572;2.88966e-06;3.47498e-10
39.1186;2.88966e-06;3.47498e-10
44.6698;2.88966e-06;3.47498e-10
51.0087;2.88966e-06;3.47498e-10
58.2472;2.88966e-06;3.47498e-10
66.5129;2.88966e-06;3.47498e-10
75.9516;2.88966e-06;3.47498e-10
86.7296;2.99956e-06;3.63695e-10
99.0372;3.43126e-06;4.2109e-10
113.091;3.91898e-06;4.86656e-10
129.14;4.4691e-06;5.14295e-10
147.466;5.09051e-06;5.65154e-10
168.392;5.79116e-06;6.51893e-10
192.288;6.5785e-06;7.52328e-10
219.575;7.46565e-06;8.76109e-10
250.734;8.46334e-06;1.0607e-09
286.315;9.58241e-06;1.18845e-09
326.946;1.0836e-05;1.303e-09
373.342;1.22452e-05;1.53119e-09
426.321;1.38187e-05;1.60372e-09
486.819;1.55821e-05;1.7515e-09
555.903;1.75553e-05;1.95557e-09
634.789;1.97587e-05;2.20048e-09
724.87;2.22196e-05;2.47639e-09
827.734;2.49663e-05;2.78875e-09
945.196;2.80242e-05;3.13205e-09
1079.33;3.14297e-05;3.46661e-09
1232.49;3.52209e-05;4.03161e-09
1407.39;3.94354e-05;4.57622e-09
1607.11;4.41252e-05;5.45338e-09
1835.17;4.9327e-05;5.92844e-09
2095.59;5.50819e-05;6.36838e-09
2392.97;6.14676e-05;6.79068e-09
2732.55;6.85415e-05;7.57048e-09
3120.32;7.63625e-05;8.36311e-09
3563.11;8.50055e-05;9.29018e-09
4068.75;9.45532e-05;1.01102e-08
4646.13;0.000105083;1.11172e-08
5305.45;0.000116678;1.23198e-08
6058.33;0.000129449;1.43025e-08
6918.05;0.000143493;1.61011e-08
7899.77;0.000158919;1.77882e-08
9020.8;0.000175857;1.9682e-08
10300.9;0.000194412;2.23721e-08
11762.7;0.000214742;2.55711e-08
13431.9;0.000237015;2.81387e-08
15338;0.000261358;3.13841e-08
17514.6;0.00028791;3.35105e-08
20000;0.000316905;3.66802e-08
