W (GeV);sigma (mb);sigma error (mb)
30;0.147867;1.90551e-05
34.2572;0.164424;9.05644e-05
39.1186;0.183154;2.87838e-05
44.6698;0.203954;7.28968e-05
51.0087;0.227513;3.26994e-05
58.2472;0.253851;3.86381e-05
66.5129;0.283355;5.10029e-05
75.9516;0.316549;4.59285e-05
86.7296;0.353665;5.73015e-05
99.0372;0.395412;5.23392e-05
113.091;0.442335;6.8607e-05
129.14;0.49506;0.000213284
147.466;0.554192;0.000240874
168.392;0.620597;0.000293168
192.288;0.695293;0.000342822
219.575;0.779108;0.000244611
250.734;0.873188;0.000297283
286.315;0.979479;0.000307466
326.946;1.09827;0.000362372
373.342;1.23305;0.000458045
426.321;1.38356;0.000216422
486.819;1.55331;0.00020998
555.903;1.74464;0.00029379
634.789;1.95996;0.000282656
724.87;2.20223;0.000339249
827.734;2.47508;0.000460248
945.196;2.7829;0.00055565
1079.33;3.1288;0.0004114
1232.49;3.5176;0.00116796
1407.39;3.9536;0.00236339
1607.11;4.44883;0.00204008
1835.17;5.01457;0.00139003
2095.59;5.64102;0.00160984
2392.97;6.35335;0.00203677
2732.55;7.15137;0.00227556
3120.32;8.05653;0.00322344
3563.11;9.07455;0.00155679
4068.75;10.2266;0.00243169
4646.13;11.5224;0.00173477
5305.45;13.1293;0.109628
6058.33;14.6353;0.00380071
6918.05;16.5026;0.00464075
7899.77;18.6067;0.00782892
9020.8;20.9605;0.0117889
10300.9;23.6629;0.00898414
11762.7;26.7002;0.00788873
13431.9;30.1174;0.010998
15338;33.9973;0.0108326
17514.6;38.3728;0.0164605
20000;43.301;0.0184947
