W (GeV);sigma (mb);sigma error (mb)
30;0.000422785;5.32664e-08
34.2572;0.000466273;6.01649e-08
39.1186;0.000514628;6.81471e-08
44.6698;0.000568414;7.45912e-08
51.0087;0.000628144;8.22097e-08
58.2472;0.000694712;9.39688e-08
66.5129;0.000768818;1.04674e-07
75.9516;0.00085128;1.14885e-07
86.7296;0.000943101;1.19117e-07
99.0372;0.0010454;1.33164e-07
113.091;0.00115934;1.63081e-07
129.14;0.00128646;1.84527e-07
147.466;0.0014283;1.97599e-07
168.392;0.00158628;2.19854e-07
192.288;0.0017626;2.43427e-07
219.575;0.00195953;2.71499e-07
250.734;0.00217954;3.0566e-07
286.315;0.00242507;3.49027e-07
326.946;0.00269959;3.83041e-07
373.342;0.0030062;4.19136e-07
426.321;0.00334898;4.61069e-07
486.819;0.00373196;5.05349e-07
555.903;0.00416023;5.23629e-07
634.789;0.00463979;6.32505e-07
724.87;0.00517619;6.94794e-07
827.734;0.00577616;7.53061e-07
945.196;0.00644863;8.21945e-07
1079.33;0.00720124;8.85745e-07
1232.49;0.00804436;1.01879e-06
1407.39;0.00898979;1.16429e-06
1607.11;0.010049;1.27375e-06
1835.17;0.0112358;1.51307e-06
2095.59;0.0125659;1.58329e-06
2392.97;0.0140574;1.73297e-06
2732.55;0.0157296;1.91274e-06
3120.32;0.0176068;2.12658e-06
3563.11;0.0197139;2.36904e-06
4068.75;0.0220776;2.63843e-06
4646.13;0.0247304;2.95845e-06
5305.45;0.0277097;3.31552e-06
6058.33;0.0310547;3.79759e-06
6918.05;0.0348095;4.33089e-06
7899.77;0.0390314;4.78135e-06
9020.8;0.0437724;5.33995e-06
10300.9;0.049099;5.93695e-06
11762.7;0.055087;6.65669e-06
13431.9;0.0618155;7.86871e-06
15338;0.0693751;8.58153e-06
17514.6;0.0778702;8.91462e-06
20000;0.0874312;9.91976e-06
