W (GeV);sigma (mb);sigma error (mb)
30;0.142123;2.2858e-05
34.2572;0.153108;2.27783e-05
39.1186;0.164902;3.37975e-05
44.6698;0.177654;2.34958e-05
51.0087;0.191398;2.47764e-05
58.2472;0.206281;9.22879e-05
66.5129;0.222105;8.5464e-05
75.9516;0.239192;8.92915e-05
86.7296;0.257408;3.60603e-05
99.0372;0.277028;3.96887e-05
113.091;0.298149;0.000106749
129.14;0.320688;0.000105364
147.466;0.344669;4.45555e-05
168.392;0.370486;0.000135249
192.288;0.397825;5.39845e-05
219.575;0.42705;5.13651e-05
250.734;0.458314;6.19184e-05
286.315;0.491616;6.5611e-05
326.946;0.526805;8.67859e-05
373.342;0.564548;0.000205179
426.321;0.604709;0.000258341
486.819;0.646798;0.00027784
555.903;0.691681;8.37441e-05
634.789;0.739273;9.53545e-05
724.87;0.789451;0.000122462
827.734;0.842646;0.00010214
945.196;0.898864;0.000103158
1079.33;0.958129;0.00012138
1232.49;1.02037;0.000132256
1407.39;1.08645;0.000144173
1607.11;1.15567;0.000182858
1835.17;1.22803;0.000179199
2095.59;1.30447;0.00016151
2392.97;1.38425;0.000177946
2732.55;1.46805;0.000184438
3120.32;1.55572;0.00019857
3563.11;1.64741;0.000273779
4068.75;1.74277;0.000242477
4646.13;1.8427;0.000253286
5305.45;1.94664;0.000286679
6058.33;2.05485;0.00025892
6918.05;2.16772;0.000305181
7899.77;2.28463;0.000302597
9020.8;2.40635;0.000371791
10300.9;2.53166;0.00104509
11762.7;2.66281;0.000353575
13431.9;2.79774;0.000366851
15338;2.9377;0.000355726
17514.6;3.08193;0.000424854
20000;3.23067;0.000435306
