W (GeV);sigma (mb);sigma error (mb)
30;0.000403762;5.13517e-08
34.2572;0.000440746;5.6597e-08
39.1186;0.000481342;6.27659e-08
44.6698;0.000525884;7.20386e-08
51.0087;0.000574689;7.536e-08
58.2472;0.000628406;8.76993e-08
66.5129;0.000687215;9.30909e-08
75.9516;0.00075179;1.01759e-07
86.7296;0.000822461;1.1452e-07
99.0372;0.000900035;1.22454e-07
113.091;0.000984985;1.27189e-07
129.14;0.00107813;1.36143e-07
147.466;0.00117991;1.49157e-07
168.392;0.0012914;1.66334e-07
192.288;0.00141323;1.89323e-07
219.575;0.00154642;2.14526e-07
250.734;0.00169225;2.40673e-07
286.315;0.00185109;2.63538e-07
326.946;0.00202437;2.81742e-07
373.342;0.00221394;3.01665e-07
426.321;0.0024196;3.16713e-07
486.819;0.00264388;3.38311e-07
555.903;0.00288842;4.12984e-07
634.789;0.00315397;4.50462e-07
724.87;0.00344237;4.93236e-07
827.734;0.00375515;4.9409e-07
945.196;0.00409416;5.2146e-07
1079.33;0.00446183;5.51094e-07
1232.49;0.00486011;6.15389e-07
1407.39;0.00529076;6.72594e-07
1607.11;0.00575541;7.2403e-07
1835.17;0.00625773;7.93173e-07
2095.59;0.00679875;8.59356e-07
2392.97;0.00738164;9.37598e-07
2732.55;0.00800996;1.04522e-06
3120.32;0.00868358;1.08494e-06
3563.11;0.00940706;1.17627e-06
4068.75;0.0101831;1.28346e-06
4646.13;0.011015;1.43549e-06
5305.45;0.0119018;1.47314e-06
6058.33;0.012853;1.64083e-06
6918.05;0.0138686;1.81296e-06
7899.77;0.014949;1.95996e-06
9020.8;0.016098;1.92075e-06
10300.9;0.0173243;2.04045e-06
11762.7;0.0186253;2.22626e-06
13431.9;0.020005;2.43031e-06
15338;0.0214713;2.6301e-06
17514.6;0.0230191;2.81686e-06
20000;0.024658;3.05596e-06
