Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
4.5;0.04;0.00012;2.79873e-08;2.01648e-08;1.74874
4.5;0.04;0.00029;1.69858e-08;1.48297e-08;0.54105
4.5;0.04;0.00067;1.31338e-08;1.65283e-08;2.16046
4.5;0.1;0.00012;7.43351e-08;2.99135e-08;3.3202
4.5;0.1;0.00029;8.24046e-08;2.52586e-08;1.29592
4.5;0.1;0.00067;8.5802e-08;1.9925e-08;0.880847
4.5;0.2;0.00012;4.18029e-07;3.94983e-08;1.0349
4.5;0.2;0.00029;3.33681e-07;3.31964e-08;0.128138
4.5;0.2;0.00067;2.99146e-07;2.96154e-08;1.2449
4.5;0.4;0.00012;3.87055e-06;6.58435e-08;1.42551
4.5;0.4;0.00029;2.84698e-06;5.66343e-08;0.848017
4.5;0.4;0.00067;2.12804e-06;4.2498e-08;0.8209
4.5;0.4;0.0016;1.62979e-06;2.87858e-08;0.527856
4.5;0.65;0.00012;2.60173e-05;9.4585e-08;0.801379
4.5;0.65;0.00029;1.92206e-05;7.64517e-08;1.1155
4.5;0.65;0.00067;1.45352e-05;5.69423e-08;0.911617
4.5;0.65;0.0016;1.09061e-05;4.29899e-08;0.77609
4.5;0.9;0.00029;6.49083e-05;9.98354e-08;0.243655
4.5;0.9;0.00067;4.98717e-05;7.5095e-08;0.845137
4.5;0.9;0.0016;3.8051e-05;7.16966e-08;0.318103
7.5;0.04;0.0002;-9.67896e-10;6.37843e-09;0.443794
7.5;0.04;0.0004;-9.71901e-10;4.97104e-09;1.90248
7.5;0.04;0.00079;-9.71901e-10;4.97104e-09;1.90248
7.5;0.1;0.0002;2.27939e-08;9.73642e-09;0.771787
7.5;0.1;0.0004;3.4378e-09;1.00998e-08;1.53916
7.5;0.1;0.00079;2.06895e-08;6.64264e-09;0.84615
7.5;0.1;0.00158;-3.62347e-09;6.99824e-09;2.34444
7.5;0.1;0.00316;-3.62347e-09;6.99824e-09;2.34444
7.5;0.2;0.0002;9.82751e-08;1.52787e-08;0.339889
7.5;0.2;0.0004;8.62205e-08;1.28296e-08;0.367308
7.5;0.2;0.00079;8.09665e-08;9.87765e-09;0.775675
7.5;0.2;0.00158;6.58176e-08;8.31518e-09;0.252865
7.5;0.2;0.00316;6.45101e-08;7.39836e-09;0.45604
