Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
4.5;0.04;0.00012;7.63464e-10;8.08494e-10;0.976853
4.5;0.04;0.00029;-2.44193e-10;6.37781e-10;0.521722
4.5;0.04;0.00067;2.13627e-10;5.76651e-10;0.168569
4.5;0.1;0.00012;1.04917e-08;1.68788e-09;0.175141
4.5;0.1;0.00029;6.22912e-09;1.00861e-09;0.840768
4.5;0.1;0.00067;6.38047e-09;8.03684e-10;0.23589
4.5;0.2;0.00012;1.96698e-07;2.14452e-09;1.66619
4.5;0.2;0.00029;1.35944e-07;1.73185e-09;0.79154
4.5;0.2;0.00067;9.83386e-08;1.23341e-09;1.17321
4.5;0.4;0.00012;1.17836e-06;2.10751e-09;1.05459
4.5;0.4;0.00029;8.61483e-07;1.58897e-09;0.384447
4.5;0.4;0.00067;6.44304e-07;1.19236e-09;2.08849
4.5;0.4;0.0016;4.76208e-07;7.68912e-10;0.857699
4.5;0.65;0.00012;0;0;0
4.5;0.65;0.00029;0;0;0
4.5;0.65;0.00067;0;0;0
4.5;0.65;0.0016;0;0;0
4.5;0.9;0.00029;0;0;0
4.5;0.9;0.00067;0;0;0
4.5;0.9;0.0016;0;0;0
7.5;0.04;0.0002;-3.31603e-10;5.52405e-10;0.954967
7.5;0.04;0.0004;-3.00452e-10;4.20083e-10;1.42453
7.5;0.04;0.00079;-3.00452e-10;4.20083e-10;1.42453
7.5;0.1;0.0002;3.64626e-09;1.3001e-09;0.165436
7.5;0.1;0.0004;3.0654e-09;7.40381e-10;1.51949
7.5;0.1;0.00079;1.81719e-09;5.95066e-10;0.19977
7.5;0.1;0.00158;2.40036e-09;5.70771e-10;0.177545
7.5;0.1;0.00316;2.40036e-09;5.70771e-10;0.177545
7.5;0.2;0.0002;3.39867e-08;1.57599e-09;0.867613
7.5;0.2;0.0004;2.57994e-08;1.10738e-09;1.14503
7.5;0.2;0.00079;1.95419e-08;1.16809e-09;0.79505
7.5;0.2;0.00158;1.46764e-08;7.37474e-10;2.40831
7.5;0.2;0.00316;1.43271e-08;7.52768e-10;1.02733
7.5;0.4;0.0002;8.34809e-07;2.4206e-09;1.24449
7.5;0.4;0.0004;6.3992e-07;1.8926e-09;0.902011
7.5;0.4;0.00079;4.93323e-07;3.28605e-09;0.977206
7.5;0.4;0.00158;3.78984e-07;1.39891e-09;0.513036
7.5;0.4;0.00316;2.90261e-07;8.34185e-10;2.30493
7.5;0.4;0.00668;2.64144e-07;9.16786e-10;0.608533
7.5;0.65;0.0002;0;0;0
7.5;0.65;0.0004;0;0;0
7.5;0.65;0.00079;0;0;0
7.5;0.65;0.00158;0;0;0
7.5;0.65;0.00316;0;0;0
7.5;0.65;0.00668;0;0;0
7.5;0.9;0.0004;0;0;0
7.5;0.9;0.00079;0;0;0
7.5;0.9;0.00158;0;0;0
7.5;0.9;0.00316;0;0;0
7.5;0.9;0.00668;0;0;0
7.5;0.9;0.01778;0;0;0
9;0.04;0.00024;3.79556e-10;4.4246e-10;0.533637
9;0.04;0.00042;1.44138e-10;3.89978e-10;0.182742
9;0.04;0.00075;1.44138e-10;3.89978e-10;0.182742
9;0.1;0.00024;-1.79771e-10;9.51788e-10;0.314194
9;0.1;0.00042;1.919e-09;6.65407e-10;0.632035
9;0.1;0.00075;1.63979e-09;5.92807e-10;0.160725
9;0.1;0.00133;1.24735e-09;5.24859e-10;0.274776
9;0.1;0.00237;1.24735e-09;5.24859e-10;0.274776
9;0.2;0.00024;1.85089e-08;1.1446e-09;0.742197
9;0.2;0.00042;1.43542e-08;9.57827e-10;0.373652
9;0.2;0.00075;1.05635e-08;8.90748e-10;0.332963
9;0.2;0.00133;9.47639e-09;6.76602e-10;0.67347
9;0.2;0.00237;8.52713e-09;6.35536e-10;1.20478
9;0.2;0.00421;8.52713e-09;6.35536e-10;1.20478
9;0.4;0.00024;5.27097e-07;1.98031e-09;1.30221
9;0.4;0.00042;4.22946e-07;1.61602e-09;0.61416
9;0.4;0.00075;3.36969e-07;1.4579e-09;0.691932
9;0.4;0.00133;2.67518e-07;9.94793e-10;1.75872
9;0.4;0.00237;2.13587e-07;8.21712e-10;2.75224
9;0.4;0.00421;1.73526e-07;6.81719e-10;2.2968
9;0.4;0.0075;1.73526e-07;6.81719e-10;2.2968
9;0.65;0.00024;0;0;0
9;0.65;0.00042;0;0;0
9;0.65;0.00075;0;0;0
9;0.65;0.00133;0;0;0
9;0.65;0.00237;0;0;0
9;0.65;0.00421;0;0;0
9;0.65;0.0075;0;0;0
9;0.9;0.00042;0;0;0
9;0.9;0.00075;0;0;0
9;0.9;0.00133;0;0;0
9;0.9;0.00237;0;0;0
9;0.9;0.00421;0;0;0
9;0.9;0.0075;0;0;0
12;0.04;0.00024;4.80444e-10;3.1425e-10;0.718404
12;0.04;0.00042;2.84661e-10;2.66481e-10;0.397348
12;0.04;0.00075;2.84661e-10;2.66481e-10;0.397348
12;0.04;0.00133;2.84661e-10;2.66481e-10;0.397348
