Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
4.5;0.04;0.00012;6.80914e-08;9.78798e-08;1.52302
4.5;0.04;0.00029;9.40416e-09;6.29506e-08;1.11867
4.5;0.04;0.00067;5.63053e-08;7.25047e-08;1.22076
4.5;0.1;0.00012;5.76031e-07;1.61063e-07;1.02164
4.5;0.1;0.00029;2.37169e-07;1.10132e-07;0.95349
4.5;0.1;0.00067;3.70555e-07;9.89473e-08;0.986902
4.5;0.2;0.00012;2.24113e-06;1.61175e-07;1.00689
4.5;0.2;0.00029;1.96918e-06;1.32935e-07;0.362651
4.5;0.2;0.00067;1.45364e-06;1.07431e-07;0.417146
4.5;0.4;0.00012;2.27388e-05;2.80696e-07;0.937793
4.5;0.4;0.00029;1.71849e-05;2.46109e-07;0.505398
4.5;0.4;0.00067;1.30618e-05;1.4605e-07;1.37733
4.5;0.4;0.0016;1.00915e-05;1.63252e-07;0.453762
4.5;0.65;0.00012;0.000150345;3.74808e-07;0.227174
4.5;0.65;0.00029;0.000114096;3.08976e-07;0.27553
4.5;0.65;0.00067;8.7357e-05;2.7012e-07;0.18401
4.5;0.65;0.0016;6.68814e-05;1.90272e-07;0.465253
4.5;0.9;0.00029;0.000376862;4.74761e-07;0.550249
4.5;0.9;0.00067;0.000295063;3.08471e-07;1.79923
4.5;0.9;0.0016;0.000230108;2.63578e-07;1.72477
7.5;0.04;0.0002;1.03199e-08;3.63902e-08;0.577066
7.5;0.04;0.0004;8.34413e-09;3.11964e-08;0.770276
7.5;0.04;0.00079;8.34413e-09;3.11964e-08;0.770276
7.5;0.1;0.0002;8.29618e-08;4.64128e-08;0.779497
7.5;0.1;0.0004;1.2461e-07;3.68771e-08;0.563481
7.5;0.1;0.00079;9.97047e-08;3.00167e-08;0.858103
7.5;0.1;0.00158;5.91574e-08;3.58253e-08;1.09075
7.5;0.1;0.00316;5.91574e-08;3.58253e-08;1.09075
7.5;0.2;0.0002;4.15024e-07;6.39277e-08;0.403256
7.5;0.2;0.0004;4.78622e-07;1.38921e-07;0.977383
7.5;0.2;0.00079;3.32633e-07;4.00205e-08;0.281588
7.5;0.2;0.00158;1.9988e-07;6.61971e-08;0.871029
7.5;0.2;0.00316;3.57986e-07;3.86082e-08;0.913236
7.5;0.4;0.0002;5.6327e-06;1.04869e-07;0.484528
7.5;0.4;0.0004;4.44123e-06;7.10448e-08;0.983361
7.5;0.4;0.00079;3.51782e-06;7.19649e-08;0.260621
7.5;0.4;0.00158;2.80343e-06;6.27936e-08;1.43935
7.5;0.4;0.00316;2.26282e-06;5.27464e-08;1.23358
7.5;0.4;0.00668;2.11674e-06;4.78347e-08;0.914202
7.5;0.65;0.0002;4.69043e-05;1.32298e-07;1.53091
7.5;0.65;0.0004;3.7295e-05;1.63139e-07;0.72543
7.5;0.65;0.00079;2.95425e-05;9.55185e-08;0.724379
7.5;0.65;0.00158;2.35297e-05;7.37438e-08;0.0543452
7.5;0.65;0.00316;1.86332e-05;7.06099e-08;0.388953
7.5;0.65;0.00668;1.47172e-05;5.62329e-08;0.51689
7.5;0.9;0.0004;0.000140701;1.77501e-07;1.1215
7.5;0.9;0.00079;0.00011432;1.75662e-07;0.291257
7.5;0.9;0.00158;9.22697e-05;1.40636e-07;2.52977
7.5;0.9;0.00316;7.50318e-05;8.491e-08;2.17309
7.5;0.9;0.00668;6.02094e-05;7.49081e-08;1.37763
7.5;0.9;0.01778;5.52103e-05;7.72384e-08;1.51516
9;0.04;0.00024;5.19222e-11;2.3164e-08;0.51053
9;0.04;0.00042;-8.25892e-09;1.7391e-08;1.25264
9;0.04;0.00075;-8.25892e-09;1.7391e-08;1.25264
9;0.1;0.00024;6.49855e-08;3.20762e-08;0.879509
9;0.1;0.00042;4.15419e-08;2.80251e-08;1.57602
9;0.1;0.00075;7.52731e-08;2.41027e-08;0.507555
9;0.1;0.00133;8.46612e-08;2.12657e-08;1.1312
9;0.1;0.00237;8.46612e-08;2.12657e-08;1.1312
9;0.2;0.00024;3.4032e-07;4.18133e-08;1.92059
9;0.2;0.00042;3.20272e-07;4.08487e-08;0.365661
9;0.2;0.00075;2.67366e-07;5.24244e-08;0.393608
9;0.2;0.00133;1.61596e-07;3.72086e-08;0.869906
9;0.2;0.00237;2.20373e-07;2.49805e-08;0.620388
9;0.2;0.00421;2.20373e-07;2.49805e-08;0.620388
9;0.4;0.00024;3.37594e-06;6.47757e-08;0.8407
9;0.4;0.00042;2.70875e-06;5.78234e-08;0.46422
9;0.4;0.00075;2.26105e-06;4.33933e-08;0.352168
9;0.4;0.00133;1.87301e-06;4.42054e-08;0.946636
9;0.4;0.00237;1.51908e-06;4.02064e-08;2.56579
9;0.4;0.00421;1.30868e-06;2.71734e-08;1.22366
9;0.4;0.0075;1.30868e-06;2.71734e-08;1.22366
9;0.65;0.00024;3.0241e-05;1.10584e-07;0.107689
9;0.65;0.00042;2.49762e-05;8.50282e-08;0.732848
9;0.65;0.00075;2.05457e-05;6.45771e-08;0.865538
9;0.65;0.00133;1.68214e-05;5.56455e-08;0.872049
9;0.65;0.00237;1.37844e-05;4.77168e-08;0.520851
9;0.65;0.00421;1.13893e-05;4.48766e-08;0.980377
9;0.65;0.0075;9.78057e-06;3.44439e-08;0.226952
9;0.9;0.00042;9.92603e-05;1.22571e-07;1.5903
9;0.9;0.00075;8.26952e-05;9.89827e-08;1.11013
9;0.9;0.00133;6.91335e-05;8.13919e-08;1.32121
9;0.9;0.00237;5.80625e-05;8.51077e-08;1.41816
9;0.9;0.00421;4.85982e-05;9.66326e-08;0.972752
9;0.9;0.0075;4.0775e-05;5.20444e-08;1.19568
12;0.04;0.00024;-3.50898e-10;1.16257e-08;0.345476
12;0.04;0.00042;1.59447e-08;9.37921e-09;1.10405
12;0.04;0.00075;1.59447e-08;9.37921e-09;1.10405
12;0.04;0.00133;1.59447e-08;9.37921e-09;1.10405
12;0.1;0.00024;6.1074e-08;1.88417e-08;2.76322
12;0.1;0.00042;2.14269e-08;1.52294e-08;0.645023
12;0.1;0.00075;3.02187e-08;1.4532e-08;1.16567
12;0.1;0.00133;9.37857e-09;1.1669e-08;0.572157
12;0.1;0.00237;9.37857e-09;1.1669e-08;0.572157
12;0.2;0.00024;1.46782e-07;2.56709e-08;0.658123
12;0.2;0.00042;1.17389e-07;2.25417e-08;0.283988
12;0.2;0.00075;1.03892e-07;1.96947e-08;0.921914
12;0.2;0.00133;1.08889e-07;1.7417e-08;0.552875
12;0.2;0.00237;8.20874e-08;1.48254e-08;0.532908
12;0.2;0.00421;8.20874e-08;1.48254e-08;0.532908
12;0.2;0.0075;8.20874e-08;1.48254e-08;0.532908
12;0.4;0.00024;1.57491e-06;4.17856e-08;1.05224
12;0.4;0.00042;1.31716e-06;3.50538e-08;0.778532
12;0.4;0.00075;1.10104e-06;3.02027e-08;0.5962
12;0.4;0.00133;9.5105e-07;3.41042e-08;0.497434
12;0.4;0.00237;7.09751e-07;1.97643e-08;0.536176
12;0.4;0.00421;6.07058e-07;2.02044e-08;0.545804
12;0.4;0.0075;6.07058e-07;2.02044e-08;0.545804
12;0.65;0.00024;1.66007e-05;6.57709e-08;0.631068
12;0.65;0.00042;1.35304e-05;4.29052e-08;1.00737
12;0.65;0.00075;1.09985e-05;4.33494e-08;0.388273
12;0.65;0.00133;8.92737e-06;3.75171e-08;0.885845
12;0.65;0.00237;7.28938e-06;2.9575e-08;0.586516
12;0.65;0.00421;5.9243e-06;2.35481e-08;0.678495
12;0.65;0.0075;5.08879e-06;2.0236e-08;0.465421
12;0.9;0.00042;5.78515e-05;6.71238e-08;0.604104
12;0.9;0.00075;4.78736e-05;6.47618e-08;0.367171
12;0.9;0.00133;3.97167e-05;5.50629e-08;2.22146
12;0.9;0.00237;3.30435e-05;4.04465e-08;1.85016
12;0.9;0.00421;2.75407e-05;4.08685e-08;0.907694
12;0.9;0.0075;2.29643e-05;3.62054e-08;1.04689
18;0.04;0.00042;-6.16229e-09;4.23368e-09;0.12296
18;0.04;0.00075;-6.16229e-09;4.23368e-09;0.12296
18;0.04;0.00133;-6.16229e-09;4.23368e-09;0.12296
18;0.1;0.00042;1.34506e-08;7.39231e-09;1.66572
18;0.1;0.00075;3.41035e-09;6.11398e-09;1.88637
18;0.1;0.00133;9.86487e-09;5.43676e-09;0.88513
18;0.1;0.00237;9.86487e-09;5.43676e-09;0.88513
18;0.1;0.00421;9.86487e-09;5.43676e-09;0.88513
18;0.2;0.00042;3.47869e-08;1.08322e-08;2.00793
18;0.2;0.00075;4.40829e-08;9.42881e-09;0.265533
18;0.2;0.00133;4.27344e-08;7.69733e-09;0.693028
18;0.2;0.00237;3.42981e-08;5.54603e-09;1.36047
18;0.2;0.00421;3.42981e-08;5.54603e-09;1.36047
18;0.2;0.0075;3.42981e-08;5.54603e-09;1.36047
18;0.4;0.00042;4.36809e-07;1.4571e-08;1.76426
18;0.4;0.00075;3.65844e-07;1.25149e-08;1.07212
18;0.4;0.00133;2.82775e-07;1.09441e-08;0.689471
18;0.4;0.00237;2.32655e-07;1.20816e-08;2.38277
18;0.4;0.00421;2.06654e-07;1.02603e-08;0.687691
18;0.4;0.0075;2.06654e-07;1.02603e-08;0.687691
18;0.4;0.0133;2.06654e-07;1.02603e-08;0.687691
18;0.65;0.00042;5.54064e-06;1.9574e-08;0.513056
18;0.65;0.00075;4.42921e-06;1.6888e-08;0.0716634
18;0.65;0.00133;3.57063e-06;1.32455e-08;0.402676
18;0.65;0.00237;2.85722e-06;1.3387e-08;1.16252
18;0.65;0.00421;2.30333e-06;1.16461e-08;1.89568
18;0.65;0.0075;1.93606e-06;8.63812e-09;1.02902
18;0.65;0.0133;1.93606e-06;8.63812e-09;1.02902
18;0.9;0.00075;2.15478e-05;2.87179e-08;0.537956
18;0.9;0.00133;1.77275e-05;2.62842e-08;0.610426
18;0.9;0.00237;1.45387e-05;1.80042e-08;0.795029
18;0.9;0.00421;1.1981e-05;1.56621e-08;1.17695
18;0.9;0.0075;9.84639e-06;1.14788e-08;1.72291
18;0.9;0.0133;9.24999e-06;1.23615e-08;0.762746
28;0.04;0.00075;-2.79159e-10;1.51264e-09;0.874731
28;0.04;0.00133;-2.79159e-10;1.51264e-09;0.874731
28;0.1;0.00075;-2.22682e-09;2.66143e-09;0.432108
28;0.1;0.00133;2.41878e-09;2.26343e-09;0.817268
28;0.1;0.00237;2.41878e-09;2.26343e-09;0.817268
28;0.1;0.00421;2.41878e-09;2.26343e-09;0.817268
28;0.2;0.00075;1.17907e-08;4.5543e-09;1.76898
28;0.2;0.00133;1.1383e-08;3.52076e-09;0.616591
28;0.2;0.00237;8.16227e-09;2.61775e-09;0.93304
28;0.2;0.00421;8.16227e-09;2.61775e-09;0.93304
28;0.2;0.0075;8.16227e-09;2.61775e-09;0.93304
28;0.4;0.00075;9.61349e-08;5.27145e-09;1.98958
28;0.4;0.00133;8.13474e-08;4.01319e-09;1.01818
28;0.4;0.00237;6.76022e-08;4.29544e-09;0.0383436
28;0.4;0.00421;5.11983e-08;3.20234e-09;2.1537
28;0.4;0.0075;5.11983e-08;3.20234e-09;2.1537
28;0.4;0.0133;5.11983e-08;3.20234e-09;2.1537
28;0.65;0.00075;1.60891e-06;7.01105e-09;0.248345
28;0.65;0.00133;1.26025e-06;6.34789e-09;0.896381
28;0.65;0.00237;1.00037e-06;5.9004e-09;2.03097
28;0.65;0.00421;7.84352e-07;4.5365e-09;1.47371
28;0.65;0.0075;6.62529e-07;4.52987e-09;1.59314
28;0.65;0.0133;6.62529e-07;4.52987e-09;1.59314
28;0.65;0.0237;6.62529e-07;4.52987e-09;1.59314
28;0.9;0.00133;7.05486e-06;9.85598e-09;0.994953
28;0.9;0.00237;5.72607e-06;7.94117e-09;0.603197
28;0.9;0.00421;4.6448e-06;6.11122e-09;0.953208
28;0.9;0.0075;3.76843e-06;5.43064e-09;0.414693
28;0.9;0.0133;3.53016e-06;5.23168e-09;1.19664
28;0.9;0.0237;3.53016e-06;5.23168e-09;1.19664
45;0.04;0.00133;-9.86637e-11;9.65225e-10;2.34481
45;0.1;0.00133;6.82763e-10;1.12861e-09;1.40499
45;0.1;0.00237;6.82763e-10;1.12861e-09;1.40499
45;0.2;0.00133;4.82759e-09;1.01742e-09;1.0823
45;0.2;0.00237;1.38247e-09;9.16452e-10;0.230439
45;0.2;0.00421;1.38247e-09;9.16452e-10;0.230439
45;0.2;0.0075;1.38247e-09;9.16452e-10;0.230439
45;0.4;0.00133;2.01849e-08;1.76775e-09;1.01968
45;0.4;0.00237;1.40598e-08;1.55003e-09;1.51527
45;0.4;0.00421;1.04763e-08;1.3013e-09;0.144948
45;0.4;0.0075;1.04763e-08;1.3013e-09;0.144948
45;0.4;0.0133;1.04763e-08;1.3013e-09;0.144948
45;0.65;0.00133;4.0317e-07;4.12597e-09;0.956715
45;0.65;0.00237;3.09408e-07;1.91037e-09;0.513224
45;0.65;0.00421;2.376e-07;2.44261e-09;0.904751
45;0.65;0.0075;1.96298e-07;1.41592e-09;0.267209
45;0.65;0.0133;1.96298e-07;1.41592e-09;0.267209
45;0.65;0.0237;1.96298e-07;1.41592e-09;0.267209
45;0.9;0.00237;2.01921e-06;2.96313e-09;1.3462
45;0.9;0.00421;1.61433e-06;2.78958e-09;0.69981
45;0.9;0.0075;1.28831e-06;2.01481e-09;2.47793
45;0.9;0.0133;1.19998e-06;1.97111e-09;0.710347
45;0.9;0.0237;1.19998e-06;1.97111e-09;0.710347
75;0.1;0.00237;3.07078e-10;2.35674e-10;1.34439
75;0.1;0.00421;3.07078e-10;2.35674e-10;1.34439
75;0.2;0.00237;6.23256e-10;3.49187e-10;1.02677
75;0.2;0.00421;6.23256e-10;3.49187e-10;1.02677
75;0.2;0.0075;6.23256e-10;3.49187e-10;1.02677
75;0.4;0.00237;2.97652e-09;4.65386e-10;0.42004
75;0.4;0.00421;2.85944e-09;3.90946e-10;1.90258
75;0.4;0.0075;2.85944e-09;3.90946e-10;1.90258
75;0.4;0.0133;2.85944e-09;3.90946e-10;1.90258
75;0.65;0.00237;8.4607e-08;8.02018e-10;2.38505
75;0.65;0.00421;6.46127e-08;5.319e-10;0.694727
75;0.65;0.0075;5.18108e-08;5.65269e-10;1.35695
75;0.65;0.0133;5.18108e-08;5.65269e-10;1.35695
75;0.65;0.0237;5.18108e-08;5.65269e-10;1.35695
75;0.9;0.00421;4.97626e-07;8.2359e-10;0.770778
75;0.9;0.0075;3.89746e-07;6.53619e-10;1.41575
75;0.9;0.0133;3.6006e-07;6.19715e-10;1.76554
75;0.9;0.0237;3.6006e-07;6.19715e-10;1.76554
