Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
4.5;0.04;0.00012;4.44859e-09;5.12048e-09;0.80211
4.5;0.04;0.00029;-5.82095e-09;3.87881e-09;0.0872212
4.5;0.04;0.00067;-9.87154e-10;3.91442e-09;0.104958
4.5;0.1;0.00012;5.90704e-08;9.26509e-09;0.840627
4.5;0.1;0.00029;4.71025e-08;8.03142e-09;1.70959
4.5;0.1;0.00067;3.838e-08;5.41823e-09;0.999436
4.5;0.2;0.00012;1.24733e-06;1.37599e-08;1.19021
4.5;0.2;0.00029;8.71838e-07;1.06845e-08;0.99653
4.5;0.2;0.00067;6.39107e-07;9.164e-09;3.57253
4.5;0.4;0.00012;7.01994e-06;1.21258e-08;0.79374
4.5;0.4;0.00029;5.24633e-06;8.52683e-09;0.564134
4.5;0.4;0.00067;3.98769e-06;6.86318e-09;0.666847
4.5;0.4;0.0016;3.00919e-06;4.6979e-09;2.0916
4.5;0.65;0.00012;0;0;0
4.5;0.65;0.00029;0;0;0
4.5;0.65;0.00067;0;0;0
4.5;0.65;0.0016;0;0;0
4.5;0.9;0.00029;0;0;0
4.5;0.9;0.00067;0;0;0
4.5;0.9;0.0016;0;0;0
7.5;0.04;0.0002;1.22836e-09;3.49559e-09;0.26614
7.5;0.04;0.0004;1.38383e-09;2.99182e-09;0.433278
7.5;0.04;0.00079;1.38383e-09;2.99182e-09;0.433278
7.5;0.1;0.0002;1.23347e-08;6.20525e-09;1.1557
7.5;0.1;0.0004;1.18162e-08;4.71483e-09;0.712625
7.5;0.1;0.00079;1.65791e-08;4.01193e-09;0.633635
7.5;0.1;0.00158;1.62216e-08;4.09528e-09;1.39047
7.5;0.1;0.00316;1.62216e-08;4.09528e-09;1.39047
7.5;0.2;0.0002;2.22653e-07;8.19107e-09;1.64207
7.5;0.2;0.0004;1.80438e-07;8.72552e-09;0.649906
7.5;0.2;0.00079;1.30158e-07;5.91927e-09;2.31392
7.5;0.2;0.00158;9.92091e-08;4.81357e-09;0.426396
7.5;0.2;0.00316;9.01905e-08;4.44655e-09;1.47289
7.5;0.4;0.0002;5.14158e-06;1.69543e-08;1.32039
7.5;0.4;0.0004;4.00642e-06;1.05072e-08;1.19863
7.5;0.4;0.00079;3.13416e-06;9.33195e-09;1.24907
7.5;0.4;0.00158;2.43456e-06;7.00603e-09;2.18265
7.5;0.4;0.00316;1.89796e-06;7.26323e-09;1.14829
7.5;0.4;0.00668;1.73975e-06;5.81059e-09;0.629885
7.5;0.65;0.0002;0;0;0
7.5;0.65;0.0004;0;0;0
7.5;0.65;0.00079;0;0;0
7.5;0.65;0.00158;0;0;0
7.5;0.65;0.00316;0;0;0
7.5;0.65;0.00668;0;0;0
7.5;0.9;0.0004;0;0;0
7.5;0.9;0.00079;0;0;0
7.5;0.9;0.00158;0;0;0
7.5;0.9;0.00316;0;0;0
7.5;0.9;0.00668;0;0;0
7.5;0.9;0.01778;0;0;0
9;0.04;0.00024;2.71939e-11;2.85991e-09;0.702182
9;0.04;0.00042;3.65262e-09;2.93882e-09;1.56424
9;0.04;0.00075;3.65262e-09;2.93882e-09;1.56424
9;0.1;0.00024;1.71902e-08;7.96131e-09;1.88195
9;0.1;0.00042;1.25525e-08;4.09732e-09;2.5763
9;0.1;0.00075;9.16955e-09;3.11048e-09;1.37344
9;0.1;0.00133;6.68735e-09;3.12594e-09;2.05457
9;0.1;0.00237;6.68735e-09;3.12594e-09;2.05457
9;0.2;0.00024;1.12241e-07;7.1495e-09;0.455153
9;0.2;0.00042;1.05291e-07;6.83421e-09;0.576494
9;0.2;0.00075;8.11857e-08;5.43207e-09;2.14813
9;0.2;0.00133;6.17049e-08;3.93681e-09;0.458982
9;0.2;0.00237;5.43309e-08;3.72343e-09;0.769228
9;0.2;0.00421;5.43309e-08;3.72343e-09;0.769228
9;0.4;0.00024;3.28572e-06;1.28152e-08;1.24703
9;0.4;0.00042;2.67804e-06;1.09004e-08;0.882212
