Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
4.5;0.04;0.00012;3.91812e-07;8.05503e-08;1.002
4.5;0.04;0.00029;2.65609e-07;5.47861e-08;0.188413
4.5;0.04;0.00067;2.51281e-07;4.40056e-08;1.55244
4.5;0.1;0.00012;2.09972e-06;1.19545e-07;0.415312
4.5;0.1;0.00029;1.62563e-06;6.81305e-08;0.841701
4.5;0.1;0.00067;1.33732e-06;8.78201e-08;0.999761
4.5;0.2;0.00012;8.55967e-06;1.7891e-07;1.2412
4.5;0.2;0.00029;6.59613e-06;1.146e-07;0.0548329
4.5;0.2;0.00067;5.22544e-06;9.547e-08;0.326625
4.5;0.4;0.00012;2.89112e-05;2.09437e-07;0.288897
4.5;0.4;0.00029;2.21361e-05;1.8053e-07;0.581339
4.5;0.4;0.00067;1.75855e-05;1.3913e-07;0.907818
4.5;0.4;0.0016;1.39828e-05;1.75612e-07;0.311175
4.5;0.65;0.00012;4.40601e-05;3.18541e-07;0.775427
4.5;0.65;0.00029;3.39799e-05;2.51221e-07;1.268
4.5;0.65;0.00067;2.67775e-05;1.78388e-07;1.5968
4.5;0.65;0.0016;2.16367e-05;2.04733e-07;0.624394
4.5;0.9;0.00029;1.87339e-05;4.74322e-07;1.65416
4.5;0.9;0.00067;1.46144e-05;2.37355e-07;0.764988
4.5;0.9;0.0016;1.18867e-05;2.08196e-07;1.64605
7.5;0.04;0.0002;6.14039e-08;3.04108e-08;1.40083
7.5;0.04;0.0004;1.13786e-07;2.85554e-08;1.22258
7.5;0.04;0.00079;1.13786e-07;2.85554e-08;1.22258
7.5;0.1;0.0002;6.96468e-07;3.7937e-08;1.44296
7.5;0.1;0.0004;5.90836e-07;3.87054e-08;0.672945
7.5;0.1;0.00079;4.50485e-07;3.72602e-08;0.478978
7.5;0.1;0.00158;4.49105e-07;3.05994e-08;1.7802
7.5;0.1;0.00316;4.49105e-07;3.05994e-08;1.7802
7.5;0.2;0.0002;2.96803e-06;8.58658e-08;0.676531
7.5;0.2;0.0004;2.33917e-06;6.87363e-08;1.11555
7.5;0.2;0.00079;1.90702e-06;4.66171e-08;1.05169
7.5;0.2;0.00158;1.54038e-06;4.2078e-08;1.69815
7.5;0.2;0.00316;1.43707e-06;3.29306e-08;0.240102
7.5;0.4;0.0002;1.08745e-05;1.57622e-07;0.353739
7.5;0.4;0.0004;8.46305e-06;6.81506e-08;1.06995
7.5;0.4;0.00079;6.87408e-06;8.44059e-08;0.471183
7.5;0.4;0.00158;5.69062e-06;6.03785e-08;0.0723411
7.5;0.4;0.00316;4.66603e-06;9.78421e-08;1.55914
7.5;0.4;0.00668;4.33814e-06;4.01459e-08;0.684954
7.5;0.65;0.0002;1.71279e-05;1.17642e-07;0.623862
7.5;0.65;0.0004;1.40757e-05;1.1973e-07;0.573217
7.5;0.65;0.00079;1.14696e-05;7.94574e-08;0.684756
7.5;0.65;0.00158;9.46525e-06;7.29261e-08;1.88719
7.5;0.65;0.00316;7.83189e-06;5.17419e-08;1.36833
7.5;0.65;0.00668;6.49286e-06;4.03744e-08;0.930686
7.5;0.9;0.0004;8.20144e-06;1.99116e-07;1.14591
7.5;0.9;0.00079;6.7617e-06;1.3021e-07;1.06531
7.5;0.9;0.00158;5.4454e-06;9.19344e-08;1.40569
7.5;0.9;0.00316;4.58612e-06;6.81321e-08;2.29359
7.5;0.9;0.00668;3.80779e-06;6.2884e-08;2.13388
7.5;0.9;0.01778;3.43044e-06;6.90021e-08;2.36571
9;0.04;0.00024;6.35205e-08;2.47401e-08;1.59791
9;0.04;0.00042;5.26606e-08;1.44011e-08;1.38982
9;0.04;0.00075;5.26606e-08;1.44011e-08;1.38982
9;0.1;0.00024;5.96883e-07;6.09126e-08;0.129688
9;0.1;0.00042;3.57264e-07;3.11197e-08;1.15862
9;0.1;0.00075;3.31454e-07;2.06435e-08;0.231305
9;0.1;0.00133;2.87668e-07;1.97626e-08;0.772264
9;0.1;0.00237;2.87668e-07;1.97626e-08;0.772264
9;0.2;0.00024;1.93259e-06;4.85971e-08;1.36724
9;0.2;0.00042;1.63701e-06;3.52811e-08;0.773934
9;0.2;0.00075;1.31819e-06;2.96791e-08;1.17438
9;0.2;0.00133;1.10761e-06;2.65163e-08;0.668271
9;0.2;0.00237;9.93283e-07;2.53615e-08;0.382921
9;0.2;0.00421;9.93283e-07;2.53615e-08;0.382921
9;0.4;0.00024;7.17906e-06;6.34165e-08;0.38144
9;0.4;0.00042;6.01418e-06;5.02629e-08;0.445803
9;0.4;0.00075;5.06321e-06;4.7815e-08;0.767464
9;0.4;0.00133;4.24143e-06;3.33081e-08;0.453942
9;0.4;0.00237;3.58128e-06;3.47745e-08;1.03002
9;0.4;0.00421;3.08471e-06;2.62902e-08;0.811995
9;0.4;0.0075;3.08471e-06;2.62902e-08;0.811995
9;0.65;0.00024;1.20629e-05;8.5077e-08;1.90764
9;0.65;0.00042;1.02018e-05;8.11733e-08;0.522996
9;0.65;0.00075;8.50988e-06;6.08459e-08;1.02646
9;0.65;0.00133;7.33629e-06;5.88005e-08;0.941753
9;0.65;0.00237;6.28768e-06;5.34795e-08;1.27774
9;0.65;0.00421;5.34604e-06;3.56216e-08;0.498054
9;0.65;0.0075;4.78811e-06;3.94077e-08;0.712151
9;0.9;0.00042;5.94176e-06;1.03732e-07;1.30626
9;0.9;0.00075;5.05275e-06;7.87096e-08;1.61606
9;0.9;0.00133;4.22361e-06;9.15604e-08;1.4417
9;0.9;0.00237;3.65403e-06;5.56861e-08;2.64053
9;0.9;0.00421;3.25128e-06;5.81285e-08;1.26475
9;0.9;0.0075;2.77374e-06;4.80226e-08;1.15434
12;0.04;0.00024;5.28396e-08;1.04153e-08;0.394417
12;0.04;0.00042;3.28644e-08;9.71277e-09;1.48936
12;0.04;0.00075;3.28644e-08;9.71277e-09;1.48936
12;0.04;0.00133;3.28644e-08;9.71277e-09;1.48936
12;0.1;0.00024;2.64849e-07;1.82409e-08;0.450117
12;0.1;0.00042;2.04325e-07;1.59761e-08;1.95959
12;0.1;0.00075;1.51247e-07;1.97237e-08;1.64981
12;0.1;0.00133;1.82417e-07;1.21115e-08;0.537431
12;0.1;0.00237;1.82417e-07;1.21115e-08;0.537431
12;0.2;0.00024;1.05846e-06;2.98908e-08;0.642978
12;0.2;0.00042;8.87218e-07;2.39197e-08;1.18648
12;0.2;0.00075;7.58257e-07;2.52892e-08;2.54755
12;0.2;0.00133;6.4706e-07;1.82905e-08;0.488268
12;0.2;0.00237;5.89384e-07;1.48849e-08;1.38344
12;0.2;0.00421;5.89384e-07;1.48849e-08;1.38344
12;0.2;0.0075;5.89384e-07;1.48849e-08;1.38344
12;0.4;0.00024;4.17197e-06;3.84114e-08;1.54092
12;0.4;0.00042;3.55418e-06;3.53762e-08;1.07861
12;0.4;0.00075;3.0005e-06;2.63732e-08;0.657262
12;0.4;0.00133;2.48496e-06;2.34185e-08;0.538672
12;0.4;0.00237;2.13308e-06;2.4271e-08;1.03452
12;0.4;0.00421;1.80612e-06;1.79682e-08;1.68797
12;0.4;0.0075;1.80612e-06;1.79682e-08;1.68797
12;0.65;0.00024;7.51447e-06;4.837e-08;1.13504
12;0.65;0.00042;6.32017e-06;5.35018e-08;0.854492
12;0.65;0.00075;5.37173e-06;4.90239e-08;0.663295
12;0.65;0.00133;4.43624e-06;3.16435e-08;0.797588
12;0.65;0.00237;3.88352e-06;3.45782e-08;0.613242
12;0.65;0.00421;3.2849e-06;2.81956e-08;0.614227
12;0.65;0.0075;2.88139e-06;2.18259e-08;0.700559
12;0.9;0.00042;3.86803e-06;6.36074e-08;1.42531
12;0.9;0.00075;3.17362e-06;6.40814e-08;1.04642
12;0.9;0.00133;2.72899e-06;5.12787e-08;1.74589
12;0.9;0.00237;2.35552e-06;3.89534e-08;0.693672
12;0.9;0.00421;1.98852e-06;3.26175e-08;0.411713
12;0.9;0.0075;1.7207e-06;3.76895e-08;1.38268
18;0.04;0.00042;1.48743e-08;5.5847e-09;1.18256
18;0.04;0.00075;1.48743e-08;5.5847e-09;1.18256
18;0.04;0.00133;1.48743e-08;5.5847e-09;1.18256
18;0.1;0.00042;8.36289e-08;8.96627e-09;0.594818
18;0.1;0.00075;8.99818e-08;6.73293e-09;1.00441
18;0.1;0.00133;7.87955e-08;8.28943e-09;1.88171
18;0.1;0.00237;7.87955e-08;8.28943e-09;1.88171
18;0.1;0.00421;7.87955e-08;8.28943e-09;1.88171
18;0.2;0.00042;4.13743e-07;1.24096e-08;0.367655
18;0.2;0.00075;3.53581e-07;1.10173e-08;0.648434
18;0.2;0.00133;3.06558e-07;8.19736e-09;0.706696
18;0.2;0.00237;2.53199e-07;7.892e-09;0.0890307
18;0.2;0.00421;2.53199e-07;7.892e-09;0.0890307
18;0.2;0.0075;2.53199e-07;7.892e-09;0.0890307
18;0.4;0.00042;1.68249e-06;1.79951e-08;0.316341
18;0.4;0.00075;1.39445e-06;1.53593e-08;0.752287
18;0.4;0.00133;1.18255e-06;1.32432e-08;0.498772
18;0.4;0.00237;9.66594e-07;1.43859e-08;0.42262
18;0.4;0.00421;8.39078e-07;1.05096e-08;0.713355
18;0.4;0.0075;8.39078e-07;1.05096e-08;0.713355
18;0.4;0.0133;8.39078e-07;1.05096e-08;0.713355
18;0.65;0.00042;3.1415e-06;2.18008e-08;1.35297
18;0.65;0.00075;2.65074e-06;2.55477e-08;1.02903
18;0.65;0.00133;2.1891e-06;1.65721e-08;1.82738
18;0.65;0.00237;1.86238e-06;1.63902e-08;1.03289
18;0.65;0.00421;1.57341e-06;1.15353e-08;0.95083
18;0.65;0.0075;1.42309e-06;1.29409e-08;0.988023
18;0.65;0.0133;1.42309e-06;1.29409e-08;0.988023
18;0.9;0.00075;1.67469e-06;2.99609e-08;0.424648
18;0.9;0.00133;1.42954e-06;4.62804e-08;1.59039
18;0.9;0.00237;1.17715e-06;1.94473e-08;1.21433
18;0.9;0.00421;1.03428e-06;2.19011e-08;1.35868
18;0.9;0.0075;8.80088e-07;1.55398e-08;0.912806
18;0.9;0.0133;8.16346e-07;1.45064e-08;2.07125
28;0.04;0.00075;4.9934e-09;2.28598e-09;0.544681
28;0.04;0.00133;4.9934e-09;2.28598e-09;0.544681
28;0.1;0.00075;3.00029e-08;3.18874e-09;0.95344
28;0.1;0.00133;2.87248e-08;4.51775e-09;1.92255
28;0.1;0.00237;2.87248e-08;4.51775e-09;1.92255
28;0.1;0.00421;2.87248e-08;4.51775e-09;1.92255
28;0.2;0.00075;1.49601e-07;6.40857e-09;0.582401
28;0.2;0.00133;1.21178e-07;3.74871e-09;1.47729
28;0.2;0.00237;1.00677e-07;3.93098e-09;1.4686
28;0.2;0.00421;1.00677e-07;3.93098e-09;1.4686
28;0.2;0.0075;1.00677e-07;3.93098e-09;1.4686
28;0.4;0.00075;6.24812e-07;1.15503e-08;0.263751
28;0.4;0.00133;5.06578e-07;6.71949e-09;0.633468
28;0.4;0.00237;4.26785e-07;5.57012e-09;0.179802
28;0.4;0.00421;3.59664e-07;5.10988e-09;0.778705
28;0.4;0.0075;3.59664e-07;5.10988e-09;0.778705
28;0.4;0.0133;3.59664e-07;5.10988e-09;0.778705
28;0.65;0.00075;1.20351e-06;1.15838e-08;0.302397
28;0.65;0.00133;9.98215e-07;7.78047e-09;1.81177
28;0.65;0.00237;8.46988e-07;6.70255e-09;0.786846
28;0.65;0.00421;7.09393e-07;5.65656e-09;0.666322
28;0.65;0.0075;6.2049e-07;6.38836e-09;0.897002
28;0.65;0.0133;6.2049e-07;6.38836e-09;0.897002
