Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
4.5;0.04;0.00012;6.55694e-08;4.37677e-09;0.852348
4.5;0.04;0.00029;4.68973e-08;3.58203e-09;0.606116
4.5;0.04;0.00067;4.4518e-08;3.97052e-09;2.01494
4.5;0.1;0.00012;5.20732e-07;7.78207e-09;0.606961
4.5;0.1;0.00029;3.72023e-07;5.64817e-09;0.154227
4.5;0.1;0.00067;2.71175e-07;4.76774e-09;0.415318
4.5;0.2;0.00012;1.96763e-06;1.11487e-08;1.51884
4.5;0.2;0.00029;1.41899e-06;8.24814e-09;1.07893
4.5;0.2;0.00067;1.06211e-06;8.00765e-09;0.974742
4.5;0.4;0.00012;1.80223e-06;4.64161e-09;1.80826
4.5;0.4;0.00029;1.32201e-06;3.29901e-09;2.6909
4.5;0.4;0.00067;9.91212e-07;2.70558e-09;2.09863
4.5;0.4;0.0016;7.31105e-07;1.71118e-09;2.16365
4.5;0.65;0.00012;0;0;0
4.5;0.65;0.00029;0;0;0
4.5;0.65;0.00067;0;0;0
4.5;0.65;0.0016;0;0;0
4.5;0.9;0.00029;0;0;0
4.5;0.9;0.00067;0;0;0
4.5;0.9;0.0016;0;0;0
7.5;0.04;0.0002;2.03548e-08;2.31674e-09;0.515769
7.5;0.04;0.0004;1.6172e-08;1.74459e-09;0.467103
7.5;0.04;0.00079;1.6172e-08;1.74459e-09;0.467103
7.5;0.1;0.0002;1.65033e-07;3.70904e-09;0.372053
7.5;0.1;0.0004;1.302e-07;4.06382e-09;0.4232
7.5;0.1;0.00079;9.44788e-08;2.64548e-09;0.41745
7.5;0.1;0.00158;8.89625e-08;2.64494e-09;1.64329
7.5;0.1;0.00316;8.89625e-08;2.64494e-09;1.64329
7.5;0.2;0.0002;7.05148e-07;5.74772e-09;1.84048
7.5;0.2;0.0004;5.41512e-07;4.88829e-09;1.16939
7.5;0.2;0.00079;4.25568e-07;3.82801e-09;1.39381
7.5;0.2;0.00158;3.25623e-07;3.23433e-09;0.311662
7.5;0.2;0.00316;2.98266e-07;3.01046e-09;2.22214
7.5;0.4;0.0002;1.80521e-06;5.98675e-09;1.05254
7.5;0.4;0.0004;1.40097e-06;4.97865e-09;1.78704
7.5;0.4;0.00079;1.10294e-06;4.90699e-09;1.36868
7.5;0.4;0.00158;8.52467e-07;3.53045e-09;1.06623
7.5;0.4;0.00316;6.66726e-07;2.64861e-09;1.41338
7.5;0.4;0.00668;6.15707e-07;2.41136e-09;0.541866
7.5;0.65;0.0002;0;0;0
7.5;0.65;0.0004;0;0;0
7.5;0.65;0.00079;0;0;0
7.5;0.65;0.00158;0;0;0
7.5;0.65;0.00316;0;0;0
7.5;0.65;0.00668;0;0;0
7.5;0.9;0.0004;0;0;0
7.5;0.9;0.00079;0;0;0
7.5;0.9;0.00158;0;0;0
7.5;0.9;0.00316;0;0;0
7.5;0.9;0.00668;0;0;0
7.5;0.9;0.01778;0;0;0
9;0.04;0.00024;1.41989e-08;1.59338e-09;0.618003
9;0.04;0.00042;1.09679e-08;1.48355e-09;3.1609
9;0.04;0.00075;1.09679e-08;1.48355e-09;3.1609
9;0.1;0.00024;1.06673e-07;3.26509e-09;2.1393
9;0.1;0.00042;8.53196e-08;2.47363e-09;0.34967
9;0.1;0.00075;7.06983e-08;1.82293e-09;0.68719
9;0.1;0.00133;6.20675e-08;1.79209e-09;0.0392258
9;0.1;0.00237;6.20675e-08;1.79209e-09;0.0392258
9;0.2;0.00024;4.83829e-07;5.07121e-09;1.41638
9;0.2;0.00042;3.85311e-07;3.67418e-09;0.846145
9;0.2;0.00075;3.13596e-07;3.1491e-09;1.20571
9;0.2;0.00133;2.55569e-07;3.2302e-09;0.18429
9;0.2;0.00237;2.13306e-07;2.11128e-09;2.28922
9;0.2;0.00421;2.13306e-07;2.11128e-09;2.28922
9;0.4;0.00024;1.34837e-06;5.31287e-09;1.00264
9;0.4;0.00042;1.09975e-06;6.09022e-09;1.35253
9;0.4;0.00075;8.81823e-07;3.81994e-09;2.60655
9;0.4;0.00133;7.22789e-07;3.67218e-09;1.35184
9;0.4;0.00237;5.85639e-07;3.89152e-09;1.44682
9;0.4;0.00421;4.84853e-07;2.11366e-09;0.924692
