Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
4.5;0.04;0.00012;1.92261e-06;3.71409e-07;1.01223
4.5;0.04;0.00029;1.48853e-06;2.89073e-07;0.481292
4.5;0.04;0.00067;1.34866e-06;2.35774e-07;0.682551
4.5;0.1;0.00012;1.23148e-05;3.62046e-07;0.921141
4.5;0.1;0.00029;9.501e-06;3.55285e-07;0.960243
4.5;0.1;0.00067;7.31891e-06;2.59821e-07;0.512627
4.5;0.2;0.00012;5.12743e-05;7.99798e-07;0.71622
4.5;0.2;0.00029;4.04581e-05;4.21797e-07;0.849445
4.5;0.2;0.00067;3.17482e-05;3.27907e-07;0.795189
4.5;0.4;0.00012;0.000165551;9.9736e-07;0.237352
4.5;0.4;0.00029;0.000129677;7.67434e-07;0.666901
4.5;0.4;0.00067;0.000104314;6.32137e-07;0.506369
4.5;0.4;0.0016;8.29639e-05;4.50545e-07;0.63811
4.5;0.65;0.00012;0.000244224;1.44915e-06;0.414991
4.5;0.65;0.00029;0.000195067;1.13295e-06;0.056357
4.5;0.65;0.00067;0.000157437;7.33427e-07;0.367771
4.5;0.65;0.0016;0.000127407;8.87001e-07;0.577988
4.5;0.9;0.00029;0.000104895;1.55208e-06;0.236004
4.5;0.9;0.00067;8.6296e-05;1.34957e-06;1.4098
4.5;0.9;0.0016;6.8846e-05;7.95749e-07;0.971759
7.5;0.04;0.0002;5.05169e-07;9.88915e-08;0.85816
7.5;0.04;0.0004;4.28355e-07;1.06783e-07;1.36284
7.5;0.04;0.00079;4.28355e-07;1.06783e-07;1.36284
7.5;0.1;0.0002;3.89069e-06;1.64895e-07;1.56869
7.5;0.1;0.0004;3.42131e-06;2.14617e-07;0.273533
7.5;0.1;0.00079;2.59373e-06;1.24915e-07;1.00953
7.5;0.1;0.00158;2.57191e-06;1.28846e-07;0.311133
7.5;0.1;0.00316;2.57191e-06;1.28846e-07;0.311133
7.5;0.2;0.0002;1.73368e-05;2.47435e-07;1.27892
7.5;0.2;0.0004;1.38422e-05;2.3236e-07;0.991454
7.5;0.2;0.00079;1.15467e-05;1.84085e-07;1.47439
7.5;0.2;0.00158;9.32217e-06;2.0863e-07;0.877115
7.5;0.2;0.00316;8.93863e-06;1.61183e-07;0.528956
7.5;0.4;0.0002;6.04074e-05;3.64635e-07;1.3075
7.5;0.4;0.0004;5.04581e-05;8.09012e-07;0.87573
7.5;0.4;0.00079;4.18832e-05;3.69933e-07;0.346009
7.5;0.4;0.00158;3.4391e-05;2.92368e-07;0.343024
7.5;0.4;0.00316;2.89804e-05;2.52595e-07;0.283644
7.5;0.4;0.00668;2.66885e-05;3.2143e-07;0.59996
7.5;0.65;0.0002;9.86446e-05;4.81421e-07;0.369802
7.5;0.65;0.0004;8.14012e-05;4.08621e-07;0.912502
7.5;0.65;0.00079;6.87518e-05;3.96441e-07;0.530944
7.5;0.65;0.00158;5.72133e-05;2.96225e-07;0.838629
7.5;0.65;0.00316;4.7961e-05;3.11741e-07;0.687208
7.5;0.65;0.00668;4.08568e-05;2.26559e-07;0.696401
7.5;0.9;0.0004;4.60881e-05;6.52206e-07;0.385726
7.5;0.9;0.00079;3.93694e-05;6.08865e-07;0.535256
7.5;0.9;0.00158;3.32277e-05;3.94946e-07;0.469417
7.5;0.9;0.00316;2.75652e-05;3.1272e-07;0.177482
7.5;0.9;0.00668;2.38189e-05;3.56775e-07;1.45011
7.5;0.9;0.01778;2.20273e-05;2.61822e-07;0.5163
9;0.04;0.00024;2.97587e-07;9.19751e-08;2.13024
9;0.04;0.00042;2.76051e-07;6.42902e-08;1.23725
9;0.04;0.00075;2.76051e-07;6.42902e-08;1.23725
9;0.1;0.00024;2.6022e-06;1.41725e-07;0.311071
9;0.1;0.00042;2.27587e-06;1.17477e-07;0.413249
9;0.1;0.00075;1.73946e-06;1.0058e-07;1.90558
9;0.1;0.00133;1.59213e-06;1.88162e-07;0.923403
9;0.1;0.00237;1.59213e-06;1.88162e-07;0.923403
9;0.2;0.00024;1.15638e-05;2.20239e-07;0.381995
9;0.2;0.00042;9.50089e-06;2.05215e-07;0.528199
9;0.2;0.00075;8.13544e-06;2.00538e-07;1.32378
9;0.2;0.00133;6.90585e-06;1.27604e-07;0.60824
9;0.2;0.00237;6.33259e-06;9.26463e-08;0.182478
9;0.2;0.00421;6.33259e-06;9.26463e-08;0.182478
9;0.4;0.00024;4.19611e-05;3.39752e-07;1.28585
9;0.4;0.00042;3.53432e-05;2.61794e-07;1.26396
9;0.4;0.00075;3.02206e-05;2.10706e-07;1.51692
9;0.4;0.00133;2.59652e-05;1.75123e-07;0.339344
9;0.4;0.00237;2.23054e-05;1.9962e-07;0.272683
9;0.4;0.00421;1.9562e-05;1.35326e-07;0.20633
9;0.4;0.0075;1.9562e-05;1.35326e-07;0.20633
9;0.65;0.00024;6.94471e-05;3.09662e-07;0.359707
9;0.65;0.00042;5.96547e-05;2.75049e-07;1.08222
9;0.65;0.00075;5.10274e-05;2.23326e-07;0.332281
9;0.65;0.00133;4.38285e-05;1.97447e-07;1.20374
9;0.65;0.00237;3.80505e-05;2.62499e-07;0.618328
9;0.65;0.00421;3.33352e-05;2.3779e-07;0.231272
9;0.65;0.0075;2.98244e-05;1.47695e-07;0.962334
9;0.9;0.00042;3.46969e-05;4.99569e-07;0.783705
9;0.9;0.00075;2.96675e-05;2.96922e-07;0.421172
9;0.9;0.00133;2.62738e-05;3.39964e-07;0.295264
