Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
4.5;0.04;0.00012;4.04881e-07;2.79388e-08;1.58608
4.5;0.04;0.00029;3.49667e-07;2.87398e-08;1.93099
4.5;0.04;0.00067;2.75288e-07;1.97544e-08;1.88431
4.5;0.1;0.00012;3.27275e-06;5.66716e-08;1.33719
4.5;0.1;0.00029;2.40279e-06;3.81547e-08;1.01875
4.5;0.1;0.00067;1.76504e-06;2.63633e-08;1.78007
4.5;0.2;0.00012;1.20259e-05;5.91263e-08;1.30485
4.5;0.2;0.00029;8.86177e-06;5.06843e-08;1.96578
4.5;0.2;0.00067;6.6731e-06;3.73918e-08;0.197165
4.5;0.4;0.00012;1.07075e-05;3.58703e-08;2.93049
4.5;0.4;0.00029;8.01883e-06;2.04774e-08;1.75158
4.5;0.4;0.00067;6.10325e-06;1.45469e-08;1.49634
4.5;0.4;0.0016;4.62112e-06;1.54826e-08;2.80252
4.5;0.65;0.00012;0;0;0
4.5;0.65;0.00029;0;0;0
4.5;0.65;0.00067;0;0;0
4.5;0.65;0.0016;0;0;0
4.5;0.9;0.00029;0;0;0
4.5;0.9;0.00067;0;0;0
4.5;0.9;0.0016;0;0;0
7.5;0.04;0.0002;1.34455e-07;1.36578e-08;2.16877
7.5;0.04;0.0004;1.13695e-07;1.18724e-08;0.273339
7.5;0.04;0.00079;1.13695e-07;1.18724e-08;0.273339
7.5;0.1;0.0002;1.08064e-06;2.36171e-08;0.691968
7.5;0.1;0.0004;8.23831e-07;1.88404e-08;0.442681
7.5;0.1;0.00079;6.30464e-07;1.61024e-08;0.521522
7.5;0.1;0.00158;5.79308e-07;1.47346e-08;0.933439
7.5;0.1;0.00316;5.79308e-07;1.47346e-08;0.933439
7.5;0.2;0.0002;4.42859e-06;3.54152e-08;1.30405
7.5;0.2;0.0004;3.43256e-06;2.79979e-08;0.924805
7.5;0.2;0.00079;2.70612e-06;2.1879e-08;0.500856
7.5;0.2;0.00158;2.10222e-06;1.77953e-08;0.928486
7.5;0.2;0.00316;1.95634e-06;1.98275e-08;0.399255
7.5;0.4;0.0002;1.0983e-05;4.14197e-08;0.966539
7.5;0.4;0.0004;8.73493e-06;3.61611e-08;2.46131
7.5;0.4;0.00079;6.88775e-06;2.75766e-08;0.979117
7.5;0.4;0.00158;5.42751e-06;1.91478e-08;0.422637
7.5;0.4;0.00316;4.29697e-06;1.44841e-08;1.73
7.5;0.4;0.00668;3.94965e-06;1.56328e-08;0.882489
7.5;0.65;0.0002;0;0;0
7.5;0.65;0.0004;0;0;0
7.5;0.65;0.00079;0;0;0
7.5;0.65;0.00158;0;0;0
7.5;0.65;0.00316;0;0;0
7.5;0.65;0.00668;0;0;0
7.5;0.9;0.0004;0;0;0
7.5;0.9;0.00079;0;0;0
7.5;0.9;0.00158;0;0;0
7.5;0.9;0.00316;0;0;0
7.5;0.9;0.00668;0;0;0
7.5;0.9;0.01778;0;0;0
9;0.04;0.00024;9.60108e-08;1.19138e-08;2.10793
9;0.04;0.00042;6.60225e-08;8.96345e-09;1.28398
9;0.04;0.00075;6.60225e-08;8.96345e-09;1.28398
9;0.1;0.00024;7.14953e-07;2.33577e-08;0.633348
9;0.1;0.00042;5.66221e-07;1.66225e-08;0.563767
9;0.1;0.00075;4.62896e-07;1.26193e-08;0.269565
9;0.1;0.00133;3.95752e-07;1.31291e-08;0.631367
9;0.1;0.00237;3.95752e-07;1.31291e-08;0.631367
9;0.2;0.00024;3.04636e-06;2.6747e-08;1.38069
9;0.2;0.00042;2.5002e-06;2.18712e-08;1.09961
9;0.2;0.00075;2.02537e-06;1.86329e-08;0.311808
9;0.2;0.00133;1.62863e-06;1.54847e-08;1.46902
9;0.2;0.00237;1.39481e-06;1.60046e-08;1.04315
9;0.2;0.00421;1.39481e-06;1.60046e-08;1.04315
9;0.4;0.00024;8.2531e-06;3.54314e-08;0.675623
9;0.4;0.00042;6.82172e-06;2.85051e-08;0.450121
9;0.4;0.00075;5.56684e-06;2.57011e-08;0.998029
9;0.4;0.00133;4.57706e-06;2.54148e-08;0.307654
9;0.4;0.00237;3.7455e-06;1.46391e-08;1.33251
9;0.4;0.00421;3.13149e-06;1.37197e-08;1.49362
9;0.4;0.0075;3.13149e-06;1.37197e-08;1.49362
9;0.65;0.00024;0;0;0
