Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
4.5;0.04;0.00012;-4.88452e-09;1.86826e-08;0.254349
4.5;0.04;0.00029;1.21345e-08;1.73105e-08;0.900938
4.5;0.04;0.00067;3.14869e-09;1.08471e-08;0.0228719
4.5;0.1;0.00012;8.99361e-08;3.67407e-08;1.04721
4.5;0.1;0.00029;7.28158e-08;2.18359e-08;0.987421
4.5;0.1;0.00067;4.5081e-08;1.70656e-08;2.63385
4.5;0.2;0.00012;4.27995e-07;3.61143e-08;0.721034
4.5;0.2;0.00029;3.06566e-07;2.32565e-08;1.02874
4.5;0.2;0.00067;2.10832e-07;1.68279e-08;1.53643
4.5;0.4;0.00012;4.69473e-06;3.35679e-08;1.4148
4.5;0.4;0.00029;3.46482e-06;3.5363e-08;0.719159
4.5;0.4;0.00067;2.55669e-06;2.06668e-08;2.14258
4.5;0.4;0.0016;1.91176e-06;2.26738e-08;0.255128
4.5;0.65;0.00012;2.17608e-05;5.48529e-08;1.06188
4.5;0.65;0.00029;1.60856e-05;3.93954e-08;1.07382
4.5;0.65;0.00067;1.21253e-05;2.63429e-08;1.92948
4.5;0.65;0.0016;9.1016e-06;1.92235e-08;1.64238
4.5;0.9;0.00029;3.95996e-05;4.1187e-08;1.24954
4.5;0.9;0.00067;3.02346e-05;3.40008e-08;2.77286
4.5;0.9;0.0016;2.30377e-05;2.50158e-08;2.81737
