Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
9;0.04;0.00024;5.74794e-10;2.64241e-09;0.970175
9;0.04;0.00042;-1.75198e-09;2.16818e-09;0.695964
9;0.04;0.00075;-1.75198e-09;2.16818e-09;0.695964
9;0.1;0.00024;7.89452e-09;3.82004e-09;0.995752
9;0.1;0.00042;7.131e-09;2.64047e-09;1.18964
9;0.1;0.00075;7.13725e-09;2.36403e-09;0.390878
9;0.1;0.00133;4.66673e-09;2.11981e-09;0.289101
9;0.1;0.00237;4.66673e-09;2.11981e-09;0.289101
9;0.2;0.00024;4.59052e-08;5.1212e-09;0.744474
9;0.2;0.00042;4.18315e-08;3.8189e-09;1.3331
9;0.2;0.00075;3.89733e-08;3.3137e-09;0.446809
9;0.2;0.00133;3.25164e-08;2.71471e-09;1.36792
9;0.2;0.00237;2.93911e-08;4.71871e-09;1.28596
9;0.2;0.00421;2.93911e-08;4.71871e-09;1.28596
9;0.4;0.00024;4.7885e-07;7.51819e-09;0.473698
9;0.4;0.00042;4.02814e-07;5.56675e-09;2.69963
9;0.4;0.00075;3.18023e-07;5.50987e-09;0.394733
9;0.4;0.00133;2.62906e-07;6.2695e-09;1.45593
9;0.4;0.00237;2.17794e-07;3.4236e-09;0.694086
9;0.4;0.00421;1.7546e-07;3.05124e-09;0.848078
9;0.4;0.0075;1.7546e-07;3.05124e-09;0.848078
9;0.65;0.00024;4.00887e-06;1.1933e-08;0.756619
9;0.65;0.00042;3.27109e-06;1.19961e-08;0.425089
9;0.65;0.00075;2.64054e-06;8.94842e-09;1.27548
9;0.65;0.00133;2.14141e-06;7.25167e-09;1.16788
9;0.65;0.00237;1.73821e-06;6.76476e-09;0.311893
9;0.65;0.00421;1.41309e-06;5.15169e-09;0.510179
9;0.65;0.0075;1.20189e-06;4.61512e-09;0.671974
9;0.9;0.00042;1.21002e-05;1.49187e-08;0.6464
9;0.9;0.00075;9.93149e-06;9.55652e-09;1.02107
9;0.9;0.00133;8.20101e-06;1.08736e-08;1.26155
9;0.9;0.00237;6.76016e-06;7.92897e-09;0.461321
9;0.9;0.00421;5.59996e-06;6.42359e-09;0.813275
9;0.9;0.0075;4.654e-06;6.81628e-09;0.158302
12;0.04;0.00024;-2.51448e-09;1.10978e-09;0.665694
12;0.04;0.00042;-6.78328e-10;9.10498e-10;0.4059
12;0.04;0.00075;-6.78328e-10;9.10498e-10;0.4059
12;0.04;0.00133;-6.78328e-10;9.10498e-10;0.4059
12;0.1;0.00024;3.3087e-09;2.18605e-09;1.51516
12;0.1;0.00042;3.25076e-09;1.60997e-09;0.598294
12;0.1;0.00075;5.26891e-09;1.52776e-09;2.15799
12;0.1;0.00133;3.71604e-09;1.72921e-09;1.35192
12;0.1;0.00237;3.71604e-09;1.72921e-09;1.35192
12;0.2;0.00024;2.27148e-08;3.00624e-09;1.15245
12;0.2;0.00042;1.82018e-08;2.33789e-09;1.02586
12;0.2;0.00075;1.66508e-08;2.45277e-09;3.0781
12;0.2;0.00133;1.44028e-08;1.57182e-09;1.67967
12;0.2;0.00237;1.42142e-08;1.61829e-09;2.01057
12;0.2;0.00421;1.42142e-08;1.61829e-09;2.01057
12;0.2;0.0075;1.42142e-08;1.61829e-09;2.01057
12;0.4;0.00024;2.33972e-07;5.3738e-09;0.754243
12;0.4;0.00042;1.8887e-07;4.69368e-09;1.02673
12;0.4;0.00075;1.60472e-07;4.29548e-09;0.85605
12;0.4;0.00133;1.23178e-07;4.411e-09;0.626303
12;0.4;0.00237;1.00642e-07;2.51261e-09;1.38133
12;0.4;0.00421;8.02445e-08;1.72363e-09;0.398927
12;0.4;0.0075;8.02445e-08;1.72363e-09;0.398927
12;0.65;0.00024;2.22215e-06;6.34321e-09;0.57044
12;0.65;0.00042;1.7945e-06;4.95664e-09;0.399887
