Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
4.5;0.04;0.00012;5.05465e-07;6.54333e-08;1.38674
4.5;0.04;0.00029;4.1923e-07;6.46398e-08;0.439497
4.5;0.04;0.00067;2.25555e-07;4.62215e-08;3.2656
4.5;0.1;0.00012;3.08218e-06;9.11312e-08;1.62713
4.5;0.1;0.00029;2.21238e-06;5.97149e-08;0.952637
4.5;0.1;0.00067;1.64516e-06;4.86281e-08;2.26497
4.5;0.2;0.00012;9.35888e-06;1.14638e-07;0.913149
4.5;0.2;0.00029;7.08038e-06;9.13487e-08;2.51923
4.5;0.2;0.00067;5.65583e-06;1.26237e-07;0.4527
4.5;0.4;0.00012;2.31757e-05;1.37487e-07;2.10935
4.5;0.4;0.00029;1.76227e-05;1.15425e-07;1.98825
4.5;0.4;0.00067;1.36518e-05;1.27488e-07;1.0774
4.5;0.4;0.0016;1.08031e-05;7.50963e-08;1.08187
4.5;0.65;0.00012;3.14529e-05;2.5623e-07;0.361503
4.5;0.65;0.00029;2.43068e-05;1.92859e-07;0.505627
4.5;0.65;0.00067;1.90167e-05;1.28346e-07;2.17651
4.5;0.65;0.0016;1.49037e-05;6.83916e-08;2.75753
4.5;0.9;0.00029;1.9592e-05;1.55636e-07;0.448622
4.5;0.9;0.00067;1.56287e-05;1.43327e-07;0.612717
4.5;0.9;0.0016;1.22104e-05;1.03724e-07;0.929048
