Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
9;0.04;0.00024;3.60735e-08;1.47881e-08;1.51484
9;0.04;0.00042;4.29788e-08;7.04496e-09;0.906268
9;0.04;0.00075;4.29788e-08;7.04496e-09;0.906268
9;0.1;0.00024;3.44718e-07;1.3229e-08;1.3104
9;0.1;0.00042;3.0494e-07;1.25761e-08;0.919764
9;0.1;0.00075;2.60507e-07;1.51867e-08;1.36857
9;0.1;0.00133;2.4597e-07;1.26297e-08;1.12797
9;0.1;0.00237;2.4597e-07;1.26297e-08;1.12797
9;0.2;0.00024;1.53457e-06;1.89083e-08;0.723735
9;0.2;0.00042;1.28499e-06;2.04298e-08;1.34646
9;0.2;0.00075;1.06365e-06;1.71427e-08;1.20722
9;0.2;0.00133;8.97341e-07;1.51838e-08;1.15608
9;0.2;0.00237;7.94754e-07;1.43417e-08;1.48474
9;0.2;0.00421;7.94754e-07;1.43417e-08;1.48474
9;0.4;0.00024;5.35509e-06;4.06744e-08;0.901301
9;0.4;0.00042;4.49757e-06;3.98078e-08;0.930252
9;0.4;0.00075;3.69269e-06;3.3141e-08;0.386154
9;0.4;0.00133;3.16775e-06;1.91736e-08;1.16519
9;0.4;0.00237;2.68371e-06;1.70564e-08;0.8407
9;0.4;0.00421;2.36436e-06;2.1278e-08;0.188357
9;0.4;0.0075;2.36436e-06;2.1278e-08;0.188357
9;0.65;0.00024;8.4813e-06;4.58287e-08;1.58858
9;0.65;0.00042;7.2067e-06;3.04251e-08;2.16722
9;0.65;0.00075;6.04081e-06;3.02588e-08;2.14983
9;0.65;0.00133;5.13587e-06;2.49604e-08;0.919202
9;0.65;0.00237;4.36276e-06;2.78209e-08;0.992361
9;0.65;0.00421;3.77332e-06;2.63041e-08;1.17484
9;0.65;0.0075;3.33683e-06;2.56266e-08;0.773073
9;0.9;0.00042;3.90611e-06;4.8229e-08;0.358104
9;0.9;0.00075;3.32026e-06;4.17088e-08;1.41988
9;0.9;0.00133;2.81002e-06;3.29149e-08;0.721363
9;0.9;0.00237;2.4546e-06;3.39661e-08;1.45049
9;0.9;0.00421;2.09707e-06;3.29998e-08;1.18505
9;0.9;0.0075;1.83171e-06;2.61953e-08;0.164498
12;0.04;0.00024;2.62711e-08;6.28179e-09;0.456446
12;0.04;0.00042;2.49258e-08;4.25894e-09;0.344353
12;0.04;0.00075;2.49258e-08;4.25894e-09;0.344353
12;0.04;0.00133;2.49258e-08;4.25894e-09;0.344353
12;0.1;0.00024;2.14017e-07;8.79002e-09;0.389167
12;0.1;0.00042;1.7586e-07;9.66528e-09;0.595518
12;0.1;0.00075;1.60458e-07;1.10149e-08;0.353399
12;0.1;0.00133;1.33085e-07;5.89253e-09;0.519508
12;0.1;0.00237;1.33085e-07;5.89253e-09;0.519508
12;0.2;0.00024;9.5029e-07;2.96974e-08;0.331637
12;0.2;0.00042;7.32683e-07;1.75734e-08;0.324112
12;0.2;0.00075;6.20512e-07;1.14249e-08;0.741516
12;0.2;0.00133;4.96533e-07;1.0097e-08;3.29145
12;0.2;0.00237;4.7115e-07;1.2227e-08;0.762819
12;0.2;0.00421;4.7115e-07;1.2227e-08;0.762819
12;0.2;0.0075;4.7115e-07;1.2227e-08;0.762819
12;0.4;0.00024;3.22683e-06;2.2185e-08;1.48018
12;0.4;0.00042;2.66681e-06;4.2183e-08;1.64387
