Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
12;0.04;0.00024;-7.03244e-09;2.39077e-09;0.289012
12;0.04;0.00042;-5.81731e-09;2.01837e-09;0.767136
12;0.04;0.00075;-4.0629e-09;1.66441e-09;0.135118
12;0.04;0.00133;-4.2547e-09;1.39882e-09;0.152976
12;0.1;0.00024;-1.80353e-08;2.66973e-09;2.38847
12;0.1;0.00042;-1.34965e-08;2.31969e-09;1.62464
12;0.1;0.00075;-9.4149e-09;1.86839e-09;1.25841
12;0.1;0.00133;-6.17123e-09;1.54465e-09;0.977286
12;0.1;0.00237;-4.37858e-09;1.30881e-09;0.720268
12;0.2;0.00024;-8.80307e-08;2.75858e-09;0.827942
12;0.2;0.00042;-5.93549e-08;2.31377e-09;0.936423
12;0.2;0.00075;-3.59856e-08;1.94033e-09;0.618099
12;0.2;0.00133;-1.98385e-08;1.6243e-09;0.50909
12;0.2;0.00237;-6.44738e-09;1.37892e-09;0.323308
12;0.2;0.00421;2.7211e-09;1.17205e-09;0.225809
12;0.2;0.0075;9.69484e-09;1.00382e-09;0.156367
12;0.4;0.00024;1.14184e-06;3.04612e-09;1.11334
12;0.4;0.00042;9.23407e-07;2.55863e-09;0.781771
12;0.4;0.00075;7.44585e-07;2.13782e-09;0.761571
12;0.4;0.00133;6.07462e-07;1.79632e-09;0.534627
12;0.4;0.00237;4.99274e-07;1.50489e-09;0.219752
12;0.4;0.00421;4.15005e-07;1.24996e-09;0.327979
12;0.4;0.0075;3.50027e-07;1.06564e-09;0.358891
12;0.65;0.00024;1.80975e-05;3.47857e-09;0.766379
12;0.65;0.00042;1.47258e-05;2.92998e-09;0.443657
12;0.65;0.00075;1.19079e-05;2.43595e-09;0.771402
12;0.65;0.00133;9.67682e-06;2.05431e-09;0.616489
12;0.65;0.00237;7.8663e-06;1.72602e-09;1.01832
12;0.65;0.00421;6.41454e-06;1.46137e-09;0.706029
12;0.65;0.0075;5.23802e-06;1.22957e-09;0.731434
12;0.9;0.00042;6.16835e-05;5.19336e-09;1.57633
12;0.9;0.00075;5.06306e-05;4.32243e-09;1.50377
12;0.9;0.00133;4.17797e-05;3.61959e-09;1.61282
12;0.9;0.00237;3.45165e-05;3.02519e-09;1.81644
12;0.9;0.00421;2.86192e-05;2.56029e-09;2.35864
12;0.9;0.0075;2.37782e-05;2.15943e-09;2.2012
18;0.04;0.00042;-2.88565e-09;9.11863e-10;0.464899
18;0.04;0.00075;-2.26986e-09;7.53819e-10;0.062151
18;0.04;0.00133;-2.30512e-09;6.22448e-10;0.119026
18;0.1;0.00042;-4.23666e-09;1.02063e-09;1.66306
18;0.1;0.00075;-3.09571e-09;8.48216e-10;1.4013
18;0.1;0.00133;-2.62671e-09;7.09891e-10;1.10905
18;0.1;0.00237;-2.11893e-09;5.93974e-10;1.32274
18;0.1;0.00421;-1.58869e-09;4.99117e-10;1.33619
18;0.2;0.00042;-2.66029e-08;1.06131e-09;0.835539
18;0.2;0.00075;-1.6994e-08;8.84293e-10;0.648804
18;0.2;0.00133;-9.90078e-09;7.35047e-10;0.624109
18;0.2;0.00237;-4.28408e-09;6.09096e-10;0.871787
18;0.2;0.00421;-3.16283e-10;5.13632e-10;0.819715
18;0.2;0.0075;2.45381e-09;4.34615e-10;0.670998
18;0.4;0.00042;2.16791e-07;1.203e-09;1.07157
18;0.4;0.00075;1.73962e-07;1.00306e-09;1.2534
18;0.4;0.00133;1.42011e-07;8.38728e-10;0.996513
18;0.4;0.00237;1.17292e-07;6.99654e-10;0.796583
18;0.4;0.00421;9.88908e-08;5.90051e-10;0.880653
