Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
7.5;0.65;0.0004;0.000115644;2.17857e-08;0.745992
7.5;0.65;0.00079;9.67081e-05;1.82292e-08;0.723654
7.5;0.65;0.00158;8.11114e-05;1.5285e-08;0.991261
7.5;0.65;0.00316;6.85841e-05;1.29551e-08;1.15063
7.5;0.65;0.00668;5.77719e-05;1.09722e-08;1.2094
7.5;0.9;0.0004;7.87042e-05;2.37896e-08;0.580264
7.5;0.9;0.00079;6.76508e-05;1.99796e-08;0.383364
7.5;0.9;0.00158;5.84133e-05;1.67892e-08;0.459914
7.5;0.9;0.00316;5.08211e-05;1.42321e-08;0.712402
7.5;0.9;0.00668;4.417e-05;1.20223e-08;0.676544
7.5;0.9;0.01778;4.11666e-05;1.10736e-08;0.950894
