Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
7.5;0.04;0.0002;-9.00705e-09;2.36715e-09;0.61369
7.5;0.04;0.0004;-9.99433e-09;2.01416e-09;1.0013
7.5;0.04;0.00079;-9.99433e-09;2.01416e-09;1.0013
7.5;0.1;0.0002;-1.15843e-08;3.36415e-09;0.446546
7.5;0.1;0.0004;-6.20113e-09;2.78225e-09;0.3659
7.5;0.1;0.00079;-2.66909e-09;2.33526e-09;0.344189
7.5;0.1;0.00158;-1.27426e-09;2.19727e-09;0.293425
7.5;0.1;0.00316;-1.27426e-09;2.19727e-09;0.293425
7.5;0.2;0.0002;-1.99442e-08;4.25943e-09;0.491199
7.5;0.2;0.0004;1.52175e-08;3.47666e-09;0.523252
7.5;0.2;0.00079;3.9364e-08;2.9185e-09;0.39329
7.5;0.2;0.00158;5.861e-08;2.43223e-09;0.365114
7.5;0.2;0.00316;6.42861e-08;2.29423e-09;0.269139
7.5;0.4;0.0002;3.70698e-06;5.70165e-09;0.101595
7.5;0.4;0.0004;2.91375e-06;4.63816e-09;0.106726
7.5;0.4;0.00079;2.31502e-06;3.79085e-09;0.297684
7.5;0.4;0.00158;1.85138e-06;3.14595e-09;0.286297
7.5;0.4;0.00316;1.50189e-06;2.61994e-09;0.364342
7.5;0.4;0.00668;1.40224e-06;2.46077e-09;0.280931
7.5;0.65;0.0002;4.66197e-05;7.87323e-09;0.676675
7.5;0.65;0.0004;3.66448e-05;6.38247e-09;0.710188
7.5;0.65;0.00079;2.9102e-05;5.22542e-09;0.727496
7.5;0.65;0.00158;2.302e-05;4.25386e-09;0.659323
7.5;0.65;0.00316;1.83503e-05;3.52314e-09;0.969263
7.5;0.65;0.00668;1.45318e-05;2.89658e-09;1.42469
7.5;0.9;0.0004;0.000151318;1.19984e-08;1.96298
7.5;0.9;0.00079;0.00012154;9.79388e-09;1.81642
7.5;0.9;0.00158;9.78068e-05;7.98325e-09;1.99605
7.5;0.9;0.00316;7.90045e-05;6.55208e-09;2.18416
7.5;0.9;0.00668;6.32263e-05;5.36825e-09;2.32837
7.5;0.9;0.01778;5.78504e-05;4.95786e-09;3.37046
9;0.04;0.00024;-4.92713e-09;1.61502e-09;0.279633
9;0.04;0.00042;-5.45227e-09;1.40543e-09;0.269585
9;0.04;0.00075;-5.45227e-09;1.40543e-09;0.269585
9;0.1;0.00024;-8.25179e-09;2.30732e-09;0.629815
9;0.1;0.00042;-5.69915e-09;1.97315e-09;0.387189
9;0.1;0.00075;-3.24818e-09;1.6823e-09;0.183829
9;0.1;0.00133;-2.41091e-09;1.53981e-09;0.152211
9;0.1;0.00237;-2.41091e-09;1.53981e-09;0.152211
9;0.2;0.00024;-2.29718e-08;2.95819e-09;0.177107
