Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
7.5;0.04;0.0002;4.62274e-07;8.30408e-09;0.689823
7.5;0.04;0.0004;4.00091e-07;7.13916e-09;0.468354
7.5;0.04;0.00079;4.00091e-07;7.13916e-09;0.468354
7.5;0.1;0.0002;3.80605e-06;1.12401e-08;0.561889
7.5;0.1;0.0004;3.16078e-06;9.5761e-09;0.582579
7.5;0.1;0.00079;2.66055e-06;8.24013e-09;0.453091
7.5;0.1;0.00158;2.51204e-06;7.82069e-09;0.442943
7.5;0.1;0.00316;2.51204e-06;7.82069e-09;0.442943
7.5;0.2;0.0002;1.81102e-05;1.45168e-08;1.14947
7.5;0.2;0.0004;1.48338e-05;1.21768e-08;0.852452
7.5;0.2;0.00079;1.23324e-05;1.03319e-08;0.98152
7.5;0.2;0.00158;1.03075e-05;8.85533e-09;1.02163
7.5;0.2;0.00316;9.71738e-06;8.42613e-09;1.00788
7.5;0.4;0.0002;6.97335e-05;1.92551e-08;0.985736
7.5;0.4;0.0004;5.74421e-05;1.6101e-08;1.0146
7.5;0.4;0.00079;4.76988e-05;1.35727e-08;0.854637
7.5;0.4;0.00158;3.98638e-05;1.15809e-08;1.18892
7.5;0.4;0.00316;3.35869e-05;9.89748e-09;1.17993
7.5;0.4;0.00668;3.174e-05;9.4006e-09;1.38976
7.5;0.65;0.0002;0.000124269;2.33967e-08;0.80379
7.5;0.65;0.0004;0.000103119;1.94179e-08;0.818717
7.5;0.65;0.00079;8.66427e-05;1.63373e-08;1.01306
7.5;0.65;0.00158;7.29622e-05;1.3768e-08;0.82605
7.5;0.65;0.00316;6.20975e-05;1.17646e-08;1.13544
7.5;0.65;0.00668;5.29437e-05;1.00898e-08;1.26304
7.5;0.9;0.0004;7.6871e-05;2.31881e-08;0.353486
7.5;0.9;0.00079;6.61269e-05;1.94342e-08;0.440534
7.5;0.9;0.00158;5.7142e-05;1.6359e-08;0.567182
7.5;0.9;0.00316;4.98182e-05;1.38824e-08;0.774452
7.5;0.9;0.00668;4.33766e-05;1.17775e-08;0.738517
7.5;0.9;0.01778;4.11666e-05;1.10736e-08;0.950894
9;0.04;0.00024;3.08105e-07;5.93419e-09;0.437327
9;0.04;0.00042;2.72899e-07;5.30156e-09;0.518326
9;0.04;0.00075;2.72899e-07;5.30156e-09;0.518326
9;0.1;0.00024;2.51553e-06;8.07707e-09;0.187716
9;0.1;0.00042;2.16632e-06;7.06207e-09;0.189719
9;0.1;0.00075;1.87222e-06;6.19672e-09;0.234987
9;0.1;0.00133;1.74459e-06;5.82354e-09;0.307657
9;0.1;0.00237;1.74459e-06;5.82354e-09;0.307657
9;0.2;0.00024;1.20791e-05;1.04044e-08;1.21205
