Q2 (GeV);x;sigma (mb)
1;1e-05;0.00093417;
1;1.26896e-05;0.000874876;
1;1.61026e-05;0.000818483;
1;2.04336e-05;0.000764868;
1;2.59294e-05;0.000714079;
1;3.29034e-05;0.000665951;
1;4.17532e-05;0.000620471;
1;5.29832e-05;0.000577579;
1;6.72336e-05;0.000537131;
1;8.53168e-05;0.000499123;
1;0.000108264;0.000463417;
1;0.000137382;0.000429924;
1;0.000174333;0.000398545;
1;0.000221222;0.000369193;
1;0.000280722;0.00034177;
1;0.000356225;0.000316183;
1;0.000452035;0.000292328;
1;0.000573615;0.000270134;
1;0.000727895;0.000249475;
1;0.000923671;0.00023029;
1;0.0011721;0.000212468;
1;0.00148735;0.000195934;
1;0.00188739;0.000180616;
1;0.00239503;0.000166431;
1;0.0030392;0.0001533;
1;0.00385662;0.000141158;
1;0.0048939;0.000129935;
1;0.00621017;0.000119572;
1;0.00788046;0.000110001;
1;0.01;0.000101169;
3;1e-05;0.0019457;
3;1.26896e-05;0.00181761;
3;1.61026e-05;0.00169623;
3;2.04336e-05;0.00158143;
3;2.59294e-05;0.00147296;
3;3.29034e-05;0.00137068;
3;4.17532e-05;0.0012744;
3;5.29832e-05;0.00118382;
3;6.72336e-05;0.00109883;
3;8.53168e-05;0.00101919;
3;0.000108264;0.000944569;
3;0.000137382;0.000874828;
3;0.000174333;0.000809644;
3;0.000221222;0.000748896;
3;0.000280722;0.00069228;
3;0.000356225;0.00063957;
3;0.000452035;0.000590564;
3;0.000573615;0.00054506;
3;0.000727895;0.000502797;
3;0.000923671;0.000463619;
3;0.0011721;0.000427318;
3;0.00148735;0.000393691;
3;0.00188739;0.000362596;
3;0.00239503;0.000333841;
3;0.0030392;0.000307266;
3;0.00385662;0.00028274;
3;0.0048939;0.000260083;
3;0.00621017;0.00023918;
3;0.00788046;0.000219914;
3;0.01;0.000202149;
5;1e-05;0.00239663;
5;1.26896e-05;0.00223461;
5;1.61026e-05;0.00208149;
5;2.04336e-05;0.00193725;
5;2.59294e-05;0.00180134;
5;3.29034e-05;0.00167355;
5;4.17532e-05;0.00155353;
5;5.29832e-05;0.00144098;
5;6.72336e-05;0.0013356;
5;8.53168e-05;0.00123708;
5;0.000108264;0.00114502;
5;0.000137382;0.0010592;
5;0.000174333;0.000979175;
5;0.000221222;0.000904705;
5;0.000280722;0.000835426;
5;0.000356225;0.000771061;
5;0.000452035;0.000711346;
5;0.000573615;0.000655945;
5;0.000727895;0.000604621;
5;0.000923671;0.000557099;
5;0.0011721;0.000513111;
5;0.00148735;0.000472432;
5;0.00188739;0.000434866;
5;0.00239503;0.000400149;
5;0.0030392;0.000368106;
5;0.00385662;0.000338531;
5;0.0048939;0.000311271;
5;0.00621017;0.000286134;
5;0.00788046;0.000262986;
5;0.01;0.000241657;
8;1e-05;0.00263426;
8;1.26896e-05;0.00245099;
8;1.61026e-05;0.00227841;
8;2.04336e-05;0.00211628;
8;2.59294e-05;0.00196411;
8;3.29034e-05;0.00182149;
8;4.17532e-05;0.00168792;
8;5.29832e-05;0.00156315;
8;6.72336e-05;0.00144661;
8;8.53168e-05;0.00133791;
8;0.000108264;0.00123664;
8;0.000137382;0.00114242;
8;0.000174333;0.00105483;
8;0.000221222;0.000973456;
8;0.000280722;0.000897942;
8;0.000356225;0.00082795;
8;0.000452035;0.000763055;
8;0.000573615;0.000703028;
8;0.000727895;0.000647449;
8;0.000923671;0.000596092;
8;0.0011721;0.000548605;
8;0.00148735;0.00050478;
8;0.00188739;0.000464324;
8;0.00239503;0.000427012;
8;0.0030392;0.000392602;
8;0.00385662;0.000360899;
8;0.0048939;0.000331671;
8;0.00621017;0.000304754;
8;0.00788046;0.000279976;
8;0.01;0.000257182;
10;1e-05;0.00266051;
10;1.26896e-05;0.00247279;
10;1.61026e-05;0.00229623;
10;2.04336e-05;0.00213072;
10;2.59294e-05;0.00197556;
10;3.29034e-05;0.00183036;
10;4.17532e-05;0.00169474;
10;5.29832e-05;0.00156813;
10;6.72336e-05;0.0014501;
10;8.53168e-05;0.00134018;
10;0.000108264;0.00123789;
10;0.000137382;0.00114285;
10;0.000174333;0.00105452;
10;0.000221222;0.000972641;
10;0.000280722;0.00089668;
10;0.000356225;0.000826333;
10;0.000452035;0.000761241;
10;0.000573615;0.000701015;
10;0.000727895;0.000645354;
10;0.000923671;0.000593936;
10;0.0011721;0.000546439;
10;0.00148735;0.000502618;
10;0.00188739;0.000462191;
10;0.00239503;0.000424916;
10;0.0030392;0.000390579;
10;0.00385662;0.000358945;
10;0.0048939;0.000329794;
10;0.00621017;0.000302981;
10;0.00788046;0.000278293;
10;0.01;0.00025558;
