Q2 (GeV);x;sigma (mb)
1;1e-05;0.0308911
1;2.78256e-05;0.022881
1;7.74264e-05;0.0166951
1;0.000215443;0.0120113
1;0.000599484;0.0085473
1;0.0016681;0.00603225
1;0.00464159;0.00422384
1;0.0129155;0.00294701
1;0.0359381;0.00204684
1;0.1;0.00141928
3;1e-05;0.0258624
3;2.78256e-05;0.0190437
3;7.74264e-05;0.0138025
3;0.000215443;0.00989334
3;0.000599484;0.00700709
3;0.0016681;0.00492727
3;0.00464159;0.0034469
3;0.0129155;0.00240137
3;0.0359381;0.00166562
3;0.1;0.00115353
5;1e-05;0.0224468
5;2.78256e-05;0.0164343
5;7.74264e-05;0.0118681
5;0.000215443;0.00846669
5;0.000599484;0.00598661
5;0.0016681;0.0042038
5;0.00464159;0.00293464
5;0.0129155;0.00204056
5;0.0359381;0.0014147
5;0.1;0.000979902
8;1e-05;0.0189284
8;2.78256e-05;0.0137706
8;7.74264e-05;0.00989616
8;0.000215443;0.00703833
8;0.000599484;0.00496492
8;0.0016681;0.00347758
8;0.00464159;0.00242499
8;0.0129155;0.00168465
8;0.0359381;0.00116673
8;0.1;0.000807541
10;1e-05;0.0171861
10;2.78256e-05;0.0124847
10;7.74264e-05;0.00895328
10;0.000215443;0.00635638
10;0.000599484;0.00447577
10;0.0016681;0.00313384
10;0.00464159;0.00218362
10;0.0129155;0.00151602
10;0.0359381;0.00105003
10;0.1;0.000726122
