Q2 (GeV);x;sigma (mb)
1;1e-05;0.000651484;
1;1.26896e-05;0.000619936;
1;1.61026e-05;0.000590421;
1;2.04336e-05;0.000562103;
1;2.59294e-05;0.000536026;
1;3.29034e-05;0.000510759;
1;4.17532e-05;0.000485921;
1;5.29832e-05;0.000462581;
1;6.72336e-05;0.000440326;
1;8.53168e-05;0.000419647;
1;0.000108264;0.000399729;
1;0.000137382;0.000380124;
1;0.000174333;0.00036181;
1;0.000221222;0.000344193;
1;0.000280722;0.000327734;
1;0.000356225;0.000312183;
1;0.000452035;0.000297504;
1;0.000573615;0.000282443;
1;0.000727895;0.000268795;
1;0.000923671;0.000255849;
1;0.0011721;0.000243672;
1;0.00148735;0.000231938;
1;0.00188739;0.000220288;
1;0.00239503;0.000209479;
1;0.0030392;0.000199328;
1;0.00385662;0.00018971;
1;0.0048939;0.0001806;
1;0.00621017;0.000171589;
1;0.00788046;0.000163237;
1;0.01;0.000155148;
3;1e-05;0.00137434;
3;1.26896e-05;0.00130663;
3;1.61026e-05;0.00124321;
3;2.04336e-05;0.0011831;
3;2.59294e-05;0.00112616;
3;3.29034e-05;0.00107268;
3;4.17532e-05;0.00101906;
3;5.29832e-05;0.000969484;
3;6.72336e-05;0.000921401;
3;8.53168e-05;0.00087684;
3;0.000108264;0.000834792;
3;0.000137382;0.000792671;
3;0.000174333;0.00075371;
3;0.000221222;0.000716438;
3;0.000280722;0.000681521;
3;0.000356225;0.00064807;
3;0.000452035;0.000616323;
3;0.000573615;0.000584916;
3;0.000727895;0.000555679;
3;0.000923671;0.000527991;
3;0.0011721;0.000502157;
3;0.00148735;0.000477359;
3;0.00188739;0.000452683;
3;0.00239503;0.000429975;
3;0.0030392;0.000408193;
3;0.00385662;0.000388264;
3;0.0048939;0.000368621;
3;0.00621017;0.00034963;
3;0.00788046;0.000331798;
3;0.01;0.000314807;
5;1e-05;0.0017164;
5;1.26896e-05;0.00162996;
5;1.61026e-05;0.00154977;
5;2.04336e-05;0.00147366;
5;2.59294e-05;0.00140258;
5;3.29034e-05;0.0013337;
5;4.17532e-05;0.0012663;
5;5.29832e-05;0.00120355;
5;6.72336e-05;0.00114342;
5;8.53168e-05;0.00108739;
5;0.000108264;0.00103418;
5;0.000137382;0.000981236;
5;0.000174333;0.000932034;
5;0.000221222;0.000884981;
5;0.000280722;0.000840852;
5;0.000356225;0.000799053;
5;0.000452035;0.000758958;
5;0.000573615;0.000719403;
5;0.000727895;0.000682239;
5;0.000923671;0.000647967;
5;0.0011721;0.000615319;
5;0.00148735;0.000584221;
5;0.00188739;0.000553051;
5;0.00239503;0.000524794;
5;0.0030392;0.00049769;
5;0.00385662;0.000472336;
5;0.0048939;0.000448314;
5;0.00621017;0.000424205;
5;0.00788046;0.000401977;
5;0.01;0.000380856;
8;1e-05;0.00192542;
8;1.26896e-05;0.00182795;
8;1.61026e-05;0.00173643;
8;2.04336e-05;0.00164928;
8;2.59294e-05;0.00156714;
8;3.29034e-05;0.00149017;
8;4.17532e-05;0.00141321;
8;5.29832e-05;0.00134162;
8;6.72336e-05;0.00127352;
8;8.53168e-05;0.00120958;
8;0.000108264;0.00114881;
8;0.000137382;0.00108851;
8;0.000174333;0.00103312;
8;0.000221222;0.000979644;
8;0.000280722;0.000929824;
8;0.000356225;0.000882539;
8;0.000452035;0.000837268;
8;0.000573615;0.0007923;
8;0.000727895;0.000750501;
8;0.000923671;0.000711958;
8;0.0011721;0.000674967;
8;0.00148735;0.000639483;
8;0.00188739;0.000604914;
8;0.00239503;0.000572674;
8;0.0030392;0.000542365;
8;0.00385662;0.000513591;
8;0.0048939;0.000486487;
8;0.00621017;0.000459487;
8;0.00788046;0.000434627;
8;0.01;0.000410676;
10;1e-05;0.00197115;
10;1.26896e-05;0.00186969;
10;1.61026e-05;0.00177544;
10;2.04336e-05;0.00168536;
10;2.59294e-05;0.00160177;
10;3.29034e-05;0.00152158;
10;4.17532e-05;0.00144199;
10;5.29832e-05;0.00136844;
10;6.72336e-05;0.00129731;
10;8.53168e-05;0.00123157;
10;0.000108264;0.00116915;
10;0.000137382;0.0011078;
10;0.000174333;0.00105;
10;0.000221222;0.000995159;
10;0.000280722;0.000943564;
10;0.000356225;0.000895023;
10;0.000452035;0.000848588;
10;0.000573615;0.000802575;
10;0.000727895;0.000759672;
10;0.000923671;0.000719451;
10;0.0011721;0.000681833;
10;0.00148735;0.000646093;
10;0.00188739;0.000610046;
10;0.00239503;0.000577076;
10;0.0030392;0.000545587;
10;0.00385662;0.000516467;
10;0.0048939;0.00048883;
10;0.00621017;0.00046118;
10;0.00788046;0.000435698;
10;0.01;0.000411107;
