Q2 (GeV);x;sigma (mb)
1;1e-05;0.0228642
1;1.26896e-05;0.0217146
1;1.61026e-05;0.0206352
1;2.04336e-05;0.0196157
1;2.59294e-05;0.0186588
1;3.29034e-05;0.0177419
1;4.17532e-05;0.0168365
1;5.29832e-05;0.0159977
1;6.72336e-05;0.015191
1;8.53168e-05;0.0144447
1;0.000108264;0.013733
1;0.000137382;0.0130262
1;0.000174333;0.0123719
1;0.000221222;0.0117425
1;0.000280722;0.0111514
1;0.000356225;0.0106004
1;0.000452035;0.0100668
1;0.000573615;0.0095383
1;0.000727895;0.00904877
1;0.000923671;0.00859004
1;0.0011721;0.00815772
1;0.00148735;0.00774187
1;0.00188739;0.00733554
1;0.00239503;0.00695901
1;0.0030392;0.00659712
1;0.00385662;0.00626245
1;0.0048939;0.00594286
1;0.00621017;0.00562565
1;0.00788046;0.0053345
1;0.01;0.00505457
3;1e-05;0.0194676
3;1.26896e-05;0.0184694
3;1.61026e-05;0.017541
3;2.04336e-05;0.0166582
3;2.59294e-05;0.0158333
3;3.29034e-05;0.0150481
3;4.17532e-05;0.014266
3;5.29832e-05;0.0135444
3;6.72336e-05;0.0128496
3;8.53168e-05;0.0122097
3;0.000108264;0.0115934
3;0.000137382;0.0109879
3;0.000174333;0.0104255
3;0.000221222;0.00988614
3;0.000280722;0.00937971
3;0.000356225;0.00890621
3;0.000452035;0.00844843
3;0.000573615;0.00799542
3;0.000727895;0.00757926
3;0.000923671;0.00718595
3;0.0011721;0.00681598
3;0.00148735;0.00646438
3;0.00188739;0.00611046
3;0.00239503;0.00578908
3;0.0030392;0.00548418
3;0.00385662;0.00519896
3;0.0048939;0.00492656
3;0.00621017;0.00465775
3;0.00788046;0.00440572
3;0.01;0.00416592
5;1e-05;0.0171421
5;1.26896e-05;0.0162536
5;1.61026e-05;0.015433
5;2.04336e-05;0.0146385
5;2.59294e-05;0.0139113
5;3.29034e-05;0.013213
5;4.17532e-05;0.0125194
5;5.29832e-05;0.0118791
5;6.72336e-05;0.0112579
5;8.53168e-05;0.0106883
5;0.000108264;0.0101423
5;0.000137382;0.00960168
5;0.000174333;0.00910977
5;0.000221222;0.00862886
5;0.000280722;0.00818323
5;0.000356225;0.00776211
5;0.000452035;0.00735648
5;0.000573615;0.00695809
5;0.000727895;0.00658831
5;0.000923671;0.00624091
5;0.0011721;0.00591389
5;0.00148735;0.00560112
5;0.00188739;0.00529405
5;0.00239503;0.00500883
5;0.0030392;0.00473772
5;0.00385662;0.0044844
5;0.0048939;0.00424497
5;0.00621017;0.00400863
5;0.00788046;0.00378797
5;0.01;0.00357814
8;1e-05;0.0147311
8;1.26896e-05;0.0139522
8;1.61026e-05;0.0132446
8;2.04336e-05;0.0125543
8;2.59294e-05;0.0119242
8;3.29034e-05;0.0113133
8;4.17532e-05;0.0107143
8;5.29832e-05;0.0101544
8;6.72336e-05;0.00962119
8;8.53168e-05;0.0091237
8;0.000108264;0.00865068
8;0.000137382;0.0081838
8;0.000174333;0.00775249
8;0.000221222;0.00734066
8;0.000280722;0.00695247
8;0.000356225;0.0065916
8;0.000452035;0.00623852
8;0.000573615;0.00589358
8;0.000727895;0.00557757
8;0.000923671;0.00527581
8;0.0011721;0.00499371
8;0.00148735;0.00472602
8;0.00188739;0.00445915
8;0.00239503;0.00421212
8;0.0030392;0.00398168
8;0.00385662;0.00376527
8;0.0048939;0.00355772
8;0.00621017;0.00335164
8;0.00788046;0.0031636
8;0.01;0.00298437
10;1e-05;0.013554
10;1.26896e-05;0.0128394
10;1.61026e-05;0.0121723
10;2.04336e-05;0.0115379
10;2.59294e-05;0.0109519
10;3.29034e-05;0.0103905
10;4.17532e-05;0.00983178
10;5.29832e-05;0.00931767
10;6.72336e-05;0.0088236
10;8.53168e-05;0.0083666
10;0.000108264;0.00792942
10;0.000137382;0.00749632
10;0.000174333;0.00709726
10;0.000221222;0.00671458
10;0.000280722;0.00636038
10;0.000356225;0.00602136
10;0.000452035;0.00569949
10;0.000573615;0.00538095
10;0.000727895;0.00508649
10;0.000923671;0.00480871
10;0.0011721;0.00455343
10;0.00148735;0.00430291
10;0.00188739;0.00405749
10;0.00239503;0.00383185
10;0.0030392;0.00361791
10;0.00385662;0.00341966
10;0.0048939;0.00322875
10;0.00621017;0.00303978
10;0.00788046;0.0028672
10;0.01;0.00270188
