Q2 (GeV);x;sigma (mb)
1;1e-05;0.000676943;
1;1.26896e-05;0.000622271;
1;1.61026e-05;0.000596483;
1;2.04336e-05;0.000571647;
1;2.59294e-05;0.000547382;
1;3.29034e-05;0.000524576;
1;4.17532e-05;0.000482153;
1;5.29832e-05;0.00046147;
1;6.72336e-05;0.000442126;
1;8.53168e-05;0.000423473;
1;0.000108264;0.000405548;
1;0.000137382;0.000371961;
1;0.000174333;0.00035625;
1;0.000221222;0.000341006;
1;0.000280722;0.000326311;
1;0.000356225;0.000312243;
1;0.000452035;0.000299054;
1;0.000573615;0.000273749;
1;0.000727895;0.000261902;
1;0.000923671;0.000250607;
1;0.0011721;0.000239815;
1;0.00148735;0.000229193;
1;0.00188739;0.000209534;
1;0.00239503;0.000200245;
1;0.0030392;0.00019157;
1;0.00385662;0.000183027;
1;0.0048939;0.000175027;
1;0.00621017;0.000159782;
1;0.00788046;0.000152626;
1;0.01;0.000145787;
3;1e-05;0.00144979;
3;1.26896e-05;0.00133026;
3;1.61026e-05;0.00127441;
3;2.04336e-05;0.00122132;
3;2.59294e-05;0.00116857;
3;3.29034e-05;0.00111992;
3;4.17532e-05;0.0010263;
3;5.29832e-05;0.000982278;
3;6.72336e-05;0.000939717;
3;8.53168e-05;0.000899088;
3;0.000108264;0.000861291;
3;0.000137382;0.000787869;
3;0.000174333;0.000754046;
3;0.000221222;0.000720935;
3;0.000280722;0.000689852;
3;0.000356225;0.000659385;
3;0.000452035;0.000630379;
3;0.000573615;0.000576112;
3;0.000727895;0.000550218;
3;0.000923671;0.000525851;
3;0.0011721;0.000502458;
3;0.00148735;0.000480065;
3;0.00188739;0.000438092;
3;0.00239503;0.000418284;
3;0.0030392;0.000399267;
3;0.00385662;0.000381351;
3;0.0048939;0.000363529;
3;0.00621017;0.000330877;
3;0.00788046;0.000315727;
3;0.01;0.000300998;
5;1e-05;0.00183125;
5;1.26896e-05;0.00167948;
5;1.61026e-05;0.0016079;
5;2.04336e-05;0.00153885;
5;2.59294e-05;0.00147254;
5;3.29034e-05;0.00140919;
5;4.17532e-05;0.00128987;
5;5.29832e-05;0.00123325;
5;6.72336e-05;0.0011802;
5;8.53168e-05;0.00112917;
5;0.000108264;0.0010804;
5;0.000137382;0.000987074;
5;0.000174333;0.000943836;
5;0.000221222;0.000902007;
5;0.000280722;0.000862193;
5;0.000356225;0.000823808;
5;0.000452035;0.000786956;
5;0.000573615;0.000717673;
5;0.000727895;0.000684925;
5;0.000923671;0.000653801;
5;0.0011721;0.000624618;
5;0.00148735;0.000595666;
5;0.00188739;0.000542316;
5;0.00239503;0.000517781;
5;0.0030392;0.000493603;
5;0.00385662;0.00047053;
5;0.0048939;0.000448515;
5;0.00621017;0.000407009;
5;0.00788046;0.000388067;
5;0.01;0.000369505;
8;1e-05;0.00208286;
8;1.26896e-05;0.00190878;
8;1.61026e-05;0.00182564;
8;2.04336e-05;0.0017465;
8;2.59294e-05;0.00166947;
8;3.29034e-05;0.0015967;
8;4.17532e-05;0.00146018;
8;5.29832e-05;0.00139518;
8;6.72336e-05;0.0013343;
8;8.53168e-05;0.00127443;
8;0.000108264;0.00121792;
8;0.000137382;0.00111146;
8;0.000174333;0.00106168;
8;0.000221222;0.00101322;
8;0.000280722;0.000967911;
8;0.000356225;0.000923244;
8;0.000452035;0.000881349;
8;0.000573615;0.000802823;
8;0.000727895;0.000765414;
8;0.000923671;0.000730374;
8;0.0011721;0.000696119;
8;0.00148735;0.000663277;
8;0.00188739;0.000602387;
8;0.00239503;0.000573935;
8;0.0030392;0.000546545;
8;0.00385662;0.000520169;
8;0.0048939;0.000495147;
8;0.00621017;0.000448516;
8;0.00788046;0.000426512;
8;0.01;0.00040523;
10;1e-05;0.00214751;
10;1.26896e-05;0.0019646;
10;1.61026e-05;0.00188045;
10;2.04336e-05;0.0017985;
10;2.59294e-05;0.00171988;
10;3.29034e-05;0.00164316;
10;4.17532e-05;0.00150102;
10;5.29832e-05;0.0014339;
10;6.72336e-05;0.00136954;
10;8.53168e-05;0.00130777;
10;0.000108264;0.00124895;
10;0.000137382;0.00113926;
10;0.000174333;0.0010877;
10;0.000221222;0.00103765;
10;0.000280722;0.000990255;
10;0.000356225;0.000944829;
10;0.000452035;0.0009013;
10;0.000573615;0.000819177;
10;0.000727895;0.000781451;
10;0.000923671;0.000744746;
10;0.0011721;0.000709701;
10;0.00148735;0.000676218;
10;0.00188739;0.000613405;
10;0.00239503;0.000583749;
10;0.0030392;0.000555055;
10;0.00385662;0.000528217;
10;0.0048939;0.000502551;
10;0.00621017;0.000454127;
10;0.00788046;0.000431385;
10;0.01;0.000409633;
