Q2 (GeV);x;sigma (mb);sigma error (mb)
1;1e-05;0.00284105;5.43722e-07
1;2.78256e-05;0.00230016;6.0926e-07
1;7.74264e-05;0.00179917;4.28146e-07
1;0.000215443;0.00135492;4.54395e-07
1;0.000599484;0.000979534;1.84312e-07
1;0.0016681;0.000679472;2.24688e-07
1;0.00464159;0.00045113;1.00764e-07
1;0.0129155;0.00028629;8.80066e-08
1;0.0359381;0.000173648;1.23405e-07
1;0.1;0.00010065;2.96632e-08
3;1e-05;0.00138659;2.60283e-07
3;2.78256e-05;0.00100828;1.94082e-07
3;7.74264e-05;0.000703622;3.21547e-07
3;0.000215443;0.000471844;1.30129e-07
3;0.000599484;0.000303855;6.60311e-08
3;0.0016681;0.000188172;4.49102e-08
3;0.00464159;0.0001124;3.48114e-08
3;0.0129155;6.48627e-05;2.14964e-08
3;0.0359381;3.6253e-05;8.00271e-09
3;0.1;1.96625e-05;8.47058e-09
5;1e-05;0.000887809;2.96365e-07
5;2.78256e-05;0.000610778;1.1691e-07
5;7.74264e-05;0.000403564;8.47983e-08
5;0.000215443;0.000256388;5.70157e-08
5;0.000599484;0.000156892;3.68332e-08
5;0.0016681;9.28173e-05;2.10018e-08
5;0.00464159;5.32095e-05;1.277e-08
5;0.0129155;2.96614e-05;1.04265e-08
5;0.0359381;1.61129e-05;4.35878e-09
5;0.1;8.54169e-06;2.41076e-09
8;1e-05;0.000550683;1.1024e-07
8;2.78256e-05;0.000360118;8.72475e-08
8;7.74264e-05;0.000226668;1.06936e-07
8;0.000215443;0.000137562;4.41327e-08
8;0.000599484;8.07841e-05;2.36588e-08
8;0.0016681;4.60656e-05;1.83824e-08
8;0.00464159;2.55994e-05;8.7044e-09
8;0.0129155;1.39062e-05;5.3203e-09
8;0.0359381;7.39985e-06;3.4186e-09
8;0.1;3.85895e-06;1.40727e-09
10;1e-05;0.000429248;1.58718e-07
10;2.78256e-05;0.000274158;6.9771e-08
10;7.74264e-05;0.000168832;3.58008e-08
10;0.000215443;0.000100424;3.90381e-08
10;0.000599484;5.79741e-05;1.50132e-08
10;0.0016681;3.25726e-05;1.05481e-08
10;0.00464159;1.78717e-05;4.89808e-09
10;0.0129155;9.61064e-06;3.05556e-09
10;0.0359381;5.06987e-06;1.62886e-09
10;0.1;2.62657e-06;8.73453e-10
