#Inclusive ccbar production cross section in transverse polarized gamma Pb scattering using BFKL evolution and setting the photon virtuality to Q^2=0 GeV^2
W;cross section (GeV^-2);cross section error (GeV^-2)
30;0.820642;0.00028816
30.9964;0.834403;0.000229115
32.026;0.848079;0.000257656
33.0897;0.862012;0.000110934
34.1888;0.876253;0.000145483
35.3243;0.890357;9.74268e-05
36.4976;0.904924;0.000122211
37.7098;0.919374;0.000112245
38.9624;0.934577;0.000109723
40.2565;0.949565;0.000157484
41.5936;0.965133;0.000107437
42.9751;0.980855;0.000124078
44.4025;0.99668;0.000150689
45.8773;1.01281;0.000138394
47.4011;1.02919;0.000135288
48.9755;1.04593;0.00014701
50.6022;1.0628;0.000141285
52.2829;1.07985;0.000157233
54.0195;1.09728;0.000178209
55.8137;1.11502;0.00016541
57.6675;1.13289;0.000165292
59.5829;1.15125;0.000142166
61.5619;1.16968;0.000130559
63.6067;1.18854;0.000152325
65.7193;1.20746;0.000148419
67.9022;1.22691;0.000171468
70.1575;1.24646;0.000179557
72.4878;1.26643;0.000185642
74.8954;1.28675;0.000184378
77.383;1.30726;0.000182516
79.9533;1.32811;0.000183508
82.6089;1.34932;0.000188318
85.3527;1.37087;0.000193927
88.1876;1.39268;0.000189334
91.1167;1.4148;0.00019283
94.1431;1.43755;0.000185934
97.27;1.45953;0.000592439
100.501;1.48347;0.000159725
103.839;1.50659;0.000529463
107.288;1.53114;0.000182353
110.851;1.55528;0.000210897
114.533;1.58017;0.000207234
118.337;1.60536;0.000222329
122.268;1.63065;0.00019812
126.329;1.65676;0.000211016
130.525;1.6827;0.000180028
134.86;1.70944;0.000198574
139.34;1.7362;0.0001992
143.968;1.76318;0.000731061
148.75;1.79147;0.000171853
153.69;1.81994;0.000209623
158.795;1.8487;0.000278177
164.069;1.87806;0.000307191
169.519;1.90779;0.000428611
175.149;1.93786;0.000303746
180.967;1.96834;0.000734458
186.977;1.99952;0.000798814
193.188;2.03092;0.000784607
199.604;2.06217;0.000480449
206.234;2.09407;0.000774916
213.084;2.12758;0.000281543
220.162;2.16116;0.000292784
227.474;2.19512;0.000336943
235.03;2.22959;0.000326482
242.836;2.26456;0.000327738
250.902;2.29957;0.000342324
259.235;2.33576;0.000300862
267.846;2.37257;0.000313077
276.742;2.40926;0.0003691
285.934;2.44758;0.000355838
295.431;2.48562;0.00041137
305.244;2.52423;0.000402934
315.382;2.56343;0.000992241
325.857;2.60382;0.000826965
336.681;2.64585;0.00101973
347.863;2.68648;0.000577842
359.417;2.72836;0.00085879
371.355;2.77043;0.000742251
383.69;2.8141;0.000622404
396.434;2.85792;0.000434581
409.601;2.90259;0.000353184
423.206;2.94768;0.000391475
437.262;2.99379;0.000515146
451.786;3.04039;0.00039157
466.791;3.08798;0.000391846
482.296;3.13637;0.000549055
498.315;3.18505;0.000473818
514.866;3.234;0.000515453
531.967;3.2847;0.000461548
549.636;3.33615;0.000457897
567.892;3.38799;0.000431572
586.754;3.44002;0.000496358
606.243;3.49388;0.000439759
626.379;3.54759;0.000498457
647.184;3.60341;0.000475955
668.68;3.6591;0.000581598
690.89;3.71657;0.000575607
713.838;3.77394;0.000946762
737.547;3.83121;0.000519753
762.045;3.89169;0.000535399
787.356;3.95223;0.000620001
813.507;4.01376;0.000541028
840.527;4.07586;0.000496296
868.445;4.1396;0.000512788
897.29;4.20354;0.000589869
927.093;4.26876;0.000559886
957.886;4.33475;0.000593105
989.702;4.40246;0.000564769
1022.57;4.47035;0.000606872
1056.54;4.5397;0.000475298
1091.63;4.61003;0.000635238
1127.89;4.68164;0.000657695
1165.35;4.75452;0.000578771
1204.06;4.82813;0.000623998
1244.05;4.9034;0.000592281
1285.37;4.97859;0.000570057
1328.06;5.05585;0.00067577
1372.17;5.13373;0.000743631
1417.75;5.21378;0.000655089
1464.84;5.2945;0.000821338
1513.49;5.37601;0.000813394
1563.76;5.45931;0.00075121
1615.7;5.54411;0.000704129
1669.37;5.63029;0.000682857
1724.82;5.71825;0.000799813
1782.1;5.8063;0.000832669
1841.3;5.89543;0.000759847
1902.45;5.98728;0.000912933
1965.64;6.07945;0.000829203
2030.93;6.17389;0.000906204
2098.39;6.26925;0.000753872
2168.08;6.36592;0.00314153
2240.1;6.46465;0.000836739
2314.5;6.56387;0.000762229
2391.38;6.66439;0.00249899
2470.8;6.76951;0.000743377
2552.87;6.87304;0.000628606
2637.66;6.97961;0.000719008
2725.27;7.0899;0.00280512
2815.79;7.19747;0.000844151
2909.31;7.30825;0.000882413
3005.95;7.4209;0.000778212
3105.79;7.53311;0.00270552
3208.94;7.65139;0.00110683
3315.53;7.77075;0.00117827
3425.65;7.88951;0.00117801
3539.43;8.01184;0.00108284
3656.99;8.13725;0.00100567
3778.46;8.26367;0.00121385
3903.96;8.39002;0.00126213
4033.63;8.51888;0.00119858
4167.6;8.65065;0.00104641
4306.03;8.78432;0.00104247
4449.05;8.92089;0.00111018
4596.82;9.05931;0.00104147
4749.5;9.1983;0.00113538
4907.26;9.34074;0.00104854
5070.25;9.48478;0.00104155
5238.65;9.63127;0.00103904
5412.65;9.77981;0.00122611
5592.43;9.93028;0.00135455
5778.18;10.085;0.00115556
5970.1;10.2405;0.0011021
6168.39;10.3993;0.00119064
6373.27;10.559;0.00120739
6584.96;10.7229;0.00133692
6803.68;10.8879;0.00127189
7029.66;11.0486;0.00389209
7263.14;11.227;0.0014026
7504.39;11.3998;0.0016687
7753.64;11.5761;0.00175674
8011.17;11.7531;0.0013885
8277.26;11.9339;0.00145132
8552.19;12.1212;0.00168436
8836.24;12.308;0.00148771
9129.73;12.4968;0.00131213
9432.97;12.6904;0.00135505
9746.28;12.8868;0.00165565
10070;13.0857;0.00144532
10404.5;13.2881;0.00145352
10750.1;13.4927;0.0022901
11107.1;13.7025;0.00193903
11476;13.9137;0.00177007
11857.2;14.1277;0.00144472
12251;14.3459;0.00154239
12657.9;14.5683;0.00184104
13078.4;14.7923;0.00192066
13512.8;15.0216;0.00214266
13961.6;15.2524;0.00221342
14425.3;15.4883;0.00248822
14904.4;15.7273;0.0025692
15399.5;15.9705;0.00268557
15911;16.2156;0.00210279
16439.4;16.4681;0.00187472
16985.5;16.722;0.00189079
17549.6;16.9807;0.00267915
18132.5;17.2413;0.00232895
18734.8;17.5085;0.00213929
19357.1;17.7778;0.00179913
20000;18.0541;0.00212885
