#Inclusive ccbar production cross section in transverse polarized gamma Pb scattering using BK evolution and setting the photon virtuality to Q^2=0 GeV^2
W;cross section (GeV^-2);cross section error (GeV^-2)
30;0.815191;0.00027495
30.9964;0.827619;0.000204798
32.026;0.840129;0.000147606
33.0897;0.852638;0.000150857
34.1888;0.865176;9.19297e-05
35.3243;0.877937;0.000107162
36.4976;0.891008;0.000107258
37.7098;0.904289;0.000124032
38.9624;0.91759;0.000107406
40.2565;0.93105;0.000115598
41.5936;0.94478;0.000101416
42.9751;0.958738;0.000138715
44.4025;0.97284;0.000137969
45.8773;0.986926;0.000114397
47.4011;1.00148;0.000141501
48.9755;1.01605;0.000147692
50.6022;1.03085;0.000134758
52.2829;1.04573;0.000158412
54.0195;1.06086;0.000153275
55.8137;1.07622;0.000152185
57.6675;1.09189;0.000165497
59.5829;1.10765;0.000154659
61.5619;1.12354;0.000149616
63.6067;1.1398;0.000167172
65.7193;1.15618;0.000155675
67.9022;1.17271;0.000156186
70.1575;1.18922;0.000146324
72.4878;1.2064;0.000151027
74.8954;1.22345;0.000143282
77.383;1.24076;0.000138639
79.9533;1.25852;0.000145444
82.6089;1.27626;0.000168508
85.3527;1.29433;0.00014214
88.1876;1.31266;0.000142968
91.1167;1.33129;0.00020733
94.1431;1.35004;0.000192704
97.27;1.36868;0.000166884
100.501;1.38817;0.000208449
103.839;1.40759;0.000204516
107.288;1.4272;0.000194947
110.851;1.44685;0.000205822
114.533;1.46697;0.000359485
118.337;1.48702;0.000472651
122.268;1.50777;0.000496065
126.329;1.52882;0.000228064
130.525;1.54994;0.000242529
134.86;1.57159;0.00024657
139.34;1.59299;0.000192706
143.968;1.61478;0.000279302
148.75;1.63686;0.000258396
153.69;1.65901;0.000302212
158.795;1.68161;0.000498524
164.069;1.70456;0.000643552
169.519;1.7284;0.0007875
175.149;1.75192;0.000781497
180.967;1.77525;0.000242048
186.977;1.79907;0.000229719
193.188;1.82339;0.000261202
199.604;1.84796;0.000263363
206.234;1.87301;0.000216091
213.084;1.8979;0.000275226
220.162;1.92307;0.000254512
227.474;1.9492;0.000250036
235.03;1.97504;0.000220532
242.836;2.00149;0.000296155
250.902;2.02789;0.000419016
259.235;2.05467;0.0004605
267.846;2.08251;0.000311519
276.742;2.10979;0.000389823
285.934;2.13799;0.000344879
295.431;2.16578;0.00032395
305.244;2.19479;0.000334469
315.382;2.22354;0.000320532
325.857;2.25277;0.000920234
336.681;2.28168;0.000347012
347.863;2.31166;0.000269959
359.417;2.34189;0.000320236
371.355;2.37259;0.000267069
383.69;2.40322;0.000320727
396.434;2.43457;0.000368951
409.601;2.4659;0.000361673
423.206;2.49727;0.000347892
437.262;2.52945;0.000423252
451.786;2.56184;0.000455479
466.791;2.59505;0.000473084
482.296;2.62842;0.000497839
498.315;2.66166;0.000453344
514.866;2.69577;0.000360077
531.967;2.73011;0.000344451
549.636;2.76516;0.000311458
567.892;2.80056;0.000404543
586.754;2.83548;0.000410705
606.243;2.87129;0.000559183
626.379;2.90762;0.0004875
647.184;2.94417;0.000453754
668.68;2.98141;0.000440187
690.89;3.01965;0.000874307
713.838;3.05684;0.000446559
737.547;3.09455;0.000427724
762.045;3.13269;0.000866449
787.356;3.17206;0.000671868
813.507;3.21162;0.00039783
840.527;3.2517;0.00040163
868.445;3.29139;0.000388829
897.29;3.33234;0.000502258
927.093;3.37303;0.000459935
957.886;3.41424;0.000442625
989.702;3.45658;0.000447298
1022.57;3.4987;0.0006476
1056.54;3.54184;0.000592623
1091.63;3.58457;0.000668111
1127.89;3.62835;0.000535605
1165.35;3.67337;0.00108204
1204.06;3.71691;0.000545087
1244.05;3.76165;0.000501269
1285.37;3.80667;0.000458396
1328.06;3.85288;0.000482029
1372.17;3.89833;0.000444954
1417.75;3.94547;0.000568836
1464.84;3.99262;0.000590971
1513.49;4.04002;0.000505295
1563.76;4.08802;0.000496384
1615.7;4.13583;0.000505555
1669.37;4.1849;0.000596641
1724.82;4.23449;0.000430079
1782.1;4.28363;0.0015767
1841.3;4.3349;0.000493673
1902.45;4.38565;0.000577587
1965.64;4.43718;0.000551893
2030.93;4.48872;0.000508227
2098.39;4.5411;0.000572137
2168.08;4.59407;0.000529904
2240.1;4.64772;0.000724316
2314.5;4.70043;0.000609733
2391.38;4.75499;0.000614637
2470.8;4.81016;0.000599257
2552.87;4.86521;0.000606176
2637.66;4.91952;0.00187123
2725.27;4.97747;0.000689108
2815.79;5.03323;0.000805209
2909.31;5.09141;0.000819979
3005.95;5.14904;0.000683035
3105.79;5.20735;0.000827475
3208.94;5.2659;0.000735718
3315.53;5.3238;0.000697329
3425.65;5.38523;0.000737134
3539.43;5.4449;0.000621485
3656.99;5.50554;0.00067973
3778.46;5.56664;0.000607735
3903.96;5.63;0.000860771
4033.63;5.69087;0.000815464
4167.6;5.75214;0.00220223
4306.03;5.81777;0.000880995
4449.05;5.8821;0.00090949
4596.82;5.94678;0.000801607
4749.5;6.01212;0.000987802
4907.26;6.07746;0.000724712
5070.25;6.14396;0.000599094
5238.65;6.21067;0.000731062
5412.65;6.27714;0.000863339
5592.43;6.3446;0.000659602
5778.18;6.4138;0.000915503
5970.1;6.48307;0.000911949
6168.39;6.55227;0.000964675
6373.27;6.62315;0.00118235
6584.96;6.69296;0.000913289
6803.68;6.76315;0.00162911
7029.66;6.83513;0.00118289
7263.14;6.90654;0.00154766
7504.39;6.97944;0.0014816
7753.64;7.05274;0.00230403
8011.17;7.12823;0.00125691
8277.26;7.20361;0.00131693
8552.19;7.27943;0.00142158
8836.24;7.35429;0.00130086
9129.73;7.43048;0.00116101
9432.97;7.50804;0.00237478
9746.28;7.58371;0.00234609
10070;7.66271;0.00211873
10404.5;7.74027;0.00193564
10750.1;7.82095;0.00226356
11107.1;7.89977;0.00220115
11476;7.98016;0.00131631
11857.2;8.05974;0.000945093
12251;8.14309;0.00130866
12657.9;8.22374;0.00128297
13078.4;8.30566;0.00111378
13512.8;8.38835;0.00111481
13961.6;8.47361;0.00124095
14425.3;8.55853;0.00135021
14904.4;8.64312;0.00148514
15399.5;8.73007;0.001749
15911;8.81437;0.00174919
16439.4;8.90062;0.00163628
16985.5;8.9882;0.00171412
17549.6;9.07818;0.00187715
18132.5;9.16504;0.00167674
18734.8;9.25356;0.00130387
19357.1;9.34219;0.0014264
20000;9.43235;0.00148246
